symbol,date,open,high,low,close,volume
SBACBANK,2022-01-02,15.4,16.2,15.2,15.9,1278728.0
SBACBANK,2022-01-03,16.0,16.1,15.7,15.9,1157666.0
SBACBANK,2022-01-04,15.9,15.9,15.7,15.7,500787.0
SBACBANK,2022-01-05,15.9,16.2,15.6,16.2,1006109.0
SBACBANK,2022-01-06,16.3,17.6,16.2,17.1,1597903.0
SBACBANK,2022-01-09,17.4,17.4,16.5,16.6,1186844.0
SBACBANK,2022-01-10,16.6,16.7,16.3,16.5,671681.0
SBACBANK,2022-01-11,16.7,17.2,16.5,16.6,887607.0
SBACBANK,2022-01-12,16.9,16.9,16.3,16.4,673667.0
SBACBANK,2022-01-13,16.6,16.6,16.1,16.2,598618.0
SBACBANK,2022-01-16,16.2,16.3,16.0,16.1,810000.0
SBACBANK,2022-01-17,16.1,16.5,16.1,16.3,637947.0
SBACBANK,2022-01-18,16.4,16.4,16.0,16.1,476323.0
SBACBANK,2022-01-19,16.3,16.4,15.9,16.0,854795.0
SBACBANK,2022-01-20,16.0,16.2,16.0,16.0,331056.0
SBACBANK,2022-01-23,16.2,16.2,15.8,15.8,389053.0
SBACBANK,2022-01-24,15.9,15.9,15.4,15.5,611736.0
SBACBANK,2022-01-25,15.6,15.7,15.5,15.5,266541.0
SBACBANK,2022-01-26,15.6,15.7,15.3,15.5,390453.0
SBACBANK,2022-01-27,15.5,15.7,15.4,15.5,390677.0
SBACBANK,2022-01-30,15.4,15.5,15.1,15.2,654751.0
SBACBANK,2022-01-31,15.4,15.4,15.0,15.1,500123.0
SBACBANK,2022-02-01,15.2,15.3,15.1,15.2,315107.0
SBACBANK,2022-02-02,15.2,15.3,15.1,15.1,527556.0
SBACBANK,2022-02-03,15.1,15.9,14.9,15.7,996743.0
SBACBANK,2022-02-06,15.7,15.8,15.2,15.3,549094.0
SBACBANK,2022-02-07,15.3,15.3,15.1,15.2,522698.0
SBACBANK,2022-02-08,15.1,15.6,15.1,15.3,606406.0
SBACBANK,2022-02-09,15.5,15.5,15.3,15.4,330506.0
SBACBANK,2022-02-10,15.4,15.5,15.2,15.3,450380.0
SBACBANK,2022-02-13,15.3,15.4,15.2,15.3,466111.0
SBACBANK,2022-02-14,15.4,15.8,15.4,15.4,943794.0
SBACBANK,2022-02-15,15.3,15.4,15.2,15.2,452646.0
SBACBANK,2022-02-16,15.4,15.4,15.1,15.2,472869.0
SBACBANK,2022-02-17,15.2,15.2,15.0,15.1,346344.0
SBACBANK,2022-02-20,15.0,15.1,14.7,14.7,609836.0
SBACBANK,2022-02-22,14.9,14.9,14.7,14.9,339419.0
SBACBANK,2022-02-23,14.9,15.1,14.8,14.8,151811.0
SBACBANK,2022-02-24,14.8,14.8,14.3,14.4,1072780.0
SBACBANK,2022-02-27,14.4,14.8,13.5,13.7,869010.0
SBACBANK,2022-02-28,13.9,14.1,13.6,13.7,300295.0
SBACBANK,2022-03-01,13.9,14.1,13.6,13.7,612746.0
SBACBANK,2022-03-02,13.6,13.8,13.1,13.2,683774.0
SBACBANK,2022-03-03,13.3,13.5,12.8,13.2,967243.0
SBACBANK,2022-03-06,13.3,13.3,12.9,13.0,372356.0
SBACBANK,2022-03-07,13.0,13.1,12.6,12.7,1181037.0
SBACBANK,2022-03-08,12.8,12.9,12.1,12.7,892751.0
SBACBANK,2022-03-09,12.9,13.3,12.8,13.1,631946.0
SBACBANK,2022-03-10,13.4,14.0,13.3,13.5,1253872.0
SBACBANK,2022-03-13,13.6,13.7,13.4,13.6,565772.0
SBACBANK,2022-03-14,13.6,13.6,13.4,13.5,739923.0
SBACBANK,2022-03-15,13.5,13.5,13.3,13.3,715089.0
SBACBANK,2022-03-16,13.5,13.6,13.2,13.3,436393.0
SBACBANK,2022-03-20,13.3,13.4,13.1,13.1,273266.0
SBACBANK,2022-03-21,13.1,13.2,13.0,13.1,177045.0
SBACBANK,2022-03-22,13.1,13.4,13.1,13.3,489524.0
SBACBANK,2022-03-23,13.4,13.4,13.1,13.2,226210.0
SBACBANK,2022-03-24,13.2,13.3,13.1,13.2,212159.0
SBACBANK,2022-03-27,13.3,13.5,13.2,13.4,344960.0
SBACBANK,2022-03-28,13.3,13.5,13.3,13.3,261669.0
SBACBANK,2022-03-29,13.3,13.6,13.2,13.5,650586.0
SBACBANK,2022-03-30,13.5,13.6,13.4,13.5,177680.0
SBACBANK,2022-03-31,13.4,13.5,13.3,13.4,359761.0
SBACBANK,2022-04-03,13.3,13.6,13.3,13.4,743551.0
