symbol,date,open,high,low,close,volume
SEAPEARL,2022-01-02,44.3,46.5,44.3,46.2,936827.0
SEAPEARL,2022-01-03,46.1,47.2,46.0,46.6,618510.0
SEAPEARL,2022-01-04,46.5,46.5,45.4,45.7,575399.0
SEAPEARL,2022-01-05,45.3,46.4,45.2,45.8,590019.0
SEAPEARL,2022-01-06,45.8,47.3,45.8,46.3,624659.0
SEAPEARL,2022-01-09,46.4,46.4,43.5,43.9,332342.0
SEAPEARL,2022-01-10,44.0,45.4,43.4,44.0,323400.0
SEAPEARL,2022-01-11,43.9,44.2,43.1,43.7,480448.0
SEAPEARL,2022-01-12,44.0,44.0,42.6,42.8,270305.0
SEAPEARL,2022-01-13,43.1,43.5,42.6,42.7,227308.0
SEAPEARL,2022-01-16,42.7,44.3,42.7,44.0,346480.0
SEAPEARL,2022-01-17,44.2,44.5,43.1,43.4,207548.0
SEAPEARL,2022-01-18,43.4,44.8,43.2,44.6,421335.0
SEAPEARL,2022-01-19,44.6,46.5,44.6,45.6,695742.0
SEAPEARL,2022-01-20,45.8,46.4,44.5,44.6,516523.0
SEAPEARL,2022-01-23,44.3,44.5,43.6,43.8,226400.0
SEAPEARL,2022-01-24,43.5,44.9,43.3,43.9,264282.0
SEAPEARL,2022-01-25,44.0,45.7,43.6,45.0,406344.0
SEAPEARL,2022-01-26,45.1,45.7,44.7,45.0,285330.0
SEAPEARL,2022-01-27,45.2,45.6,44.9,45.3,412554.0
SEAPEARL,2022-01-30,45.4,46.9,45.3,45.8,1186092.0
SEAPEARL,2022-01-31,46.5,46.9,45.3,46.1,1118344.0
SEAPEARL,2022-02-01,47.5,47.7,45.8,46.8,1433911.0
SEAPEARL,2022-02-02,47.1,47.4,45.6,45.9,550567.0
SEAPEARL,2022-02-03,45.8,46.5,44.6,45.0,922957.0
SEAPEARL,2022-02-06,45.7,45.7,44.7,44.8,365062.0
SEAPEARL,2022-02-07,44.8,45.0,44.3,44.5,324807.0
SEAPEARL,2022-02-08,44.6,45.8,44.3,45.0,381143.0
SEAPEARL,2022-02-09,45.6,45.7,44.9,45.4,539697.0
SEAPEARL,2022-02-10,45.2,46.8,45.2,46.5,1420699.0
SEAPEARL,2022-02-13,47.1,47.4,45.9,46.0,683822.0
SEAPEARL,2022-02-14,45.8,46.4,44.7,45.3,459926.0
SEAPEARL,2022-02-15,44.8,47.5,44.8,47.3,2616177.0
SEAPEARL,2022-02-16,47.9,47.9,46.7,46.9,841434.0
SEAPEARL,2022-02-17,47.2,47.3,45.7,46.0,502681.0
SEAPEARL,2022-02-20,46.1,46.2,45.2,45.5,316121.0
SEAPEARL,2022-02-22,45.6,47.1,45.4,46.8,865970.0
SEAPEARL,2022-02-23,46.8,47.0,46.0,46.4,287293.0
SEAPEARL,2022-02-24,46.4,46.5,44.8,45.1,578939.0
SEAPEARL,2022-02-27,44.7,44.7,43.5,43.8,464787.0
SEAPEARL,2022-02-28,43.8,45.1,43.2,43.6,189364.0
SEAPEARL,2022-03-01,44.5,44.9,43.5,43.7,186012.0
SEAPEARL,2022-03-02,44.0,44.0,43.4,43.7,174052.0
SEAPEARL,2022-03-03,43.2,44.4,43.2,44.0,98256.0
SEAPEARL,2022-03-06,44.7,46.9,44.2,44.4,506784.0
SEAPEARL,2022-03-07,45.4,45.4,43.3,43.4,249557.0
SEAPEARL,2022-03-08,43.0,44.3,42.1,43.4,204589.0
SEAPEARL,2022-03-09,44.4,44.7,43.8,44.4,268818.0
SEAPEARL,2022-03-10,44.5,45.1,44.0,44.5,199944.0
SEAPEARL,2022-03-13,45.0,45.9,45.0,45.6,483982.0
SEAPEARL,2022-03-14,45.3,45.7,44.7,44.8,203958.0
SEAPEARL,2022-03-15,44.8,45.6,44.2,45.4,421598.0
SEAPEARL,2022-03-16,45.8,45.8,44.6,45.2,211202.0
SEAPEARL,2022-03-20,44.9,45.0,44.3,44.4,163091.0
SEAPEARL,2022-03-21,45.2,45.2,44.0,44.1,99875.0
SEAPEARL,2022-03-22,44.3,44.9,44.0,44.5,270801.0
SEAPEARL,2022-03-23,45.2,45.2,44.7,44.8,154032.0
SEAPEARL,2022-03-24,44.5,45.0,44.1,44.3,257016.0
SEAPEARL,2022-03-27,45.5,45.5,44.0,44.5,132397.0
SEAPEARL,2022-03-28,45.4,45.4,44.0,44.0,162177.0
SEAPEARL,2022-03-29,44.2,46.0,44.2,45.6,575352.0
SEAPEARL,2022-03-30,45.6,46.1,45.0,45.8,388796.0
SEAPEARL,2022-03-31,45.7,47.4,45.6,46.8,1048103.0
SEAPEARL,2022-04-03,47.3,47.5,46.7,47.2,816711.0
SEAPEARL,2022-04-04,47.0,47.4,46.6,47.1,746058.0
SEAPEARL,2022-04-05,47.0,48.2,46.8,47.8,1035636.0
SEAPEARL,2022-04-06,48.4,49.9,48.1,48.8,2592690.0
SEAPEARL,2022-04-07,48.7,49.5,47.9,49.0,1100077.0
SEAPEARL,2022-04-10,49.8,51.1,48.5,50.6,1853229.0
SEAPEARL,2022-04-11,50.7,51.4,49.6,49.9,1484187.0
SEAPEARL,2022-04-12,49.4,49.7,49.0,49.0,386428.0
SEAPEARL,2022-04-13,48.2,49.7,48.1,49.4,1009544.0
SEAPEARL,2022-04-17,49.8,50.2,48.9,49.3,628752.0
SEAPEARL,2022-04-18,49.1,49.1,48.4,48.4,102625.0
SEAPEARL,2022-04-19,47.5,48.6,47.5,48.4,576635.0
SEAPEARL,2022-04-20,48.8,48.8,47.5,48.0,782952.0
SEAPEARL,2022-04-21,47.8,48.8,47.0,47.4,633500.0
SEAPEARL,2022-04-24,47.4,47.8,46.2,46.7,717492.0
SEAPEARL,2022-04-25,46.8,47.6,46.7,47.3,302293.0
SEAPEARL,2022-04-26,48.0,49.1,47.6,48.7,1162635.0
SEAPEARL,2022-04-27,49.0,50.7,48.2,49.6,1431732.0
SEAPEARL,2022-04-28,47.2,48.5,47.2,47.2,1786855.0
SEAPEARL,2022-05-05,46.8,47.0,46.0,46.6,417883.0
SEAPEARL,2022-05-08,46.8,48.3,46.5,47.8,861794.0
SEAPEARL,2022-05-09,48.0,48.1,47.0,47.4,891121.0
SEAPEARL,2022-05-10,47.0,47.9,45.1,45.6,890938.0
SEAPEARL,2022-05-11,45.6,46.3,45.6,45.8,542919.0
SEAPEARL,2022-05-12,45.9,46.3,45.3,45.7,330549.0
SEAPEARL,2022-05-16,45.3,46.0,43.6,44.5,325158.0
SEAPEARL,2022-05-17,45.6,45.9,43.4,45.5,314322.0
SEAPEARL,2022-05-18,46.0,46.8,43.3,43.9,478552.0
SEAPEARL,2022-05-19,44.5,45.0,43.0,44.0,290370.0
SEAPEARL,2022-05-22,42.8,45.0,42.5,43.0,265371.0
SEAPEARL,2022-05-23,44.5,45.0,43.5,43.7,151182.0
SEAPEARL,2022-05-24,43.8,44.4,42.9,43.1,163119.0
SEAPEARL,2022-05-25,42.7,43.8,42.5,42.7,191467.0
SEAPEARL,2022-05-26,42.5,43.1,42.5,43.0,60785.0
SEAPEARL,2022-05-29,44.0,45.0,43.3,44.4,288353.0
SEAPEARL,2022-05-30,45.7,45.7,43.6,43.8,225805.0
SEAPEARL,2022-05-31,43.5,44.3,43.1,43.3,162078.0
SEAPEARL,2022-06-01,44.1,44.9,43.5,44.2,233502.0
SEAPEARL,2022-06-02,43.8,44.8,43.7,44.0,237399.0
SEAPEARL,2022-06-05,44.4,45.0,43.7,43.9,556683.0
SEAPEARL,2022-06-06,44.3,44.4,43.6,43.9,660811.0
SEAPEARL,2022-06-07,43.9,44.1,43.6,43.7,267698.0
SEAPEARL,2022-06-08,43.5,44.1,43.3,43.5,448924.0
SEAPEARL,2022-06-09,44.0,44.1,43.5,43.8,98251.0
SEAPEARL,2022-06-12,43.5,43.8,43.3,43.4,120047.0
SEAPEARL,2022-06-13,43.8,43.8,43.3,43.6,120475.0
SEAPEARL,2022-06-14,43.6,43.7,42.8,42.8,342909.0
SEAPEARL,2022-06-15,43.0,43.4,42.0,42.6,255278.0
SEAPEARL,2022-06-16,42.9,43.5,42.4,43.2,178549.0
SEAPEARL,2022-06-19,43.0,43.2,42.4,42.5,335839.0
SEAPEARL,2022-06-20,42.3,43.2,41.7,42.9,299689.0
SEAPEARL,2022-06-21,43.0,43.5,42.1,43.0,262363.0
SEAPEARL,2022-06-22,43.0,44.4,42.7,43.6,426742.0
SEAPEARL,2022-06-23,44.0,45.1,43.8,44.2,521988.0
SEAPEARL,2022-06-26,44.4,45.1,44.3,44.7,284742.0
SEAPEARL,2022-06-27,44.9,44.9,43.9,44.1,296719.0
SEAPEARL,2022-06-28,44.9,44.9,43.4,44.3,371501.0
SEAPEARL,2022-06-29,44.0,44.7,43.8,43.9,139550.0
SEAPEARL,2022-06-30,43.2,45.3,43.2,43.7,209944.0
SEAPEARL,2022-07-03,44.1,44.3,43.7,43.9,114442.0
SEAPEARL,2022-07-04,44.5,44.6,43.6,44.1,186894.0
