symbol,date,open,high,low,close,volume
SEMLFBSLGF,2022-01-02,8.6,8.6,8.5,8.5,39479.0
SEMLFBSLGF,2022-01-03,8.5,9.0,8.5,8.8,454091.0
SEMLFBSLGF,2022-01-04,9.0,9.0,8.6,8.6,117506.0
SEMLFBSLGF,2022-01-05,8.7,8.8,8.5,8.6,145920.0
SEMLFBSLGF,2022-01-06,8.8,8.9,8.7,8.7,150523.0
SEMLFBSLGF,2022-01-09,8.7,8.8,8.5,8.6,149773.0
SEMLFBSLGF,2022-01-10,8.6,8.7,8.5,8.5,72831.0
SEMLFBSLGF,2022-01-11,8.7,8.9,8.6,8.8,342801.0
SEMLFBSLGF,2022-01-12,8.9,8.9,8.7,8.8,188911.0
SEMLFBSLGF,2022-01-13,8.7,8.8,8.5,8.5,171085.0
SEMLFBSLGF,2022-01-16,8.6,8.7,8.5,8.5,91925.0
SEMLFBSLGF,2022-01-17,8.6,8.6,8.4,8.4,288680.0
SEMLFBSLGF,2022-01-18,8.4,8.5,8.3,8.4,244214.0
SEMLFBSLGF,2022-01-19,8.5,8.6,8.4,8.5,209745.0
SEMLFBSLGF,2022-01-20,8.5,8.7,8.5,8.5,464501.0
SEMLFBSLGF,2022-01-23,8.6,8.6,8.4,8.5,95901.0
SEMLFBSLGF,2022-01-24,8.6,8.6,8.4,8.4,111665.0
SEMLFBSLGF,2022-01-25,8.4,8.5,8.3,8.3,147990.0
SEMLFBSLGF,2022-01-26,8.4,8.4,8.3,8.4,206755.0
SEMLFBSLGF,2022-01-27,8.4,8.5,8.2,8.2,618024.0
SEMLFBSLGF,2022-01-30,8.2,8.4,8.2,8.3,129942.0
SEMLFBSLGF,2022-01-31,8.3,8.3,8.3,8.3,90400.0
SEMLFBSLGF,2022-02-01,8.3,8.4,8.3,8.3,120095.0
SEMLFBSLGF,2022-02-02,8.3,8.5,8.3,8.3,101240.0
SEMLFBSLGF,2022-02-03,8.4,8.4,8.3,8.3,250864.0
SEMLFBSLGF,2022-02-06,8.3,8.4,8.3,8.4,365288.0
SEMLFBSLGF,2022-02-07,8.5,8.5,8.3,8.4,287138.0
SEMLFBSLGF,2022-02-08,8.5,8.5,8.4,8.5,358660.0
SEMLFBSLGF,2022-02-09,8.5,8.8,8.5,8.7,549005.0
SEMLFBSLGF,2022-02-10,8.7,8.8,8.6,8.8,317583.0
SEMLFBSLGF,2022-02-13,8.8,8.9,8.6,8.6,255661.0
SEMLFBSLGF,2022-02-14,8.7,8.7,8.5,8.5,91136.0
SEMLFBSLGF,2022-02-15,8.8,8.8,8.5,8.5,134070.0
SEMLFBSLGF,2022-02-16,8.5,8.7,8.5,8.5,63290.0
SEMLFBSLGF,2022-02-17,8.5,8.6,8.4,8.6,151162.0
SEMLFBSLGF,2022-02-20,8.4,8.5,8.4,8.4,131291.0
SEMLFBSLGF,2022-02-22,8.5,8.5,8.4,8.4,43676.0
SEMLFBSLGF,2022-02-23,8.4,8.6,8.3,8.4,308350.0
SEMLFBSLGF,2022-02-24,8.4,8.4,8.3,8.3,145326.0
SEMLFBSLGF,2022-02-27,8.3,8.3,8.1,8.2,357307.0
SEMLFBSLGF,2022-02-28,8.2,8.4,8.2,8.3,75859.0
SEMLFBSLGF,2022-03-01,8.3,8.3,8.2,8.2,130135.0
SEMLFBSLGF,2022-03-02,8.2,8.3,8.1,8.2,183741.0
SEMLFBSLGF,2022-03-03,8.2,8.3,8.2,8.2,93565.0
SEMLFBSLGF,2022-03-06,8.3,8.7,8.3,8.5,783135.0
SEMLFBSLGF,2022-03-07,8.5,8.5,8.2,8.2,357303.0
SEMLFBSLGF,2022-03-08,8.3,8.3,8.0,8.2,293893.0
SEMLFBSLGF,2022-03-09,8.3,8.5,8.2,8.5,262222.0
SEMLFBSLGF,2022-03-10,8.4,8.6,8.4,8.4,124661.0
SEMLFBSLGF,2022-03-13,8.6,8.7,8.6,8.6,411621.0
SEMLFBSLGF,2022-03-14,8.7,8.9,8.6,8.8,677207.0
SEMLFBSLGF,2022-03-15,8.9,9.6,8.9,9.4,2023505.0
SEMLFBSLGF,2022-03-16,9.4,9.4,9.3,9.3,185336.0
SEMLFBSLGF,2022-03-20,9.2,9.2,9.2,9.2,71963.0
SEMLFBSLGF,2022-03-21,9.1,9.1,9.1,9.1,23957.0
SEMLFBSLGF,2022-03-22,9.0,9.1,9.0,9.0,384236.0
SEMLFBSLGF,2022-03-23,9.0,9.1,8.9,8.9,124202.0
SEMLFBSLGF,2022-03-24,8.9,8.9,8.8,8.9,183761.0
SEMLFBSLGF,2022-03-27,8.9,9.1,8.9,9.0,207059.0
SEMLFBSLGF,2022-03-28,9.1,9.1,8.9,9.0,117396.0
SEMLFBSLGF,2022-03-29,9.0,9.1,8.9,9.0,210785.0
SEMLFBSLGF,2022-03-30,9.0,9.2,9.0,9.1,401659.0
SEMLFBSLGF,2022-03-31,9.1,9.2,9.0,9.2,285390.0
SEMLFBSLGF,2022-04-03,9.3,9.5,9.3,9.3,645386.0
SEMLFBSLGF,2022-04-04,9.4,9.6,9.2,9.3,798676.0
SEMLFBSLGF,2022-04-05,9.3,9.3,9.2,9.2,305060.0
SEMLFBSLGF,2022-04-06,9.1,9.1,9.1,9.1,83263.0
SEMLFBSLGF,2022-04-07,9.0,9.1,9.0,9.0,228713.0
SEMLFBSLGF,2022-04-10,9.1,9.1,8.9,9.0,47275.0
SEMLFBSLGF,2022-04-11,9.0,9.0,8.9,8.9,318930.0
SEMLFBSLGF,2022-04-12,8.8,8.9,8.8,8.8,191358.0
SEMLFBSLGF,2022-04-13,8.7,8.7,8.7,8.7,113978.0
SEMLFBSLGF,2022-04-17,8.7,8.8,8.6,8.7,229771.0
SEMLFBSLGF,2022-04-18,8.6,8.7,8.6,8.6,254134.0
SEMLFBSLGF,2022-04-19,8.7,8.7,8.5,8.7,219364.0
SEMLFBSLGF,2022-04-20,9.1,9.1,8.7,8.7,77135.0
SEMLFBSLGF,2022-04-21,8.9,8.9,8.7,8.9,163629.0
SEMLFBSLGF,2022-04-24,8.9,9.1,8.8,8.8,211324.0
SEMLFBSLGF,2022-04-25,8.9,8.9,8.8,8.9,81659.0
SEMLFBSLGF,2022-04-26,9.0,9.0,8.6,8.7,127884.0
SEMLFBSLGF,2022-04-27,8.9,8.9,8.6,8.7,75816.0
SEMLFBSLGF,2022-04-28,8.6,8.7,8.6,8.6,239474.0
SEMLFBSLGF,2022-05-05,8.7,8.7,8.6,8.6,21133.0
SEMLFBSLGF,2022-05-08,8.8,8.9,8.6,8.6,262200.0
SEMLFBSLGF,2022-05-09,8.8,8.8,8.6,8.6,283930.0
SEMLFBSLGF,2022-05-10,8.7,8.8,8.6,8.6,69452.0
SEMLFBSLGF,2022-05-11,8.6,8.6,8.3,8.5,556987.0
SEMLFBSLGF,2022-05-12,8.5,8.5,8.4,8.4,67605.0
SEMLFBSLGF,2022-05-16,8.4,8.4,8.1,8.1,203341.0
SEMLFBSLGF,2022-05-17,8.5,8.5,8.0,8.0,176366.0
SEMLFBSLGF,2022-05-18,8.3,8.3,7.9,8.0,261890.0
SEMLFBSLGF,2022-05-19,8.2,8.2,7.9,8.0,102638.0
SEMLFBSLGF,2022-05-22,7.9,8.0,7.6,7.7,185425.0
SEMLFBSLGF,2022-05-23,7.9,8.1,7.9,8.1,55619.0
SEMLFBSLGF,2022-05-24,8.2,8.2,8.0,8.0,65940.0
SEMLFBSLGF,2022-05-25,8.0,8.0,7.9,7.9,96480.0
SEMLFBSLGF,2022-05-26,8.0,8.1,8.0,8.0,60368.0
SEMLFBSLGF,2022-05-29,8.3,8.3,8.1,8.2,50129.0
SEMLFBSLGF,2022-05-30,8.2,8.4,8.2,8.3,72862.0
SEMLFBSLGF,2022-05-31,8.3,8.5,8.3,8.3,155458.0
SEMLFBSLGF,2022-06-01,8.3,8.5,8.3,8.4,64244.0
SEMLFBSLGF,2022-06-02,8.5,8.6,8.4,8.5,152021.0
SEMLFBSLGF,2022-06-05,9.0,9.0,8.4,8.6,187333.0
SEMLFBSLGF,2022-06-06,8.8,8.8,8.6,8.7,330884.0
SEMLFBSLGF,2022-06-07,8.6,8.8,8.6,8.6,240944.0
SEMLFBSLGF,2022-06-08,8.7,9.2,8.7,9.1,773865.0
SEMLFBSLGF,2022-06-09,9.1,9.1,9.0,9.0,78060.0
SEMLFBSLGF,2022-06-12,8.9,8.9,8.9,8.9,146579.0
SEMLFBSLGF,2022-06-13,8.8,8.9,8.8,8.8,95210.0
SEMLFBSLGF,2022-06-14,8.9,8.9,8.7,8.8,191761.0
SEMLFBSLGF,2022-06-15,9.0,9.0,8.8,8.9,73776.0
