symbol,date,open,high,low,close,volume
SEMLIBBLSF,2022-01-02,9.6,9.6,9.5,9.6,112079.0
SEMLIBBLSF,2022-01-03,9.5,9.9,9.4,9.8,103419.0
SEMLIBBLSF,2022-01-04,9.9,9.9,9.5,9.7,70854.0
SEMLIBBLSF,2022-01-05,9.7,9.7,9.5,9.5,46310.0
SEMLIBBLSF,2022-01-06,9.7,9.7,9.5,9.6,29060.0
SEMLIBBLSF,2022-01-09,9.6,9.7,9.4,9.5,100400.0
SEMLIBBLSF,2022-01-10,9.5,9.5,9.1,9.2,424300.0
SEMLIBBLSF,2022-01-11,9.4,9.7,9.2,9.6,450800.0
SEMLIBBLSF,2022-01-12,9.6,9.8,9.4,9.4,273561.0
SEMLIBBLSF,2022-01-13,9.5,9.5,9.3,9.4,18869.0
SEMLIBBLSF,2022-01-16,9.3,9.4,9.3,9.3,140191.0
SEMLIBBLSF,2022-01-17,9.3,9.4,9.3,9.3,92304.0
SEMLIBBLSF,2022-01-18,9.3,9.4,9.3,9.3,66852.0
SEMLIBBLSF,2022-01-19,9.3,9.4,9.2,9.3,314994.0
SEMLIBBLSF,2022-01-20,9.4,9.4,9.3,9.4,94537.0
SEMLIBBLSF,2022-01-23,9.4,9.4,9.2,9.2,94374.0
SEMLIBBLSF,2022-01-24,9.2,9.3,9.1,9.2,150485.0
SEMLIBBLSF,2022-01-25,9.2,9.3,9.1,9.2,80300.0
SEMLIBBLSF,2022-01-26,9.2,9.3,9.1,9.2,104275.0
SEMLIBBLSF,2022-01-27,9.3,9.4,9.2,9.2,23373.0
SEMLIBBLSF,2022-01-30,9.2,9.3,9.1,9.2,174932.0
SEMLIBBLSF,2022-01-31,9.2,9.2,8.9,8.9,330443.0
SEMLIBBLSF,2022-02-01,9.0,9.0,8.9,9.0,192858.0
SEMLIBBLSF,2022-02-02,9.0,9.1,8.9,9.0,85590.0
SEMLIBBLSF,2022-02-03,9.1,9.1,8.8,8.8,105900.0
SEMLIBBLSF,2022-02-06,8.8,8.9,8.7,8.9,122879.0
SEMLIBBLSF,2022-02-07,8.9,9.0,8.9,8.9,198159.0
SEMLIBBLSF,2022-02-08,8.9,9.0,8.8,8.8,118951.0
SEMLIBBLSF,2022-02-09,8.9,9.0,8.8,8.9,9815.0
SEMLIBBLSF,2022-02-10,9.0,9.0,8.9,8.9,96380.0
SEMLIBBLSF,2022-02-13,8.9,8.9,8.8,8.9,40700.0
SEMLIBBLSF,2022-02-14,9.0,9.1,8.8,8.9,101435.0
SEMLIBBLSF,2022-02-15,8.9,8.9,8.8,8.8,135014.0
SEMLIBBLSF,2022-02-16,8.8,8.9,8.7,8.7,89549.0
SEMLIBBLSF,2022-02-17,8.9,8.9,8.7,8.8,26582.0
SEMLIBBLSF,2022-02-20,8.8,8.8,8.7,8.7,85619.0
SEMLIBBLSF,2022-02-22,8.6,8.7,8.6,8.6,51507.0
SEMLIBBLSF,2022-02-23,8.7,8.8,8.6,8.7,18191.0
SEMLIBBLSF,2022-02-24,8.7,8.7,8.5,8.6,119864.0
SEMLIBBLSF,2022-02-27,8.5,8.6,8.4,8.5,108540.0
SEMLIBBLSF,2022-02-28,8.4,8.6,8.2,8.3,106772.0
SEMLIBBLSF,2022-03-01,8.5,8.5,8.3,8.4,116845.0
SEMLIBBLSF,2022-03-02,8.5,8.5,8.3,8.3,131694.0
SEMLIBBLSF,2022-03-03,8.4,8.5,8.3,8.4,19882.0
SEMLIBBLSF,2022-03-06,8.6,9.1,8.6,8.8,432261.0
SEMLIBBLSF,2022-03-07,8.7,8.7,8.3,8.4,195424.0
SEMLIBBLSF,2022-03-08,8.5,8.5,8.2,8.4,87302.0
SEMLIBBLSF,2022-03-09,8.5,8.7,8.3,8.5,212823.0
SEMLIBBLSF,2022-03-10,8.7,8.7,8.5,8.6,81200.0
SEMLIBBLSF,2022-03-13,8.7,9.2,8.7,9.1,221780.0
SEMLIBBLSF,2022-03-14,9.2,9.3,9.0,9.2,193658.0
SEMLIBBLSF,2022-03-15,9.4,9.9,9.3,9.6,499412.0
SEMLIBBLSF,2022-03-16,9.7,9.7,9.5,9.5,143271.0
SEMLIBBLSF,2022-03-20,9.4,9.4,9.4,9.4,96950.0
SEMLIBBLSF,2022-03-21,9.5,9.5,9.3,9.3,39865.0
SEMLIBBLSF,2022-03-22,9.5,9.5,9.2,9.3,195606.0
SEMLIBBLSF,2022-03-23,9.4,9.4,9.2,9.2,106444.0
SEMLIBBLSF,2022-03-24,9.2,9.3,9.2,9.2,50114.0
SEMLIBBLSF,2022-03-27,9.4,9.4,9.1,9.2,43417.0
SEMLIBBLSF,2022-03-28,9.2,9.3,9.2,9.3,39265.0
SEMLIBBLSF,2022-03-29,9.5,9.5,9.4,9.5,83683.0
SEMLIBBLSF,2022-03-30,9.7,9.7,9.4,9.6,243106.0
SEMLIBBLSF,2022-03-31,9.6,9.6,9.5,9.5,125787.0
SEMLIBBLSF,2022-04-03,9.6,9.6,9.5,9.5,121469.0
SEMLIBBLSF,2022-04-04,9.5,9.7,9.4,9.5,231023.0
SEMLIBBLSF,2022-04-05,9.5,9.5,9.4,9.4,39899.0
SEMLIBBLSF,2022-04-06,9.3,9.4,9.3,9.3,35080.0
