symbol,date,open,high,low,close,volume
SHAHJABANK,2022-01-02,21.9,22.6,21.9,22.2,421115.0
SHAHJABANK,2022-01-03,22.2,22.5,22.2,22.3,205954.0
SHAHJABANK,2022-01-04,22.2,22.4,22.1,22.1,149500.0
SHAHJABANK,2022-01-05,22.1,22.3,22.0,22.0,270888.0
SHAHJABANK,2022-01-06,22.2,22.5,22.1,22.4,190831.0
SHAHJABANK,2022-01-09,22.4,22.5,22.3,22.3,198806.0
SHAHJABANK,2022-01-10,22.3,22.5,22.3,22.5,485935.0
SHAHJABANK,2022-01-11,22.4,22.8,22.4,22.6,247346.0
SHAHJABANK,2022-01-12,22.6,22.7,22.5,22.6,103433.0
SHAHJABANK,2022-01-13,22.6,22.7,22.5,22.6,157786.0
SHAHJABANK,2022-01-16,22.6,22.6,22.0,22.3,637750.0
SHAHJABANK,2022-01-17,22.2,22.6,22.2,22.4,107725.0
SHAHJABANK,2022-01-18,22.3,22.7,22.3,22.5,165905.0
SHAHJABANK,2022-01-19,22.3,22.6,22.3,22.4,74478.0
SHAHJABANK,2022-01-20,22.6,22.6,22.3,22.3,92214.0
SHAHJABANK,2022-01-23,22.3,22.5,22.2,22.3,114291.0
SHAHJABANK,2022-01-24,22.2,22.7,22.2,22.3,111350.0
SHAHJABANK,2022-01-25,22.2,22.5,22.2,22.3,164445.0
SHAHJABANK,2022-01-26,22.2,22.4,22.2,22.3,129809.0
SHAHJABANK,2022-01-27,22.2,22.6,22.0,22.4,142161.0
SHAHJABANK,2022-01-30,22.2,22.6,22.2,22.4,68061.0
SHAHJABANK,2022-01-31,22.1,22.4,22.0,22.1,102354.0
SHAHJABANK,2022-02-01,22.1,22.3,22.0,22.2,33317.0
SHAHJABANK,2022-02-02,22.2,22.3,21.7,22.1,152597.0
SHAHJABANK,2022-02-03,21.9,22.4,21.9,22.3,62276.0
SHAHJABANK,2022-02-06,22.1,22.3,22.1,22.3,57027.0
SHAHJABANK,2022-02-07,22.2,22.6,22.1,22.2,154788.0
SHAHJABANK,2022-02-08,22.1,22.3,22.0,22.1,157769.0
SHAHJABANK,2022-02-09,22.1,22.3,22.0,22.1,363865.0
SHAHJABANK,2022-02-10,22.5,22.7,22.0,22.1,107269.0
SHAHJABANK,2022-02-13,22.3,22.3,22.0,22.3,67793.0
SHAHJABANK,2022-02-14,22.3,22.4,22.2,22.3,50175.0
SHAHJABANK,2022-02-15,22.2,22.5,22.2,22.4,188349.0
SHAHJABANK,2022-02-16,22.3,22.6,22.3,22.4,317180.0
SHAHJABANK,2022-02-17,22.3,22.6,22.3,22.3,382200.0
SHAHJABANK,2022-02-20,22.4,22.5,22.2,22.3,498040.0
SHAHJABANK,2022-02-22,22.3,22.5,22.3,22.4,143613.0
SHAHJABANK,2022-02-23,22.3,22.5,22.3,22.4,239079.0
SHAHJABANK,2022-02-24,22.5,22.5,22.3,22.4,223150.0
SHAHJABANK,2022-02-27,20.5,22.5,20.5,22.1,329755.0
SHAHJABANK,2022-02-28,22.5,22.5,21.9,22.3,116036.0
SHAHJABANK,2022-03-01,22.5,22.5,22.2,22.5,141231.0
SHAHJABANK,2022-03-02,22.6,22.6,22.0,22.4,82485.0
SHAHJABANK,2022-03-03,22.5,22.8,22.3,22.5,233154.0
SHAHJABANK,2022-03-06,22.5,22.6,22.3,22.5,251143.0
SHAHJABANK,2022-03-07,22.6,22.6,22.2,22.3,278040.0
SHAHJABANK,2022-03-08,22.5,22.6,22.2,22.4,233263.0
SHAHJABANK,2022-03-09,22.3,22.6,22.3,22.5,122998.0
SHAHJABANK,2022-03-10,22.6,22.6,22.4,22.4,116537.0
SHAHJABANK,2022-03-13,22.5,23.0,22.4,22.7,188885.0
SHAHJABANK,2022-03-14,22.7,23.3,22.6,23.1,561457.0
SHAHJABANK,2022-03-15,23.0,23.1,22.8,23.0,126059.0
SHAHJABANK,2022-03-16,23.0,23.1,22.9,23.1,228771.0
SHAHJABANK,2022-03-20,23.2,23.4,21.6,22.6,252547.0
SHAHJABANK,2022-03-21,22.5,22.9,22.5,22.6,95974.0
SHAHJABANK,2022-03-22,22.3,22.7,22.3,22.5,488359.0
SHAHJABANK,2022-03-23,22.6,22.7,22.3,22.4,373746.0
SHAHJABANK,2022-03-24,22.6,22.8,22.5,22.6,53011.0
SHAHJABANK,2022-03-27,22.4,22.8,22.4,22.6,23979.0
SHAHJABANK,2022-03-28,22.5,22.6,22.4,22.6,69398.0
SHAHJABANK,2022-03-29,22.5,22.7,22.5,22.6,45722.0
SHAHJABANK,2022-03-30,22.6,22.7,22.4,22.5,164005.0
SHAHJABANK,2022-03-31,22.4,22.5,22.1,22.2,349684.0
SHAHJABANK,2022-04-03,22.5,23.4,22.0,22.1,631650.0
SHAHJABANK,2022-04-04,22.1,22.5,21.8,21.9,259962.0
SHAHJABANK,2022-04-05,21.8,22.1,21.7,21.7,558226.0
SHAHJABANK,2022-04-07,20.3,20.4,20.3,20.3,632752.0
SHAHJABANK,2022-04-10,20.2,20.5,20.2,20.4,275528.0
SHAHJABANK,2022-04-11,20.4,20.4,20.3,20.3,199930.0
SHAHJABANK,2022-04-12,20.3,20.3,20.0,20.1,66823.0
SHAHJABANK,2022-04-13,20.1,20.2,20.1,20.1,79995.0
SHAHJABANK,2022-04-17,20.1,20.3,20.0,20.0,113560.0
SHAHJABANK,2022-04-18,20.0,20.0,19.8,19.9,17982.0
SHAHJABANK,2022-04-19,20.0,20.0,19.7,20.0,209146.0
SHAHJABANK,2022-04-20,20.0,20.0,19.8,19.9,141349.0
SHAHJABANK,2022-04-21,20.0,20.3,20.0,20.2,48705.0
SHAHJABANK,2022-04-24,20.1,20.4,20.1,20.3,19095.0
SHAHJABANK,2022-04-25,20.5,20.5,20.1,20.2,15277.0
SHAHJABANK,2022-04-26,20.1,20.5,20.1,20.4,57568.0
SHAHJABANK,2022-04-27,20.5,21.3,20.1,20.7,34256.0
SHAHJABANK,2022-04-28,20.7,20.7,20.3,20.5,53775.0
SHAHJABANK,2022-05-05,20.4,20.6,20.1,20.4,4344.0
SHAHJABANK,2022-05-08,20.4,20.4,20.0,20.1,76411.0
SHAHJABANK,2022-05-09,20.2,20.7,20.1,20.6,50631.0
SHAHJABANK,2022-05-10,20.2,20.5,20.2,20.4,18988.0
