symbol,date,open,high,low,close,volume
SHARPIND,2022-01-02,6.6,6.6,6.6,6.6,197397.0
SHARPIND,2022-01-03,7.2,7.2,7.2,7.2,250350.0
SHARPIND,2022-01-04,7.9,7.9,7.3,7.5,8433414.0
SHARPIND,2022-01-05,7.6,7.7,7.2,7.3,1390200.0
SHARPIND,2022-01-06,7.4,7.4,7.0,7.1,1155961.0
SHARPIND,2022-01-09,7.0,7.2,6.7,6.8,1746325.0
SHARPIND,2022-01-10,6.7,6.8,6.5,6.6,1260855.0
SHARPIND,2022-01-11,6.6,6.7,6.5,6.5,809130.0
SHARPIND,2022-01-12,6.6,7.0,6.5,6.7,928741.0
SHARPIND,2022-01-13,6.8,6.8,6.6,6.6,263517.0
SHARPIND,2022-01-16,6.7,6.8,6.6,6.6,347877.0
SHARPIND,2022-01-17,6.7,6.8,6.6,6.6,284899.0
SHARPIND,2022-01-18,6.7,6.7,6.5,6.6,439654.0
SHARPIND,2022-01-19,6.7,6.7,6.6,6.6,407193.0
SHARPIND,2022-01-20,6.7,6.9,6.6,6.9,954723.0
SHARPIND,2022-01-23,6.9,6.9,6.6,6.8,813593.0
SHARPIND,2022-01-24,6.8,6.8,6.6,6.6,323880.0
SHARPIND,2022-01-25,6.8,6.8,6.6,6.7,511117.0
SHARPIND,2022-01-26,6.7,6.8,6.7,6.7,426195.0
SHARPIND,2022-01-27,6.8,6.8,6.6,6.7,606878.0
SHARPIND,2022-01-30,6.8,6.8,6.6,6.6,321867.0
SHARPIND,2022-01-31,6.8,6.8,6.5,6.5,510565.0
SHARPIND,2022-02-01,6.6,6.7,6.5,6.6,289693.0
SHARPIND,2022-02-02,6.7,6.7,6.6,6.6,390673.0
SHARPIND,2022-02-03,6.7,6.7,6.5,6.5,548254.0
SHARPIND,2022-02-06,6.7,6.7,6.5,6.5,374664.0
SHARPIND,2022-02-07,6.6,6.6,6.4,6.5,381036.0
SHARPIND,2022-02-08,6.6,6.6,6.5,6.5,251306.0
SHARPIND,2022-02-09,6.6,6.6,6.5,6.5,262707.0
SHARPIND,2022-02-10,6.6,6.7,6.5,6.6,435942.0
SHARPIND,2022-02-13,6.7,6.8,6.6,6.8,864559.0
SHARPIND,2022-02-14,6.8,6.8,6.6,6.6,296334.0
SHARPIND,2022-02-15,6.7,6.7,6.5,6.6,306366.0
SHARPIND,2022-02-16,6.7,6.7,6.6,6.6,385717.0
SHARPIND,2022-02-17,6.7,6.7,6.5,6.5,666628.0
SHARPIND,2022-02-20,6.6,6.6,6.4,6.5,461730.0
SHARPIND,2022-02-22,6.6,6.6,6.5,6.5,318310.0
SHARPIND,2022-02-23,6.6,6.7,6.5,6.5,210219.0
SHARPIND,2022-02-24,6.6,6.8,6.5,6.6,775458.0
SHARPIND,2022-02-27,6.6,6.6,6.2,6.2,917286.0
SHARPIND,2022-02-28,6.4,6.5,6.1,6.3,703621.0
SHARPIND,2022-03-01,6.5,6.5,6.3,6.3,316493.0
SHARPIND,2022-03-02,6.4,6.5,6.2,6.3,296790.0
SHARPIND,2022-03-03,6.3,6.4,6.2,6.3,496930.0
SHARPIND,2022-03-06,6.5,6.9,6.5,6.8,2699880.0
SHARPIND,2022-03-07,6.9,6.9,6.4,6.5,839688.0
SHARPIND,2022-03-08,6.5,6.6,6.2,6.5,922990.0
SHARPIND,2022-03-09,6.9,6.9,6.6,6.8,822588.0
SHARPIND,2022-03-10,7.1,7.1,6.8,6.9,2200300.0
SHARPIND,2022-03-13,7.0,7.1,6.9,7.0,791658.0
SHARPIND,2022-03-14,7.1,7.1,7.0,7.1,1071645.0
SHARPIND,2022-03-15,7.1,7.3,7.1,7.2,1182989.0
SHARPIND,2022-03-16,7.3,7.8,7.3,7.6,4305331.0
SHARPIND,2022-03-20,7.6,7.8,7.5,7.5,1364142.0
SHARPIND,2022-03-21,7.5,7.5,7.4,7.4,455437.0
SHARPIND,2022-03-22,7.3,7.4,7.3,7.3,1207330.0
SHARPIND,2022-03-23,7.3,7.3,7.2,7.2,1058266.0
SHARPIND,2022-03-24,7.1,7.2,7.1,7.1,503826.0
SHARPIND,2022-03-27,7.1,7.1,7.0,7.0,487632.0
SHARPIND,2022-03-28,6.9,7.2,6.9,7.1,901133.0
SHARPIND,2022-03-29,7.2,7.3,7.1,7.2,911450.0
SHARPIND,2022-03-31,7.2,7.3,7.1,7.2,602517.0
SHARPIND,2022-04-03,7.2,7.3,7.1,7.1,510491.0
SHARPIND,2022-04-04,7.1,7.2,7.0,7.0,387584.0
SHARPIND,2022-04-05,7.1,7.1,6.9,6.9,381241.0
SHARPIND,2022-04-06,6.9,7.0,6.8,6.8,559707.0
SHARPIND,2022-04-07,6.7,6.7,6.7,6.7,270257.0
SHARPIND,2022-04-10,6.7,6.7,6.6,6.7,333348.0
