symbol,date,open,high,low,close,volume
SHURWID,2022-01-02,18.1,18.2,17.9,18.1,282942.0
SHURWID,2022-01-03,18.0,19.5,17.9,18.7,1868511.0
SHURWID,2022-01-04,18.7,19.5,18.5,19.3,1195799.0
SHURWID,2022-01-05,19.7,20.3,19.5,20.0,2311364.0
SHURWID,2022-01-06,19.5,20.0,18.9,19.1,1315778.0
SHURWID,2022-01-09,19.1,19.5,18.5,18.6,910548.0
SHURWID,2022-01-10,19.0,20.3,18.6,19.6,1687416.0
SHURWID,2022-01-11,20.0,20.3,19.2,19.4,1443764.0
SHURWID,2022-01-12,19.5,21.1,19.5,20.2,2636985.0
SHURWID,2022-01-13,20.4,21.5,20.3,21.0,3105378.0
SHURWID,2022-01-16,21.2,21.4,20.3,20.5,1485729.0
SHURWID,2022-01-17,20.8,20.8,20.0,20.1,1640885.0
SHURWID,2022-01-18,20.5,21.2,20.2,20.9,1360733.0
SHURWID,2022-01-19,21.1,21.4,20.2,20.4,1524052.0
SHURWID,2022-01-20,20.4,21.4,20.4,20.5,1479743.0
SHURWID,2022-01-23,20.4,20.7,19.8,19.9,572392.0
SHURWID,2022-01-24,20.1,20.1,19.1,19.2,762278.0
SHURWID,2022-01-25,19.3,19.7,19.0,19.1,387756.0
SHURWID,2022-01-26,19.1,19.5,18.6,18.8,647390.0
SHURWID,2022-01-27,19.2,19.2,18.8,19.0,598806.0
SHURWID,2022-01-30,18.8,18.8,18.4,18.5,339078.0
SHURWID,2022-01-31,18.6,18.6,18.1,18.2,283344.0
SHURWID,2022-02-01,18.7,18.7,18.3,18.5,194485.0
SHURWID,2022-02-02,18.6,19.4,18.6,19.0,596354.0
SHURWID,2022-02-03,19.0,19.6,19.0,19.1,707880.0
SHURWID,2022-02-06,19.2,19.2,18.8,18.9,345093.0
SHURWID,2022-02-07,18.9,19.1,18.4,18.4,385286.0
SHURWID,2022-02-08,18.7,18.9,18.2,18.3,308982.0
SHURWID,2022-02-09,18.8,18.9,18.4,18.4,425147.0
SHURWID,2022-02-10,18.5,18.8,18.5,18.6,299085.0
SHURWID,2022-02-13,18.8,19.0,18.5,18.6,338614.0
SHURWID,2022-02-14,18.6,18.8,18.4,18.4,256753.0
SHURWID,2022-02-15,18.4,18.6,18.3,18.3,127923.0
SHURWID,2022-02-16,18.4,18.5,17.9,18.0,686432.0
SHURWID,2022-02-17,18.2,18.2,17.3,17.4,426674.0
SHURWID,2022-02-20,17.7,17.8,17.0,17.3,305147.0
SHURWID,2022-02-22,17.1,19.0,17.1,18.7,617078.0
SHURWID,2022-02-23,18.9,19.6,18.4,19.5,1326152.0
SHURWID,2022-02-24,19.2,19.7,18.7,19.0,1002196.0
SHURWID,2022-02-27,18.5,18.9,18.2,18.6,646998.0
SHURWID,2022-02-28,18.6,20.2,18.5,19.7,973095.0
SHURWID,2022-03-01,19.7,20.1,19.4,19.6,697330.0
SHURWID,2022-03-02,19.3,19.9,19.0,19.7,693062.0
SHURWID,2022-03-03,19.8,21.4,19.5,21.1,3597166.0
SHURWID,2022-03-06,21.3,21.6,19.4,19.6,2377023.0
SHURWID,2022-03-07,19.6,19.7,18.5,18.6,780051.0
SHURWID,2022-03-08,18.6,19.2,18.4,18.8,763740.0
SHURWID,2022-03-09,19.4,19.5,18.9,19.4,706916.0
SHURWID,2022-03-10,19.6,19.7,19.1,19.5,1253397.0
SHURWID,2022-03-13,20.0,21.4,19.8,21.4,3082234.0
SHURWID,2022-03-14,21.5,22.0,21.0,21.1,2190129.0
SHURWID,2022-03-15,20.9,23.0,20.8,22.9,3795706.0
SHURWID,2022-03-16,23.0,23.3,22.5,22.5,2173785.0
SHURWID,2022-03-20,22.2,22.3,22.1,22.1,483377.0
SHURWID,2022-03-21,21.7,21.7,21.7,21.7,292807.0
SHURWID,2022-03-22,21.4,21.7,21.3,21.3,1593175.0
SHURWID,2022-03-23,21.8,21.8,20.9,20.9,974013.0
SHURWID,2022-03-24,21.2,21.5,20.7,20.9,526632.0
SHURWID,2022-03-27,21.1,22.0,21.0,21.8,1311950.0
SHURWID,2022-03-28,21.9,22.3,21.5,22.1,1123247.0
SHURWID,2022-03-29,22.2,22.3,21.7,21.7,911286.0
SHURWID,2022-03-30,21.7,21.8,21.3,21.3,516202.0
SHURWID,2022-03-31,21.4,21.9,21.2,21.7,505285.0
SHURWID,2022-04-03,21.8,21.8,21.3,21.4,452178.0
SHURWID,2022-04-04,21.4,21.6,21.0,21.0,524349.0
SHURWID,2022-04-05,20.8,20.9,20.6,20.6,469451.0
SHURWID,2022-04-06,21.0,21.0,20.2,20.2,358580.0
SHURWID,2022-04-07,20.4,20.7,19.8,20.5,274370.0
SHURWID,2022-04-10,20.7,21.3,20.4,21.1,530848.0
SHURWID,2022-04-11,21.0,21.3,20.7,20.7,637992.0
SHURWID,2022-04-12,20.4,20.6,20.3,20.3,196738.0
SHURWID,2022-04-13,20.1,20.3,19.9,20.1,461388.0
SHURWID,2022-04-17,20.4,20.5,19.7,19.7,351010.0
SHURWID,2022-04-18,19.5,19.5,19.4,19.4,102167.0
SHURWID,2022-04-19,19.1,19.7,19.1,19.5,282648.0
SHURWID,2022-04-20,19.7,20.0,19.2,19.7,389386.0
SHURWID,2022-04-21,20.0,20.4,19.8,20.3,291502.0
SHURWID,2022-04-24,20.5,20.6,19.7,19.9,283554.0
SHURWID,2022-04-25,19.8,19.9,19.5,19.6,159176.0
SHURWID,2022-04-26,20.1,21.2,19.9,20.6,797211.0
SHURWID,2022-04-27,20.8,21.2,20.7,21.0,743333.0
SHURWID,2022-04-28,21.2,21.6,20.7,21.2,940037.0
SHURWID,2022-05-05,21.2,21.5,20.8,21.2,518783.0
SHURWID,2022-05-08,21.4,21.4,20.6,20.8,662090.0
SHURWID,2022-05-09,20.9,21.1,20.7,21.0,771740.0
SHURWID,2022-05-10,21.2,21.2,20.0,20.2,913821.0
SHURWID,2022-05-11,20.1,20.7,20.0,20.2,735333.0
SHURWID,2022-05-12,20.3,21.0,20.1,20.6,849089.0
SHURWID,2022-05-16,20.9,21.5,20.5,20.7,1603620.0
SHURWID,2022-05-17,21.2,21.2,19.7,20.4,787471.0
SHURWID,2022-05-18,20.9,20.9,19.4,19.5,881631.0
SHURWID,2022-05-19,19.2,19.8,18.8,19.1,720391.0
SHURWID,2022-05-22,19.3,19.3,18.2,18.2,303032.0
SHURWID,2022-05-23,19.0,19.5,18.5,19.0,472174.0
SHURWID,2022-05-24,19.1,19.5,18.7,18.9,321450.0
SHURWID,2022-05-25,18.4,18.7,18.1,18.4,211829.0
SHURWID,2022-05-26,18.1,18.6,18.1,18.5,153339.0
SHURWID,2022-05-29,18.9,19.4,18.9,19.2,368758.0
SHURWID,2022-05-30,19.6,19.6,18.9,19.0,428005.0
SHURWID,2022-05-31,19.0,19.2,19.0,19.0,222432.0
SHURWID,2022-06-01,19.1,19.6,19.1,19.4,330094.0
SHURWID,2022-06-02,19.6,19.7,19.1,19.2,601332.0
SHURWID,2022-06-05,19.1,20.4,19.1,20.1,709661.0
SHURWID,2022-06-06,20.2,20.2,19.7,19.7,414850.0
SHURWID,2022-06-07,19.6,19.6,19.4,19.4,364041.0
SHURWID,2022-06-08,19.3,19.7,19.2,19.4,417102.0
SHURWID,2022-06-09,19.6,20.2,19.5,19.7,595895.0
SHURWID,2022-06-12,19.6,21.2,19.4,21.1,1863390.0
SHURWID,2022-06-13,21.4,21.6,20.7,20.7,1091489.0
SHURWID,2022-06-14,20.3,21.8,20.3,21.6,1797324.0
SHURWID,2022-06-15,22.0,22.8,21.9,22.2,3358085.0
SHURWID,2022-06-16,22.5,22.5,21.8,21.8,1962087.0
SHURWID,2022-06-19,21.9,22.6,21.6,21.9,1488943.0
SHURWID,2022-06-20,21.9,22.1,21.5,21.5,857363.0
SHURWID,2022-06-21,21.2,21.3,21.1,21.1,954020.0
SHURWID,2022-06-22,21.2,21.4,20.7,21.0,1331197.0
SHURWID,2022-06-23,21.0,23.1,21.0,22.8,3177628.0
SHURWID,2022-06-26,23.0,23.5,22.4,22.5,3356973.0
SHURWID,2022-06-27,22.5,23.4,22.3,23.1,3127722.0
SHURWID,2022-06-28,23.1,23.3,22.7,22.7,2033899.0
SHURWID,2022-06-29,22.4,22.4,22.3,22.3,347074.0
SHURWID,2022-06-30,21.9,21.9,21.9,21.9,329074.0
SHURWID,2022-07-03,21.5,21.5,21.5,21.5,140277.0
SHURWID,2022-07-04,21.1,22.5,21.1,21.8,4774424.0
SHURWID,2022-07-05,22.6,22.6,21.4,21.5,2337605.0
SHURWID,2022-07-06,21.3,21.5,21.1,21.1,1216031.0
SHURWID,2022-07-07,21.2,21.4,20.7,20.9,1395140.0
SHURWID,2022-07-12,21.2,21.2,20.5,20.5,1097230.0
SHURWID,2022-07-13,20.6,21.5,20.2,20.7,1068467.0
SHURWID,2022-07-14,21.0,21.0,20.3,20.5,595814.0
SHURWID,2022-07-17,21.0,21.0,20.3,20.3,642165.0
SHURWID,2022-07-18,20.5,20.5,19.9,19.9,427432.0
SHURWID,2022-07-19,19.6,19.6,19.6,19.6,78251.0
SHURWID,2022-07-20,19.3,19.8,19.3,19.3,1287603.0
SHURWID,2022-07-21,19.7,19.8,19.0,19.1,679155.0
SHURWID,2022-07-24,19.1,19.1,18.8,18.8,311579.0
SHURWID,2022-07-25,18.5,19.1,18.5,19.0,809217.0
SHURWID,2022-07-26,19.3,19.6,18.7,18.8,761768.0
SHURWID,2022-07-27,18.9,19.0,18.5,18.5,383143.0
SHURWID,2022-07-28,18.2,18.3,18.2,18.2,288770.0
SHURWID,2022-07-31,18.6,18.9,18.6,18.7,492073.0
SHURWID,2022-08-01,19.5,19.5,18.7,18.8,797950.0
SHURWID,2022-08-02,18.8,19.7,18.7,19.5,893346.0
SHURWID,2022-08-03,19.7,19.9,18.9,19.1,1256455.0
SHURWID,2022-08-04,19.0,19.6,18.9,19.1,960056.0
SHURWID,2022-08-07,20.0,20.0,18.9,19.4,862697.0
SHURWID,2022-08-08,19.7,20.1,19.4,19.7,1573643.0
SHURWID,2022-08-10,19.9,21.3,19.6,20.7,4129655.0
SHURWID,2022-08-11,20.5,20.8,19.7,19.8,1186446.0
SHURWID,2022-08-14,19.9,20.3,19.7,20.1,1207940.0
SHURWID,2022-08-16,20.4,20.4,19.8,20.1,1131761.0
SHURWID,2022-08-17,20.2,21.6,20.2,21.2,4205775.0
SHURWID,2022-08-21,21.3,21.8,20.8,20.9,2046370.0
SHURWID,2022-08-22,20.9,21.5,20.5,20.6,3093030.0
SHURWID,2022-08-23,20.6,21.1,20.2,20.3,1840803.0
SHURWID,2022-08-24,20.5,20.5,19.4,19.6,1425418.0
SHURWID,2022-08-25,19.9,20.1,19.6,19.7,1889644.0
SHURWID,2022-08-28,19.8,20.3,19.6,19.7,1368025.0
SHURWID,2022-08-29,19.8,20.5,19.7,20.3,1677226.0
SHURWID,2022-08-30,20.6,21.3,20.5,21.1,2713545.0
SHURWID,2022-08-31,21.3,21.4,20.8,20.9,2328855.0
SHURWID,2022-09-01,20.8,21.0,20.1,20.2,1340056.0
SHURWID,2022-09-04,20.2,20.6,19.9,19.9,1647555.0
SHURWID,2022-09-05,20.0,20.1,19.3,19.4,1003766.0
SHURWID,2022-09-06,19.8,19.8,19.1,19.3,680566.0
SHURWID,2022-09-07,19.6,20.1,19.3,19.3,920042.0
SHURWID,2022-09-08,19.3,19.7,19.1,19.2,816311.0
SHURWID,2022-09-11,19.2,19.4,18.7,18.7,744368.0
SHURWID,2022-09-12,19.1,19.1,18.7,18.9,320024.0
SHURWID,2022-09-13,19.3,19.3,18.9,19.0,285298.0
SHURWID,2022-09-14,19.3,19.3,18.7,18.7,526736.0
SHURWID,2022-09-15,18.9,18.9,18.6,18.7,327814.0
SHURWID,2022-09-18,18.6,19.0,18.6,18.6,504353.0
SHURWID,2022-09-19,18.6,18.8,18.6,18.6,587743.0
SHURWID,2022-09-20,18.6,18.7,18.6,18.6,947415.0
SHURWID,2022-09-21,18.6,18.6,18.6,18.6,18439.0
SHURWID,2022-09-22,18.6,18.6,18.6,18.6,20083.0
SHURWID,2022-09-25,18.6,19.1,18.6,18.9,1226176.0
SHURWID,2022-09-26,19.0,19.1,18.6,18.6,695038.0
SHURWID,2022-09-27,18.6,18.7,18.6,18.6,217121.0
SHURWID,2022-09-28,18.6,18.6,18.6,18.6,107636.0
SHURWID,2022-09-29,18.6,18.6,18.6,18.6,11295.0
SHURWID,2022-10-02,18.6,18.6,18.6,18.6,41302.0
SHURWID,2022-10-03,18.6,18.6,18.6,18.6,13300.0
SHURWID,2022-10-04,18.6,18.6,18.6,18.6,11071.0
SHURWID,2022-10-06,18.6,18.6,18.6,18.6,10169.0
SHURWID,2022-10-10,18.6,18.6,18.6,18.6,26907.0
SHURWID,2022-10-11,18.6,19.0,18.6,18.6,1358203.0
SHURWID,2022-10-12,18.6,18.6,18.6,18.6,95150.0
SHURWID,2022-10-13,18.6,18.6,18.6,18.6,56365.0
SHURWID,2022-10-16,18.6,18.6,18.6,18.6,2584.0
SHURWID,2022-10-17,18.6,18.6,18.6,18.6,1808.0
SHURWID,2022-10-18,18.6,18.6,18.6,18.6,16354.0
SHURWID,2022-10-19,18.6,18.6,18.6,18.6,508890.0
SHURWID,2022-10-20,18.6,18.6,18.6,18.6,1600.0
SHURWID,2022-10-23,18.6,18.6,18.6,18.6,110.0
SHURWID,2022-10-24,18.6,18.6,18.6,18.6,1.0
SHURWID,2022-10-25,18.6,18.6,18.6,18.6,250.0
SHURWID,2022-10-26,18.6,18.6,18.6,18.6,1.0
SHURWID,2022-10-27,18.6,18.6,18.6,18.6,10.0
SHURWID,2022-10-30,18.6,18.6,18.6,18.6,112.0
