symbol,date,open,high,low,close,volume
SILCOPHL,2022-01-02,24.7,24.9,24.4,24.4,167957.0
SILCOPHL,2022-01-03,24.9,25.0,24.6,24.8,218794.0
SILCOPHL,2022-01-04,24.6,25.2,24.5,25.0,277667.0
SILCOPHL,2022-01-05,25.2,25.9,25.2,25.8,368253.0
SILCOPHL,2022-01-06,25.9,26.1,25.4,25.7,515455.0
SILCOPHL,2022-01-09,25.9,26.3,25.2,25.4,295533.0
SILCOPHL,2022-01-10,25.7,25.7,25.1,25.3,256049.0
SILCOPHL,2022-01-11,25.5,25.9,25.1,25.3,458745.0
SILCOPHL,2022-01-12,25.5,25.9,24.7,24.9,329898.0
SILCOPHL,2022-01-13,25.3,25.4,24.5,24.7,205490.0
SILCOPHL,2022-01-16,25.2,25.2,24.6,24.7,226827.0
SILCOPHL,2022-01-17,25.0,25.0,24.4,24.5,354707.0
SILCOPHL,2022-01-18,25.2,25.8,24.5,25.4,751328.0
SILCOPHL,2022-01-19,25.5,25.7,25.1,25.6,368205.0
SILCOPHL,2022-01-20,25.6,26.4,25.6,25.8,866783.0
SILCOPHL,2022-01-23,26.1,26.1,25.2,25.2,198947.0
SILCOPHL,2022-01-24,24.9,25.4,24.8,24.9,232820.0
SILCOPHL,2022-01-25,25.1,25.3,24.5,24.6,291454.0
SILCOPHL,2022-01-26,24.9,25.0,24.5,24.6,234746.0
SILCOPHL,2022-01-27,24.8,25.2,24.5,24.7,319733.0
SILCOPHL,2022-01-30,24.9,25.0,24.5,24.6,295048.0
SILCOPHL,2022-01-31,24.5,24.8,24.5,24.7,202405.0
SILCOPHL,2022-02-01,24.6,25.1,24.6,25.0,410518.0
SILCOPHL,2022-02-02,25.0,26.6,25.0,25.9,1282439.0
SILCOPHL,2022-02-03,26.3,26.3,25.6,25.7,328565.0
SILCOPHL,2022-02-06,25.9,25.9,25.1,25.6,427124.0
SILCOPHL,2022-02-07,25.7,25.9,25.1,25.2,313695.0
SILCOPHL,2022-02-08,25.2,26.3,25.0,25.9,480689.0
SILCOPHL,2022-02-09,26.2,26.6,26.0,26.3,707974.0
SILCOPHL,2022-02-10,26.4,26.4,25.9,26.2,274132.0
SILCOPHL,2022-02-13,26.2,26.5,26.1,26.2,277896.0
SILCOPHL,2022-02-14,26.3,26.5,25.9,26.3,418038.0
SILCOPHL,2022-02-15,26.4,26.7,25.9,26.0,220675.0
SILCOPHL,2022-02-16,25.9,25.9,24.8,25.0,571271.0
SILCOPHL,2022-02-17,25.1,25.4,24.8,25.2,270931.0
SILCOPHL,2022-02-20,25.1,25.1,24.4,24.5,630896.0
SILCOPHL,2022-02-22,24.5,25.1,24.3,24.9,338452.0
SILCOPHL,2022-02-23,24.7,25.5,24.7,25.2,211897.0
SILCOPHL,2022-02-24,25.2,25.3,24.5,24.6,367204.0
SILCOPHL,2022-02-27,24.2,24.8,23.6,23.7,217352.0
SILCOPHL,2022-02-28,23.7,24.2,23.7,23.9,133837.0
SILCOPHL,2022-03-01,24.0,24.5,24.0,24.1,250581.0
SILCOPHL,2022-03-02,24.1,24.1,23.7,23.8,167927.0
SILCOPHL,2022-03-03,23.8,24.0,23.4,23.8,52775.0
SILCOPHL,2022-03-06,23.8,24.0,23.6,23.6,150064.0
SILCOPHL,2022-03-07,23.8,23.8,22.4,22.7,254804.0
SILCOPHL,2022-03-08,23.1,23.2,22.1,22.9,282530.0
SILCOPHL,2022-03-09,23.2,23.6,23.0,23.5,201604.0
SILCOPHL,2022-03-10,23.9,24.5,23.5,23.8,149210.0
SILCOPHL,2022-03-13,24.1,25.9,24.0,25.4,759327.0
SILCOPHL,2022-03-14,25.5,25.7,25.1,25.4,623306.0
SILCOPHL,2022-03-15,25.5,27.3,25.5,27.1,2433367.0
SILCOPHL,2022-03-16,27.2,29.1,27.0,28.3,2663045.0
SILCOPHL,2022-03-20,28.0,28.1,27.8,27.8,811621.0
SILCOPHL,2022-03-21,27.6,29.8,27.4,28.4,5565126.0
SILCOPHL,2022-03-22,28.7,29.0,28.1,28.6,1415304.0
SILCOPHL,2022-03-23,28.7,28.7,28.1,28.1,832170.0
SILCOPHL,2022-03-24,28.0,28.0,27.6,27.6,411454.0
SILCOPHL,2022-03-27,27.5,27.8,27.1,27.1,192489.0
SILCOPHL,2022-03-28,26.8,27.2,26.6,26.9,535268.0
SILCOPHL,2022-03-29,27.4,27.4,26.6,27.0,235494.0
SILCOPHL,2022-03-30,27.5,27.5,26.5,26.7,369602.0
SILCOPHL,2022-03-31,26.8,27.0,26.2,26.4,293634.0
SILCOPHL,2022-04-03,27.3,27.3,26.2,26.5,395498.0
SILCOPHL,2022-04-04,26.5,27.0,26.0,26.1,177225.0
SILCOPHL,2022-04-05,26.5,26.5,25.6,26.0,74975.0
SILCOPHL,2022-04-06,25.8,26.2,25.5,25.6,172960.0
SILCOPHL,2022-04-07,25.6,25.9,25.2,25.8,146719.0
SILCOPHL,2022-04-10,26.3,26.4,25.5,26.0,202988.0
SILCOPHL,2022-04-11,26.0,26.2,25.9,26.0,291544.0
SILCOPHL,2022-04-12,25.9,25.9,25.5,25.5,200380.0
SILCOPHL,2022-04-13,25.0,25.9,25.0,25.5,107521.0
SILCOPHL,2022-04-17,26.2,26.2,25.3,25.5,149700.0
SILCOPHL,2022-04-18,25.2,25.9,25.0,25.0,150320.0
SILCOPHL,2022-04-19,24.8,25.7,24.7,25.6,188731.0
SILCOPHL,2022-04-20,26.1,26.2,25.6,26.1,119268.0
SILCOPHL,2022-04-21,26.1,26.3,26.0,26.2,240994.0
SILCOPHL,2022-04-24,26.3,26.3,25.7,25.9,199432.0
SILCOPHL,2022-04-25,25.8,25.9,25.6,25.8,78258.0
SILCOPHL,2022-04-26,25.8,25.8,25.4,25.6,116610.0
