symbol,date,open,high,low,close,volume
SILVAPHL,2022-01-02,18.1,18.6,17.7,18.4,218214.0
SILVAPHL,2022-01-03,18.4,19.1,18.3,18.6,369108.0
SILVAPHL,2022-01-04,18.7,19.0,18.3,18.8,321527.0
SILVAPHL,2022-01-05,18.7,19.5,18.7,19.3,574096.0
SILVAPHL,2022-01-06,19.7,19.7,18.9,19.2,384426.0
SILVAPHL,2022-01-09,19.0,19.4,18.6,18.7,412503.0
SILVAPHL,2022-01-10,19.0,19.1,18.4,18.6,682111.0
SILVAPHL,2022-01-11,18.8,19.3,18.6,19.0,525222.0
SILVAPHL,2022-01-12,19.0,20.0,19.0,19.2,1142237.0
SILVAPHL,2022-01-13,19.5,19.9,19.0,19.6,513097.0
SILVAPHL,2022-01-16,19.2,19.6,19.1,19.3,414349.0
SILVAPHL,2022-01-17,19.2,19.6,19.0,19.2,469135.0
SILVAPHL,2022-01-18,19.5,19.8,19.1,19.4,696509.0
SILVAPHL,2022-01-19,19.5,19.7,19.3,19.5,385746.0
SILVAPHL,2022-01-20,19.6,20.5,19.5,19.9,874733.0
SILVAPHL,2022-01-23,20.0,20.0,19.2,19.3,303346.0
SILVAPHL,2022-01-24,19.3,19.3,18.8,18.9,463417.0
SILVAPHL,2022-01-25,19.0,19.3,18.8,18.9,209258.0
SILVAPHL,2022-01-26,19.3,19.3,18.9,18.9,87798.0
SILVAPHL,2022-01-27,19.1,19.3,19.0,19.1,198087.0
SILVAPHL,2022-01-30,19.3,19.3,18.6,18.7,891284.0
SILVAPHL,2022-01-31,18.8,18.8,18.5,18.5,228150.0
SILVAPHL,2022-02-01,18.5,18.9,18.4,18.7,785500.0
SILVAPHL,2022-02-02,19.0,19.6,18.8,19.4,805262.0
SILVAPHL,2022-02-03,19.5,19.5,19.0,19.2,475774.0
SILVAPHL,2022-02-06,19.2,20.1,19.1,19.6,907677.0
SILVAPHL,2022-02-07,19.9,20.2,19.5,19.8,528665.0
SILVAPHL,2022-02-08,20.0,20.5,19.9,20.3,874029.0
SILVAPHL,2022-02-09,20.5,20.9,20.1,20.4,747902.0
SILVAPHL,2022-02-10,20.3,20.5,20.1,20.2,403572.0
SILVAPHL,2022-02-13,20.3,20.7,20.1,20.2,318454.0
SILVAPHL,2022-02-14,20.2,20.4,19.7,20.0,528328.0
SILVAPHL,2022-02-15,20.2,20.2,19.7,19.8,551767.0
SILVAPHL,2022-02-16,20.1,20.1,19.6,19.7,279142.0
SILVAPHL,2022-02-17,19.8,19.8,18.2,19.3,330684.0
SILVAPHL,2022-02-20,18.9,19.3,18.9,19.1,406049.0
SILVAPHL,2022-02-22,19.4,19.9,19.0,19.8,423925.0
SILVAPHL,2022-02-23,20.0,20.2,19.8,20.0,465912.0
SILVAPHL,2022-02-24,20.0,20.1,19.5,19.5,388205.0
SILVAPHL,2022-02-27,19.5,19.5,18.8,18.9,356755.0
SILVAPHL,2022-02-28,19.2,19.3,18.9,19.2,76114.0
SILVAPHL,2022-03-01,19.2,19.6,19.0,19.1,113159.0
SILVAPHL,2022-03-02,19.4,19.4,18.8,18.9,209975.0
SILVAPHL,2022-03-03,18.9,19.2,18.9,19.0,107112.0
SILVAPHL,2022-03-06,19.2,19.3,18.7,18.8,165661.0
SILVAPHL,2022-03-07,18.7,18.8,17.9,18.1,295548.0
SILVAPHL,2022-03-08,18.3,18.7,17.7,18.5,150104.0
SILVAPHL,2022-03-09,18.9,19.1,18.5,19.0,195697.0
SILVAPHL,2022-03-10,19.3,20.0,19.1,19.4,682188.0
SILVAPHL,2022-03-13,19.4,20.7,19.4,20.6,1156439.0
SILVAPHL,2022-03-14,20.6,20.8,20.2,20.3,843407.0
SILVAPHL,2022-03-15,20.3,22.2,20.1,21.9,2972299.0
SILVAPHL,2022-03-16,21.9,23.0,21.7,22.0,2010915.0
SILVAPHL,2022-03-20,22.0,22.0,21.6,21.6,931456.0
SILVAPHL,2022-03-21,21.3,22.3,21.3,21.9,1886814.0
SILVAPHL,2022-03-22,22.2,22.3,21.7,21.8,938550.0
SILVAPHL,2022-03-23,21.9,22.1,21.4,21.4,739589.0
SILVAPHL,2022-03-24,21.2,21.7,21.1,21.5,630112.0
SILVAPHL,2022-03-27,21.5,21.8,21.1,21.1,482511.0
SILVAPHL,2022-03-28,21.3,21.5,20.9,21.3,502884.0
SILVAPHL,2022-03-29,21.7,21.7,21.3,21.5,533698.0
SILVAPHL,2022-03-30,21.6,21.8,21.4,21.4,614606.0
SILVAPHL,2022-03-31,21.4,21.7,21.4,21.5,615226.0
SILVAPHL,2022-04-03,21.7,23.6,21.7,22.5,3322289.0
SILVAPHL,2022-04-04,22.5,22.8,22.1,22.3,679963.0
SILVAPHL,2022-04-05,22.3,22.4,21.9,22.0,989590.0
SILVAPHL,2022-04-06,22.0,22.1,21.6,21.8,750981.0
SILVAPHL,2022-04-07,21.7,21.8,21.4,21.7,367565.0
SILVAPHL,2022-04-10,21.9,22.0,21.5,21.7,432536.0
SILVAPHL,2022-04-11,21.9,21.9,21.3,21.4,959121.0
SILVAPHL,2022-04-12,21.1,21.3,21.0,21.0,286480.0
SILVAPHL,2022-04-13,20.8,21.0,20.6,20.8,486605.0
SILVAPHL,2022-04-17,21.1,21.2,20.6,20.7,277011.0
SILVAPHL,2022-04-18,20.5,20.6,20.3,20.3,404563.0
SILVAPHL,2022-04-19,20.2,20.9,19.9,20.7,443993.0
SILVAPHL,2022-04-20,21.4,21.4,20.5,20.9,929507.0
SILVAPHL,2022-04-21,21.2,21.9,20.9,21.5,1298994.0
SILVAPHL,2022-04-24,21.5,21.7,21.1,21.2,1656175.0
SILVAPHL,2022-04-25,21.2,21.6,21.0,21.3,652314.0
SILVAPHL,2022-04-26,21.8,21.8,21.1,21.3,320388.0
SILVAPHL,2022-04-27,21.2,21.4,21.0,21.2,586154.0
SILVAPHL,2022-04-28,21.1,21.2,20.4,20.8,522995.0
SILVAPHL,2022-05-05,20.8,22.1,20.4,21.7,565378.0
SILVAPHL,2022-05-08,21.7,23.0,21.5,22.6,2227521.0
SILVAPHL,2022-05-09,22.5,22.9,22.1,22.6,1275011.0
SILVAPHL,2022-05-10,22.6,22.7,21.6,22.0,1307652.0
SILVAPHL,2022-05-11,22.0,22.2,21.2,21.4,510108.0
SILVAPHL,2022-05-12,21.4,22.0,21.4,21.6,606078.0
SILVAPHL,2022-05-16,21.6,21.8,20.9,21.0,764853.0
SILVAPHL,2022-05-17,21.4,21.5,20.8,21.4,541183.0
SILVAPHL,2022-05-18,21.6,22.4,21.4,21.6,1727311.0
SILVAPHL,2022-05-19,21.6,22.9,21.6,22.6,1882011.0
SILVAPHL,2022-05-22,22.7,23.5,22.3,22.8,2016515.0
SILVAPHL,2022-05-23,23.5,24.3,22.9,23.6,2828872.0
SILVAPHL,2022-05-24,24.3,25.9,24.0,24.9,7564289.0
SILVAPHL,2022-05-25,24.6,25.3,23.9,24.6,2714491.0
SILVAPHL,2022-05-26,24.2,24.5,24.2,24.3,2337533.0
SILVAPHL,2022-05-29,24.6,26.0,24.1,25.8,4079429.0
SILVAPHL,2022-05-30,26.0,26.0,25.3,25.3,2879384.0
SILVAPHL,2022-05-31,24.9,25.4,24.8,25.1,2845476.0
SILVAPHL,2022-06-01,25.5,25.6,24.7,25.1,2112279.0
SILVAPHL,2022-06-02,24.9,25.4,24.6,24.9,2350259.0
SILVAPHL,2022-06-05,25.0,25.2,24.5,24.5,2103399.0
SILVAPHL,2022-06-06,24.4,24.5,24.1,24.1,1541825.0
SILVAPHL,2022-06-07,23.8,24.1,23.7,23.7,1671805.0
SILVAPHL,2022-06-08,24.0,24.7,23.8,24.5,1657503.0
SILVAPHL,2022-06-09,24.4,24.6,24.1,24.2,1152291.0
SILVAPHL,2022-06-12,24.4,24.4,23.8,23.8,1053296.0
SILVAPHL,2022-06-13,24.0,24.3,23.5,23.8,947087.0
SILVAPHL,2022-06-14,24.0,24.4,23.8,24.2,1368517.0
SILVAPHL,2022-06-15,24.4,25.3,24.4,25.3,3894338.0
SILVAPHL,2022-06-16,25.4,25.5,25.0,25.1,1483796.0
SILVAPHL,2022-06-19,25.1,25.1,24.6,24.6,1543832.0
SILVAPHL,2022-06-20,24.3,24.5,24.2,24.3,1192023.0
SILVAPHL,2022-06-21,24.1,24.4,23.9,24.0,561561.0
SILVAPHL,2022-06-22,24.8,24.8,23.9,24.3,343789.0
SILVAPHL,2022-06-23,24.7,24.7,24.1,24.3,430582.0
SILVAPHL,2022-06-26,24.8,24.8,23.9,24.0,456025.0
SILVAPHL,2022-06-27,23.8,24.4,23.8,24.2,1040794.0
SILVAPHL,2022-06-28,24.4,24.5,24.1,24.2,1092927.0
SILVAPHL,2022-06-29,24.2,24.5,24.0,24.1,606633.0
SILVAPHL,2022-06-30,24.2,24.3,24.0,24.1,409341.0
SILVAPHL,2022-07-03,24.2,25.2,24.1,24.9,1455608.0
SILVAPHL,2022-07-04,25.4,25.4,24.6,24.7,923976.0
SILVAPHL,2022-07-05,24.6,25.2,24.5,24.8,1498888.0
SILVAPHL,2022-07-06,25.1,25.1,24.4,24.4,640509.0
SILVAPHL,2022-07-07,24.4,24.5,24.1,24.3,586813.0
SILVAPHL,2022-07-12,24.7,24.7,24.0,24.1,385400.0
SILVAPHL,2022-07-13,24.2,24.5,23.8,23.9,761113.0
SILVAPHL,2022-07-14,24.1,24.1,23.5,23.8,510082.0
SILVAPHL,2022-07-17,23.9,24.1,23.6,23.7,529375.0
SILVAPHL,2022-07-18,23.4,23.4,23.3,23.3,218670.0
SILVAPHL,2022-07-19,22.9,23.4,22.9,22.9,477566.0
SILVAPHL,2022-07-20,22.5,23.3,22.5,22.8,586469.0
SILVAPHL,2022-07-21,22.7,22.9,22.4,22.4,884656.0
SILVAPHL,2022-07-24,22.4,22.4,22.0,22.0,532984.0
SILVAPHL,2022-07-25,21.8,22.4,21.6,22.2,559804.0
SILVAPHL,2022-07-26,22.8,22.8,21.8,21.8,440929.0
SILVAPHL,2022-07-27,21.6,21.8,21.4,21.4,303431.0
SILVAPHL,2022-07-28,21.4,21.4,21.0,21.0,67313.0
SILVAPHL,2022-07-31,21.6,21.8,21.6,21.7,392175.0
SILVAPHL,2022-08-01,21.7,22.1,21.7,22.0,459761.0
SILVAPHL,2022-08-02,22.0,22.6,21.9,22.3,770632.0
SILVAPHL,2022-08-03,24.1,24.1,22.4,22.6,637761.0
SILVAPHL,2022-08-04,22.7,22.7,22.0,22.3,871365.0
SILVAPHL,2022-08-07,22.2,23.6,22.2,23.4,1445153.0
SILVAPHL,2022-08-08,23.5,23.8,22.7,22.8,806009.0
SILVAPHL,2022-08-10,22.9,22.9,21.9,22.0,679187.0
SILVAPHL,2022-08-11,22.2,22.3,21.9,22.1,383706.0
SILVAPHL,2022-08-14,22.2,22.5,22.1,22.2,267049.0
SILVAPHL,2022-08-16,22.4,23.0,22.3,22.8,592879.0
SILVAPHL,2022-08-17,22.8,23.2,22.7,22.8,959505.0
SILVAPHL,2022-08-21,22.8,22.9,22.5,22.6,527058.0
