symbol,date,open,high,low,close,volume
SIMTEX,2022-01-02,17.0,17.5,17.0,17.3,231261.0
SIMTEX,2022-01-03,17.3,18.1,17.3,17.7,471249.0
SIMTEX,2022-01-04,17.4,17.7,17.1,17.5,161352.0
SIMTEX,2022-01-05,17.6,18.3,17.5,18.3,524051.0
SIMTEX,2022-01-06,18.4,18.4,17.9,18.3,514250.0
SIMTEX,2022-01-09,18.4,18.8,17.6,17.7,452071.0
SIMTEX,2022-01-10,17.7,17.9,17.4,17.6,457511.0
SIMTEX,2022-01-11,17.6,17.9,17.5,17.7,352722.0
SIMTEX,2022-01-12,17.6,18.1,17.6,17.7,518659.0
SIMTEX,2022-01-13,17.7,18.0,17.5,17.6,126515.0
SIMTEX,2022-01-16,17.7,18.3,17.7,18.1,745641.0
SIMTEX,2022-01-17,18.2,18.6,18.2,18.5,653758.0
SIMTEX,2022-01-18,18.5,19.5,18.5,18.8,1755460.0
SIMTEX,2022-01-19,19.1,19.5,18.9,19.2,1086841.0
SIMTEX,2022-01-20,19.1,19.4,18.7,18.8,629350.0
SIMTEX,2022-01-23,18.8,18.8,18.2,18.5,903941.0
SIMTEX,2022-01-24,18.4,18.9,18.0,18.3,629781.0
SIMTEX,2022-01-25,18.6,19.1,18.0,18.2,545769.0
SIMTEX,2022-01-26,18.7,18.8,18.3,18.4,665562.0
SIMTEX,2022-01-27,18.8,19.8,18.4,19.4,2238831.0
SIMTEX,2022-01-30,19.7,20.5,18.9,19.0,996722.0
SIMTEX,2022-01-31,18.9,18.9,17.5,17.8,1230924.0
SIMTEX,2022-02-01,18.2,18.4,18.0,18.1,423036.0
SIMTEX,2022-02-02,18.2,18.7,18.0,18.1,419725.0
SIMTEX,2022-02-03,18.3,18.3,17.6,17.7,432445.0
SIMTEX,2022-02-06,17.8,18.2,17.6,17.8,237839.0
SIMTEX,2022-02-07,17.8,18.1,17.6,17.7,146121.0
SIMTEX,2022-02-08,17.7,17.9,17.6,17.8,245469.0
SIMTEX,2022-02-09,18.0,18.3,17.9,18.1,331162.0
SIMTEX,2022-02-10,18.1,18.3,17.7,17.9,742050.0
SIMTEX,2022-02-13,18.1,18.1,17.8,17.9,179159.0
SIMTEX,2022-02-14,17.8,18.0,17.5,17.6,145579.0
