symbol,date,open,high,low,close,volume
SINGERBD,2022-01-02,170.2,173.5,170.1,171.4,16589.0
SINGERBD,2022-01-03,171.1,173.9,171.0,172.8,14345.0
SINGERBD,2022-01-04,170.2,175.5,170.2,174.1,23817.0
SINGERBD,2022-01-05,174.1,175.3,170.3,172.5,19425.0
SINGERBD,2022-01-06,171.8,174.6,171.7,172.6,16172.0
SINGERBD,2022-01-09,172.9,176.4,172.7,174.6,37207.0
SINGERBD,2022-01-10,174.6,176.8,174.0,176.6,22672.0
SINGERBD,2022-01-11,177.0,179.5,175.0,175.9,73993.0
SINGERBD,2022-01-12,176.0,176.0,173.0,174.4,68259.0
SINGERBD,2022-01-13,173.2,177.0,172.7,176.9,63276.0
SINGERBD,2022-01-16,177.7,177.7,173.1,174.1,44334.0
SINGERBD,2022-01-17,175.6,177.3,173.2,176.5,23286.0
SINGERBD,2022-01-18,177.0,179.2,177.0,177.7,42357.0
SINGERBD,2022-01-19,177.1,178.7,176.0,177.4,86695.0
SINGERBD,2022-01-20,177.4,177.4,175.1,176.5,28237.0
SINGERBD,2022-01-23,177.8,177.9,173.1,176.0,32597.0
SINGERBD,2022-01-24,176.0,177.0,174.3,176.1,21856.0
SINGERBD,2022-01-25,177.6,177.6,174.0,174.2,50146.0
SINGERBD,2022-01-26,174.3,175.4,171.3,171.6,211427.0
SINGERBD,2022-01-27,171.6,173.0,167.9,169.1,203593.0
SINGERBD,2022-01-30,169.2,171.5,168.5,168.8,110274.0
SINGERBD,2022-01-31,168.6,170.0,166.7,167.4,69940.0
SINGERBD,2022-02-01,170.0,170.0,166.9,167.1,79197.0
SINGERBD,2022-02-02,169.8,170.4,167.3,168.0,46131.0
SINGERBD,2022-02-03,169.8,169.9,167.7,169.5,44218.0
SINGERBD,2022-02-06,170.0,170.0,168.0,168.3,86848.0
SINGERBD,2022-02-07,170.0,170.0,168.9,169.1,28085.0
SINGERBD,2022-02-08,170.7,171.0,169.0,170.1,65988.0
SINGERBD,2022-02-09,170.9,172.1,169.2,169.5,50996.0
SINGERBD,2022-02-10,171.6,172.0,169.3,170.2,100820.0
SINGERBD,2022-02-13,170.2,172.0,169.8,171.0,101506.0
