symbol,date,open,high,low,close,volume
SKTRIMS,2022-01-02,30.3,30.3,29.8,30.0,136386.0
SKTRIMS,2022-01-03,30.0,30.8,29.9,30.2,181784.0
SKTRIMS,2022-01-04,30.6,30.8,30.0,30.6,159568.0
SKTRIMS,2022-01-05,30.9,32.9,30.9,32.7,657393.0
SKTRIMS,2022-01-06,32.7,32.8,31.2,31.6,362438.0
SKTRIMS,2022-01-09,32.6,32.6,30.3,30.6,333412.0
SKTRIMS,2022-01-10,31.2,31.2,30.3,31.0,321082.0
SKTRIMS,2022-01-11,31.5,32.4,31.1,31.6,399057.0
SKTRIMS,2022-01-12,32.1,32.3,30.5,30.6,322507.0
SKTRIMS,2022-01-13,30.5,31.0,30.4,30.5,128701.0
SKTRIMS,2022-01-16,30.5,31.4,30.3,30.5,198671.0
SKTRIMS,2022-01-17,30.7,31.0,30.1,30.3,220553.0
SKTRIMS,2022-01-18,30.7,31.0,30.3,30.4,198288.0
SKTRIMS,2022-01-19,30.7,30.9,30.1,30.3,232504.0
SKTRIMS,2022-01-20,30.6,31.4,30.4,30.6,288228.0
SKTRIMS,2022-01-23,30.5,30.5,29.7,29.9,226478.0
SKTRIMS,2022-01-24,30.1,30.1,29.4,29.5,197314.0
SKTRIMS,2022-01-25,29.5,29.9,29.5,29.6,96231.0
SKTRIMS,2022-01-26,30.0,30.0,29.3,29.4,161252.0
SKTRIMS,2022-01-27,29.3,29.5,29.1,29.2,232152.0
SKTRIMS,2022-01-30,29.5,29.5,28.5,28.6,261472.0
SKTRIMS,2022-01-31,28.4,28.8,28.0,28.2,232431.0
SKTRIMS,2022-02-01,28.5,28.8,28.4,28.5,216894.0
SKTRIMS,2022-02-02,28.5,29.5,28.5,29.1,240796.0
SKTRIMS,2022-02-03,29.2,29.4,28.8,29.3,160308.0
SKTRIMS,2022-02-06,29.3,29.5,29.1,29.2,261162.0
SKTRIMS,2022-02-07,29.2,29.3,28.7,28.8,155981.0
SKTRIMS,2022-02-08,28.8,29.2,28.6,28.7,189995.0
SKTRIMS,2022-02-09,28.8,29.2,28.8,28.8,146760.0
SKTRIMS,2022-02-10,29.1,30.9,29.0,30.1,627433.0
SKTRIMS,2022-02-13,30.4,30.9,29.6,29.7,241573.0
SKTRIMS,2022-02-14,29.6,29.8,29.0,29.2,261860.0
SKTRIMS,2022-02-15,29.2,29.5,28.9,29.0,91722.0
SKTRIMS,2022-02-16,29.1,29.7,29.0,29.2,137331.0
SKTRIMS,2022-02-17,29.4,29.6,28.7,28.8,132316.0
SKTRIMS,2022-02-20,28.8,28.9,28.2,28.4,134401.0
SKTRIMS,2022-02-22,28.2,28.8,28.2,28.6,143516.0
SKTRIMS,2022-02-23,28.6,29.2,28.6,29.0,97974.0
SKTRIMS,2022-02-24,29.0,29.4,28.3,28.4,251102.0
SKTRIMS,2022-02-27,28.3,28.4,27.1,27.2,185220.0
SKTRIMS,2022-02-28,27.1,27.8,27.1,27.4,83809.0
SKTRIMS,2022-03-01,27.6,27.9,27.3,27.5,72648.0
SKTRIMS,2022-03-02,27.8,27.8,26.5,27.0,137339.0
SKTRIMS,2022-03-03,27.2,27.7,26.8,27.4,131874.0
SKTRIMS,2022-03-06,27.2,27.5,26.9,27.0,60490.0
SKTRIMS,2022-03-07,27.0,27.0,25.8,26.1,222940.0
SKTRIMS,2022-03-08,26.2,26.3,25.3,26.1,231282.0
SKTRIMS,2022-03-09,26.5,27.1,26.3,26.9,139225.0
SKTRIMS,2022-03-10,27.3,27.5,26.7,27.3,179092.0
SKTRIMS,2022-03-13,27.4,29.5,27.4,29.3,458552.0
SKTRIMS,2022-03-14,29.5,29.5,28.8,28.8,254564.0
SKTRIMS,2022-03-15,28.6,29.4,28.4,28.9,272470.0
SKTRIMS,2022-03-16,29.1,29.3,28.4,28.4,176048.0
SKTRIMS,2022-03-20,28.6,28.6,27.9,27.9,182162.0
SKTRIMS,2022-03-21,27.7,28.1,27.6,27.7,50596.0
SKTRIMS,2022-03-22,28.1,28.6,27.9,28.5,157575.0
SKTRIMS,2022-03-23,28.8,28.9,28.1,28.3,121453.0
SKTRIMS,2022-03-24,28.6,28.6,28.0,28.3,74267.0
SKTRIMS,2022-03-27,28.3,28.6,28.2,28.4,151237.0
