symbol,date,open,high,low,close,volume
SONALIANSH,2022-01-02,474.6,480.0,460.0,462.0,16302.0
SONALIANSH,2022-01-03,463.1,468.7,458.0,460.3,19117.0
SONALIANSH,2022-01-04,460.0,469.9,457.0,459.1,12433.0
SONALIANSH,2022-01-05,458.7,467.0,455.0,455.6,22442.0
SONALIANSH,2022-01-06,463.7,463.7,447.2,448.7,18891.0
SONALIANSH,2022-01-09,463.8,463.9,450.0,451.5,10887.0
SONALIANSH,2022-01-10,454.1,459.8,448.0,449.9,13757.0
SONALIANSH,2022-01-11,451.3,456.0,445.0,446.5,16482.0
SONALIANSH,2022-01-12,446.6,452.0,436.5,440.7,31850.0
SONALIANSH,2022-01-13,449.0,469.0,440.1,457.9,16346.0
SONALIANSH,2022-01-16,466.9,482.0,466.0,471.0,27233.0
SONALIANSH,2022-01-17,480.0,480.9,455.1,457.1,12577.0
SONALIANSH,2022-01-18,467.7,472.8,456.3,469.9,15391.0
SONALIANSH,2022-01-19,477.0,477.9,465.3,470.7,14682.0
SONALIANSH,2022-01-20,470.7,472.0,460.0,461.5,13228.0
SONALIANSH,2022-01-23,460.0,467.8,458.0,459.1,12130.0
SONALIANSH,2022-01-24,456.0,465.1,455.1,460.9,7589.0
SONALIANSH,2022-01-25,465.8,479.0,456.1,470.0,23511.0
SONALIANSH,2022-01-26,470.0,474.0,460.0,461.9,7456.0
SONALIANSH,2022-01-27,469.9,469.9,454.1,455.1,16601.0
SONALIANSH,2022-01-30,460.0,460.0,450.5,451.9,6299.0
SONALIANSH,2022-01-31,452.0,459.4,450.0,450.1,3949.0
SONALIANSH,2022-02-01,445.0,458.4,445.0,452.3,6857.0
SONALIANSH,2022-02-02,456.0,460.7,448.2,450.2,5080.0
SONALIANSH,2022-02-03,450.3,454.9,448.0,449.3,9488.0
SONALIANSH,2022-02-06,450.0,455.0,445.5,446.1,8847.0
SONALIANSH,2022-02-07,446.1,457.0,445.0,446.2,5011.0
SONALIANSH,2022-02-08,446.2,452.7,445.7,446.2,5849.0
SONALIANSH,2022-02-09,444.2,453.0,444.2,445.9,18730.0
SONALIANSH,2022-02-10,452.0,452.0,446.1,449.8,5644.0
SONALIANSH,2022-02-13,459.0,465.0,451.0,458.3,18378.0
SONALIANSH,2022-02-14,472.6,472.6,452.0,453.2,12125.0
SONALIANSH,2022-02-15,455.2,470.0,452.6,465.0,24672.0
SONALIANSH,2022-02-16,470.0,499.0,466.1,482.0,69196.0
SONALIANSH,2022-02-17,486.2,490.6,467.0,472.4,32975.0
SONALIANSH,2022-02-20,480.2,513.0,480.0,498.7,56537.0
SONALIANSH,2022-02-22,500.5,508.8,476.2,480.9,42894.0
SONALIANSH,2022-02-23,481.5,481.5,470.1,471.4,17947.0
SONALIANSH,2022-02-24,471.4,474.7,455.1,456.6,22924.0
SONALIANSH,2022-02-27,456.9,460.0,440.1,447.2,23334.0
SONALIANSH,2022-02-28,464.8,468.2,450.0,457.3,6775.0
SONALIANSH,2022-03-01,460.0,466.4,453.0,454.3,5836.0
SONALIANSH,2022-03-02,447.1,456.8,444.6,447.2,5239.0
SONALIANSH,2022-03-03,447.2,451.0,444.5,448.2,5680.0
SONALIANSH,2022-03-06,457.9,457.9,448.6,449.2,4290.0
SONALIANSH,2022-03-07,449.2,449.2,438.0,438.8,6864.0
SONALIANSH,2022-03-08,442.0,465.0,432.0,440.5,4208.0
SONALIANSH,2022-03-09,462.0,462.0,442.5,447.5,2875.0
SONALIANSH,2022-03-10,454.0,454.0,444.0,444.9,7679.0
SONALIANSH,2022-03-13,445.0,445.0,436.1,441.4,6539.0
SONALIANSH,2022-03-14,449.9,457.5,445.3,454.4,9881.0
SONALIANSH,2022-03-15,459.7,459.7,447.6,451.0,4243.0
SONALIANSH,2022-03-16,447.0,460.0,447.0,456.1,9250.0
SONALIANSH,2022-03-20,464.9,472.0,456.1,461.4,14935.0
SONALIANSH,2022-03-21,461.4,463.9,456.0,460.4,3875.0
SONALIANSH,2022-03-22,465.2,469.0,460.1,468.0,14668.0
SONALIANSH,2022-03-23,481.0,498.0,468.1,476.8,33324.0
SONALIANSH,2022-03-24,476.8,476.8,469.0,471.0,22700.0
SONALIANSH,2022-03-27,468.2,495.0,468.0,487.7,22803.0
SONALIANSH,2022-03-28,494.9,505.8,480.0,483.6,31496.0
SONALIANSH,2022-03-29,482.4,491.0,476.8,477.0,12929.0
SONALIANSH,2022-03-30,480.0,486.7,476.8,482.6,17875.0
SONALIANSH,2022-03-31,482.7,487.0,477.0,478.6,10681.0
SONALIANSH,2022-04-03,478.8,478.9,469.1,469.7,12340.0
SONALIANSH,2022-04-04,471.0,478.9,461.7,464.0,3290.0
SONALIANSH,2022-04-05,460.2,463.4,454.8,454.9,9326.0
SONALIANSH,2022-04-06,448.5,457.0,445.9,445.9,15988.0
SONALIANSH,2022-04-07,443.0,454.9,440.0,449.1,4952.0
SONALIANSH,2022-04-10,445.2,464.9,445.2,462.6,8634.0
SONALIANSH,2022-04-11,455.6,470.8,455.6,469.4,9497.0
SONALIANSH,2022-04-12,472.7,472.9,460.1,460.4,5976.0
SONALIANSH,2022-04-13,452.7,464.9,452.7,459.5,2325.0
SONALIANSH,2022-04-17,459.5,459.8,450.5,450.5,3244.0
SONALIANSH,2022-04-18,443.0,454.9,442.0,443.1,5044.0
SONALIANSH,2022-04-19,441.0,445.0,434.4,441.8,10731.0
SONALIANSH,2022-04-20,446.0,452.0,442.0,446.7,2186.0
SONALIANSH,2022-04-21,457.0,457.0,445.1,448.8,5836.0
SONALIANSH,2022-04-24,454.0,454.9,450.0,450.2,2765.0
SONALIANSH,2022-04-25,446.1,453.9,445.0,446.1,4485.0
SONALIANSH,2022-04-26,442.4,454.5,442.0,443.7,6174.0
SONALIANSH,2022-04-27,450.0,450.0,445.0,445.2,2901.0
SONALIANSH,2022-04-28,441.5,445.2,441.5,444.8,9158.0
SONALIANSH,2022-05-05,444.8,444.8,442.1,444.4,5676.0
SONALIANSH,2022-05-08,444.4,454.2,444.1,450.5,27478.0
SONALIANSH,2022-05-09,450.6,457.3,446.0,448.1,5054.0
SONALIANSH,2022-05-10,448.0,470.0,445.1,466.1,25518.0
SONALIANSH,2022-05-11,468.0,472.8,450.3,453.6,9350.0
SONALIANSH,2022-05-12,451.0,455.0,449.9,451.8,5926.0
SONALIANSH,2022-05-16,446.0,447.0,433.1,435.1,13670.0
SONALIANSH,2022-05-17,449.0,449.0,428.2,431.5,9987.0
SONALIANSH,2022-05-18,433.1,437.9,422.5,425.8,10316.0
SONALIANSH,2022-05-19,426.0,426.0,406.4,415.3,6436.0
