symbol,date,open,high,low,close,volume
SONARBAINS,2022-01-02,75.7,75.7,73.7,74.1,116328.0
SONARBAINS,2022-01-03,75.5,75.7,73.7,73.9,213079.0
SONARBAINS,2022-01-04,74.9,75.8,74.5,74.8,184659.0
SONARBAINS,2022-01-05,75.9,76.0,73.8,74.3,135213.0
SONARBAINS,2022-01-06,75.4,76.0,73.8,73.9,232349.0
SONARBAINS,2022-01-09,74.0,74.8,68.6,71.7,148898.0
SONARBAINS,2022-01-10,71.1,73.5,71.1,71.8,64147.0
SONARBAINS,2022-01-11,71.8,73.5,71.3,72.2,149334.0
SONARBAINS,2022-01-12,74.7,74.8,71.8,72.2,124499.0
SONARBAINS,2022-01-13,73.5,73.5,70.5,71.2,122421.0
SONARBAINS,2022-01-16,72.5,73.5,70.5,70.9,150097.0
SONARBAINS,2022-01-17,72.9,72.9,70.9,71.2,132970.0
SONARBAINS,2022-01-18,71.5,72.0,71.1,71.1,213068.0
SONARBAINS,2022-01-19,70.9,71.7,69.0,70.2,318537.0
SONARBAINS,2022-01-20,71.6,72.4,70.1,70.4,103172.0
SONARBAINS,2022-01-23,72.0,72.1,70.6,71.1,117718.0
SONARBAINS,2022-01-24,71.5,71.5,69.5,69.8,112406.0
SONARBAINS,2022-01-25,71.1,71.1,69.9,70.2,156793.0
SONARBAINS,2022-01-26,70.1,71.0,69.1,69.8,67641.0
SONARBAINS,2022-01-27,70.3,70.6,69.2,69.5,70619.0
SONARBAINS,2022-01-30,69.6,70.7,69.0,70.1,41355.0
SONARBAINS,2022-01-31,70.0,70.3,68.5,68.8,63550.0
SONARBAINS,2022-02-01,69.8,70.2,68.5,68.6,102001.0
SONARBAINS,2022-02-02,69.8,70.5,68.5,69.6,85068.0
SONARBAINS,2022-02-03,70.1,71.5,69.1,69.3,70800.0
SONARBAINS,2022-02-06,70.3,72.7,69.5,70.9,258657.0
SONARBAINS,2022-02-07,71.9,73.4,70.5,72.5,231954.0
SONARBAINS,2022-02-08,73.0,74.4,72.5,73.1,155233.0
SONARBAINS,2022-02-09,72.5,74.2,71.6,71.8,146935.0
SONARBAINS,2022-02-10,70.7,72.0,70.7,70.9,56161.0
SONARBAINS,2022-02-13,70.3,70.9,69.5,69.8,108559.0
SONARBAINS,2022-02-14,69.8,70.8,68.6,69.0,143447.0
SONARBAINS,2022-02-15,68.0,70.1,67.3,67.4,176288.0
SONARBAINS,2022-02-16,68.1,69.4,67.4,67.6,84530.0
SONARBAINS,2022-02-17,69.0,69.9,65.7,66.3,96249.0
SONARBAINS,2022-02-20,66.0,66.5,63.0,63.7,74426.0
SONARBAINS,2022-02-22,64.0,64.8,64.0,64.2,45246.0
SONARBAINS,2022-02-23,65.9,66.3,64.0,65.4,57060.0
SONARBAINS,2022-02-24,64.8,66.0,62.4,64.1,77584.0
SONARBAINS,2022-02-27,61.2,65.0,61.2,62.0,125920.0
SONARBAINS,2022-02-28,63.5,67.7,59.5,65.4,105211.0
SONARBAINS,2022-03-01,68.8,69.7,66.0,66.7,124346.0
SONARBAINS,2022-03-02,68.5,69.0,65.1,66.0,108078.0
SONARBAINS,2022-03-03,64.7,67.0,64.6,66.4,46715.0
SONARBAINS,2022-03-06,65.4,67.6,65.4,65.9,58806.0
SONARBAINS,2022-03-07,67.1,67.1,62.0,63.5,86336.0
SONARBAINS,2022-03-08,65.9,66.0,61.3,63.0,72505.0
SONARBAINS,2022-03-09,64.9,67.2,63.2,66.4,96095.0
SONARBAINS,2022-03-10,67.7,69.9,65.1,66.0,105242.0
SONARBAINS,2022-03-13,66.0,67.1,65.0,65.4,56469.0
SONARBAINS,2022-03-14,65.2,66.5,64.3,64.8,78030.0
SONARBAINS,2022-03-15,65.7,65.7,63.9,64.1,67616.0
SONARBAINS,2022-03-16,64.4,65.0,62.9,63.2,81357.0
SONARBAINS,2022-03-20,63.0,63.2,62.0,62.0,41539.0
SONARBAINS,2022-03-21,61.1,62.7,61.0,61.2,39319.0
SONARBAINS,2022-03-22,61.2,61.5,60.5,61.2,55249.0
SONARBAINS,2022-03-23,62.9,62.9,60.6,60.6,51232.0
SONARBAINS,2022-03-24,61.5,62.7,60.1,61.0,28956.0
SONARBAINS,2022-03-27,61.9,61.9,60.0,60.1,68885.0
SONARBAINS,2022-03-28,60.9,62.9,60.9,61.1,64038.0
SONARBAINS,2022-03-29,61.5,61.8,60.6,61.2,32147.0
SONARBAINS,2022-03-30,61.5,64.1,61.4,63.8,215698.0
SONARBAINS,2022-03-31,64.0,64.1,63.5,63.7,53702.0
SONARBAINS,2022-04-03,64.1,64.5,62.5,62.5,77933.0
SONARBAINS,2022-04-04,61.3,62.0,61.3,61.4,46823.0
SONARBAINS,2022-04-05,60.2,61.2,60.2,60.2,69661.0
SONARBAINS,2022-04-06,59.2,60.9,59.0,60.0,50079.0
SONARBAINS,2022-04-07,59.0,60.5,58.8,59.5,38476.0
SONARBAINS,2022-04-10,61.3,61.3,59.5,59.8,22804.0
SONARBAINS,2022-04-11,59.5,60.8,59.5,60.1,36883.0
SONARBAINS,2022-04-12,59.4,60.9,59.4,59.8,67930.0
SONARBAINS,2022-04-13,59.0,60.5,59.0,60.3,28337.0
SONARBAINS,2022-04-17,59.7,61.7,59.5,59.6,16162.0
SONARBAINS,2022-04-18,59.1,59.1,58.5,58.5,34086.0
SONARBAINS,2022-04-19,59.0,59.0,57.4,57.7,31502.0
SONARBAINS,2022-04-20,60.3,60.3,57.8,58.8,12492.0
SONARBAINS,2022-04-21,60.5,60.5,58.3,58.9,28777.0
SONARBAINS,2022-04-24,61.0,61.0,59.0,59.9,114828.0
SONARBAINS,2022-04-25,60.9,61.9,60.5,61.4,95930.0
SONARBAINS,2022-04-26,62.5,63.0,61.2,61.2,65674.0
SONARBAINS,2022-04-27,60.5,62.0,59.1,59.4,33779.0
SONARBAINS,2022-04-28,58.6,60.3,57.0,57.9,50482.0
SONARBAINS,2022-05-05,60.9,60.9,56.2,57.0,45662.0
SONARBAINS,2022-05-08,57.0,57.6,55.5,55.9,30953.0
SONARBAINS,2022-05-09,56.9,57.1,55.6,55.9,85158.0
SONARBAINS,2022-05-10,57.5,57.5,56.3,56.8,63285.0
SONARBAINS,2022-05-11,56.7,56.8,54.8,55.0,80426.0
SONARBAINS,2022-05-12,55.0,55.0,52.4,53.5,76270.0
SONARBAINS,2022-05-16,54.5,54.5,50.9,50.9,148799.0
SONARBAINS,2022-05-17,48.9,51.3,48.4,48.4,70868.0
SONARBAINS,2022-05-18,48.6,49.2,46.0,46.1,94138.0
SONARBAINS,2022-05-19,44.0,46.6,43.8,44.8,196621.0
SONARBAINS,2022-05-22,48.0,48.0,42.6,42.7,161668.0
SONARBAINS,2022-05-23,45.4,45.4,43.2,44.5,116479.0
SONARBAINS,2022-05-24,44.5,45.3,42.8,43.4,119703.0
SONARBAINS,2022-05-25,43.1,43.1,41.3,41.4,114687.0
SONARBAINS,2022-05-26,42.3,42.3,41.0,41.5,88876.0
SONARBAINS,2022-05-29,42.9,45.0,42.2,44.3,150664.0
SONARBAINS,2022-05-30,45.4,46.8,44.0,46.3,182444.0
SONARBAINS,2022-05-31,46.5,50.9,46.0,50.4,416318.0
SONARBAINS,2022-06-01,50.7,53.0,50.5,52.1,237933.0
SONARBAINS,2022-06-02,52.0,53.0,51.6,52.3,150773.0
SONARBAINS,2022-06-05,52.9,56.7,52.0,56.0,269689.0
SONARBAINS,2022-06-06,56.5,61.6,56.5,61.6,442858.0
SONARBAINS,2022-06-07,62.6,65.7,60.9,65.0,653311.0
SONARBAINS,2022-06-08,65.0,65.1,63.7,63.7,443224.0
SONARBAINS,2022-06-09,63.1,63.1,62.5,62.5,135501.0
SONARBAINS,2022-06-12,63.3,63.3,61.3,61.3,35467.0
SONARBAINS,2022-06-13,60.1,60.1,60.1,60.1,41355.0
SONARBAINS,2022-06-14,58.9,64.3,58.9,61.8,389563.0
SONARBAINS,2022-06-15,63.0,63.5,60.6,60.6,128638.0
SONARBAINS,2022-06-16,61.2,62.4,59.4,59.9,233764.0
SONARBAINS,2022-06-19,61.9,61.9,58.8,58.8,60823.0
SONARBAINS,2022-06-20,58.1,58.1,57.7,57.7,24982.0
SONARBAINS,2022-06-21,61.5,61.5,56.6,57.0,134792.0
SONARBAINS,2022-06-22,56.1,59.0,56.1,57.0,75053.0
SONARBAINS,2022-06-23,58.2,58.9,56.2,57.0,112080.0
SONARBAINS,2022-06-26,57.1,57.1,55.9,55.9,39730.0
SONARBAINS,2022-06-27,56.6,57.5,54.8,56.8,95365.0
SONARBAINS,2022-06-28,58.5,59.1,56.3,56.4,40771.0
SONARBAINS,2022-06-29,55.4,56.9,55.4,55.7,46951.0
SONARBAINS,2022-06-30,55.1,56.1,54.6,55.9,70331.0
SONARBAINS,2022-07-03,56.8,58.7,55.1,55.6,53382.0
SONARBAINS,2022-07-04,60.0,60.0,54.5,54.7,60208.0
SONARBAINS,2022-07-05,54.7,56.4,53.8,54.1,39645.0
SONARBAINS,2022-07-06,56.0,56.0,53.1,53.2,69306.0
SONARBAINS,2022-07-07,53.0,54.7,52.2,52.3,24315.0
SONARBAINS,2022-07-12,55.6,55.6,51.3,51.3,28232.0
SONARBAINS,2022-07-13,50.3,53.7,50.3,52.4,150544.0
SONARBAINS,2022-07-14,52.9,52.9,51.6,52.1,26377.0
SONARBAINS,2022-07-17,52.9,52.9,51.1,51.2,58119.0
SONARBAINS,2022-07-18,51.2,51.8,50.2,50.2,66245.0
SONARBAINS,2022-07-19,49.2,49.2,49.2,49.2,7337.0
SONARBAINS,2022-07-20,48.5,49.5,48.3,48.3,66893.0
SONARBAINS,2022-07-21,52.2,52.2,47.6,47.6,50874.0
SONARBAINS,2022-07-24,47.6,47.6,46.7,46.7,48896.0
SONARBAINS,2022-07-25,45.9,47.6,45.8,47.0,37636.0
SONARBAINS,2022-07-26,49.5,51.7,47.4,51.7,173113.0
SONARBAINS,2022-07-27,51.2,55.0,51.2,51.9,430006.0
SONARBAINS,2022-07-28,51.1,52.4,50.9,51.0,107923.0
SONARBAINS,2022-07-31,57.8,57.8,52.0,55.9,431721.0
SONARBAINS,2022-08-01,56.6,57.8,54.1,54.7,242823.0
SONARBAINS,2022-08-02,54.0,57.5,53.9,57.1,451085.0
SONARBAINS,2022-08-03,59.8,59.8,56.0,56.4,291969.0
SONARBAINS,2022-08-04,58.8,58.8,54.5,54.8,130866.0
SONARBAINS,2022-08-07,55.8,55.8,53.2,53.3,133310.0
SONARBAINS,2022-08-08,55.0,55.0,53.0,53.2,64044.0
SONARBAINS,2022-08-10,54.0,54.0,51.4,51.9,106159.0
SONARBAINS,2022-08-11,50.0,52.9,50.0,50.8,47862.0
