symbol,date,open,high,low,close,volume
SONARGAON,2022-01-02,17.8,18.0,17.6,17.7,62411.0
SONARGAON,2022-01-03,18.0,18.5,17.9,18.3,101952.0
SONARGAON,2022-01-04,18.5,18.5,17.5,17.7,89500.0
SONARGAON,2022-01-05,17.6,18.5,17.6,18.4,81941.0
SONARGAON,2022-01-06,18.7,18.7,18.0,18.2,93443.0
SONARGAON,2022-01-09,18.3,18.6,18.1,18.2,106036.0
SONARGAON,2022-01-10,18.6,18.6,18.2,18.2,41953.0
SONARGAON,2022-01-11,18.8,18.8,17.8,17.9,155424.0
SONARGAON,2022-01-12,18.3,18.4,17.9,18.0,86861.0
SONARGAON,2022-01-13,18.0,18.2,17.6,17.7,81691.0
SONARGAON,2022-01-16,18.3,18.4,17.7,18.1,109450.0
SONARGAON,2022-01-17,18.5,18.5,17.6,18.0,266758.0
SONARGAON,2022-01-18,18.3,18.4,17.9,18.1,87475.0
SONARGAON,2022-01-19,18.4,19.8,18.4,19.5,614670.0
SONARGAON,2022-01-20,19.3,20.0,19.0,19.1,106658.0
SONARGAON,2022-01-23,19.2,20.7,19.0,20.3,549109.0
SONARGAON,2022-01-24,20.2,21.7,20.2,21.5,679174.0
SONARGAON,2022-01-25,21.8,23.0,21.0,21.7,494145.0
SONARGAON,2022-01-26,22.2,22.5,21.1,21.6,748719.0
SONARGAON,2022-01-27,22.2,23.0,21.6,22.6,589305.0
SONARGAON,2022-01-30,23.5,23.5,22.1,22.3,345496.0
SONARGAON,2022-01-31,23.6,23.7,23.0,23.5,840146.0
SONARGAON,2022-02-01,23.9,24.8,23.6,23.9,372724.0
SONARGAON,2022-02-02,24.1,24.2,22.7,22.8,467703.0
SONARGAON,2022-02-03,23.0,23.7,22.8,22.9,264164.0
SONARGAON,2022-02-06,23.0,23.5,22.5,22.7,315420.0
SONARGAON,2022-02-07,22.8,23.0,21.5,21.6,398031.0
SONARGAON,2022-02-08,22.0,22.3,21.5,21.7,265298.0
SONARGAON,2022-02-09,21.7,23.7,21.7,23.5,1189526.0
SONARGAON,2022-02-10,23.8,24.5,23.1,24.3,812667.0
