symbol,date,open,high,low,close,volume
SPCL,2022-01-02,90.0,92.9,86.0,91.7,397274.0
SPCL,2022-01-03,91.7,93.7,91.7,92.3,443851.0
SPCL,2022-01-04,93.7,93.7,88.5,89.6,357166.0
SPCL,2022-01-05,91.5,93.4,90.5,92.8,683205.0
SPCL,2022-01-06,93.8,96.3,93.0,95.4,874682.0
SPCL,2022-01-09,94.9,95.9,92.4,93.4,451280.0
SPCL,2022-01-10,93.0,96.0,91.9,95.1,531596.0
SPCL,2022-01-11,95.6,96.5,93.2,93.6,867305.0
SPCL,2022-01-12,94.3,94.3,90.2,90.7,365260.0
SPCL,2022-01-13,91.0,93.0,90.2,91.1,294530.0
SPCL,2022-01-16,90.5,92.0,88.1,88.5,606191.0
SPCL,2022-01-17,88.9,94.0,88.7,92.1,789447.0
SPCL,2022-01-18,93.2,94.5,92.6,93.3,800581.0
SPCL,2022-01-19,93.6,93.6,90.7,91.1,542737.0
SPCL,2022-01-20,90.2,91.6,89.9,90.2,365667.0
SPCL,2022-01-23,90.3,91.0,89.6,89.8,311194.0
SPCL,2022-01-24,89.9,89.9,88.2,88.6,195022.0
SPCL,2022-01-25,89.6,89.6,88.0,88.2,141336.0
SPCL,2022-01-26,89.0,89.2,88.4,88.5,188068.0
SPCL,2022-01-27,88.5,89.2,87.0,88.0,225310.0
SPCL,2022-01-30,88.0,88.9,88.0,88.2,179150.0
SPCL,2022-01-31,87.0,87.0,85.0,85.5,258695.0
SPCL,2022-02-01,85.8,86.9,84.5,84.8,296630.0
SPCL,2022-02-02,85.5,87.9,85.0,86.3,278530.0
SPCL,2022-02-03,86.4,86.5,84.4,84.7,309936.0
SPCL,2022-02-06,86.9,86.9,84.7,85.2,237969.0
SPCL,2022-02-07,85.2,87.0,85.2,86.1,211564.0
SPCL,2022-02-08,85.9,87.4,85.5,86.4,223708.0
SPCL,2022-02-09,87.1,87.1,85.8,86.1,142563.0
SPCL,2022-02-10,85.9,86.5,85.8,85.9,194035.0
SPCL,2022-02-13,85.9,86.0,85.2,85.4,176722.0
SPCL,2022-02-14,85.5,86.0,84.0,84.2,226216.0
SPCL,2022-02-15,84.3,85.2,84.0,84.3,74845.0
SPCL,2022-02-16,84.2,84.7,83.2,83.7,412289.0
SPCL,2022-02-17,83.5,84.0,83.0,83.2,235492.0
SPCL,2022-02-20,83.0,83.2,80.8,81.0,156728.0
SPCL,2022-02-22,82.9,82.9,78.1,80.0,211312.0
SPCL,2022-02-23,80.5,81.8,80.5,81.5,100172.0
SPCL,2022-02-24,82.3,82.3,78.9,79.5,263207.0
SPCL,2022-02-27,78.5,78.5,76.1,76.2,301201.0
SPCL,2022-02-28,76.2,79.0,76.2,77.5,86184.0
SPCL,2022-03-01,77.5,78.5,76.5,76.8,200540.0
SPCL,2022-03-02,77.0,77.0,75.0,75.3,114799.0
SPCL,2022-03-03,75.3,77.0,74.3,76.7,93670.0
SPCL,2022-03-06,77.5,77.5,74.5,74.7,89826.0
SPCL,2022-03-07,74.7,75.8,73.5,73.8,158803.0
SPCL,2022-03-08,75.7,75.8,72.7,74.3,176360.0
SPCL,2022-03-09,74.7,76.9,74.6,76.3,200313.0
SPCL,2022-03-10,77.0,80.8,76.7,80.0,223894.0
SPCL,2022-03-13,79.6,81.8,78.4,81.3,154920.0
SPCL,2022-03-14,80.5,81.1,79.7,79.8,192224.0
SPCL,2022-03-15,80.0,80.0,78.3,78.6,117406.0
SPCL,2022-03-16,78.6,80.9,78.2,78.5,60785.0
SPCL,2022-03-20,80.0,80.0,77.0,77.0,70544.0
SPCL,2022-03-21,76.0,77.8,75.6,76.3,54009.0
SPCL,2022-03-22,76.5,78.8,75.5,77.5,65208.0
SPCL,2022-03-23,77.6,79.2,77.3,77.4,143909.0
SPCL,2022-03-24,77.9,79.1,77.1,78.3,109757.0
SPCL,2022-03-27,78.0,79.0,77.5,77.8,52460.0
SPCL,2022-03-28,77.2,78.7,77.2,77.7,50987.0
