symbol,date,open,high,low,close,volume
SQUARETEXT,2022-01-02,51.8,53.3,51.8,52.8,4895.0
SQUARETEXT,2022-01-03,53.3,53.4,52.7,53.1,84675.0
SQUARETEXT,2022-01-04,53.5,53.5,52.0,52.9,13688.0
SQUARETEXT,2022-01-05,53.4,53.7,52.0,53.3,126500.0
SQUARETEXT,2022-01-06,52.3,54.0,52.3,53.6,44261.0
SQUARETEXT,2022-01-09,54.3,56.7,54.3,55.1,328359.0
SQUARETEXT,2022-01-10,55.1,56.7,55.1,56.6,401966.0
SQUARETEXT,2022-01-11,57.0,57.5,56.3,56.5,491673.0
SQUARETEXT,2022-01-12,56.1,57.4,56.1,57.0,318403.0
SQUARETEXT,2022-01-13,56.5,57.4,56.5,56.9,141064.0
SQUARETEXT,2022-01-16,57.0,62.5,57.0,62.5,1410600.0
SQUARETEXT,2022-01-17,65.0,65.4,61.1,61.5,569087.0
SQUARETEXT,2022-01-18,62.5,64.7,61.0,63.8,828908.0
SQUARETEXT,2022-01-19,64.5,66.7,62.9,64.5,1324416.0
SQUARETEXT,2022-01-20,65.3,65.3,62.9,63.0,556791.0
SQUARETEXT,2022-01-23,62.1,63.3,61.8,62.5,526302.0
SQUARETEXT,2022-01-24,62.8,63.5,62.3,63.0,361222.0
SQUARETEXT,2022-01-25,63.0,69.3,62.9,69.3,4975695.0
SQUARETEXT,2022-01-26,70.8,74.3,70.1,73.0,2551986.0
SQUARETEXT,2022-01-27,72.8,72.8,69.0,69.8,1756715.0
SQUARETEXT,2022-01-30,70.9,72.9,68.5,68.7,1387682.0
SQUARETEXT,2022-01-31,68.3,69.4,65.5,66.2,1351111.0
SQUARETEXT,2022-02-01,70.0,70.0,65.9,66.8,2259145.0
SQUARETEXT,2022-02-02,68.2,68.9,66.6,66.8,958972.0
SQUARETEXT,2022-02-03,67.0,67.3,66.0,66.7,511623.0
SQUARETEXT,2022-02-06,67.2,68.0,66.1,67.0,607083.0
SQUARETEXT,2022-02-07,66.6,67.7,65.6,65.7,1145918.0
SQUARETEXT,2022-02-08,65.7,66.9,65.7,66.1,444278.0
SQUARETEXT,2022-02-09,66.3,67.9,65.9,67.4,867699.0
SQUARETEXT,2022-02-10,67.7,68.6,67.0,67.3,817332.0
SQUARETEXT,2022-02-13,67.3,67.7,66.5,66.6,591504.0
SQUARETEXT,2022-02-14,67.0,67.0,64.8,65.3,831676.0
SQUARETEXT,2022-02-15,65.1,66.5,64.7,65.1,312719.0
SQUARETEXT,2022-02-16,65.3,66.6,65.0,66.4,565829.0
SQUARETEXT,2022-02-17,66.0,66.3,65.1,66.0,423929.0
SQUARETEXT,2022-02-20,65.2,65.8,65.0,65.1,368512.0
SQUARETEXT,2022-02-22,64.8,66.0,64.8,65.5,185942.0
SQUARETEXT,2022-02-23,65.7,67.0,65.6,66.4,548169.0
SQUARETEXT,2022-02-24,66.5,66.5,64.5,64.7,502558.0
SQUARETEXT,2022-02-27,64.1,64.2,62.1,62.3,310343.0
SQUARETEXT,2022-02-28,63.0,63.8,62.2,62.6,217810.0
SQUARETEXT,2022-03-01,63.2,64.2,63.1,63.3,156741.0
SQUARETEXT,2022-03-02,63.0,63.4,61.4,63.0,165281.0
SQUARETEXT,2022-03-03,62.2,63.1,61.7,62.8,262870.0
SQUARETEXT,2022-03-06,63.8,63.8,61.0,61.2,45507.0
SQUARETEXT,2022-03-07,61.1,61.2,58.2,59.1,123570.0
SQUARETEXT,2022-03-08,59.3,59.3,55.6,58.0,304411.0
SQUARETEXT,2022-03-09,58.6,60.9,58.6,60.6,205833.0
SQUARETEXT,2022-03-10,61.0,62.9,59.9,62.3,244485.0
SQUARETEXT,2022-03-13,62.0,65.4,62.0,64.9,523583.0
SQUARETEXT,2022-03-14,65.8,65.8,63.7,63.8,531601.0
SQUARETEXT,2022-03-15,64.3,64.3,62.7,62.9,378421.0
SQUARETEXT,2022-03-16,63.4,63.4,62.0,62.2,265997.0
SQUARETEXT,2022-03-20,62.8,63.0,61.2,61.6,187401.0
SQUARETEXT,2022-03-21,61.6,61.9,61.0,61.4,98832.0
SQUARETEXT,2022-03-22,62.1,63.9,62.0,63.7,291647.0
SQUARETEXT,2022-03-23,64.0,64.5,62.6,62.7,246257.0
SQUARETEXT,2022-03-24,62.5,62.9,62.2,62.5,136788.0
SQUARETEXT,2022-03-27,63.9,63.9,62.1,62.3,99222.0
SQUARETEXT,2022-03-28,62.4,62.9,62.3,62.7,61480.0
SQUARETEXT,2022-03-29,62.1,63.3,62.1,62.6,257020.0
SQUARETEXT,2022-03-30,62.6,63.9,62.6,63.0,246549.0
SQUARETEXT,2022-03-31,62.4,63.7,62.4,63.6,97687.0
SQUARETEXT,2022-04-03,64.4,64.4,63.1,63.6,187170.0
SQUARETEXT,2022-04-04,63.8,63.8,62.7,62.9,217083.0
SQUARETEXT,2022-04-05,62.2,62.9,61.9,62.1,107268.0
SQUARETEXT,2022-04-06,62.2,62.8,60.9,62.4,165714.0
SQUARETEXT,2022-04-07,61.6,62.4,61.6,62.1,68644.0
SQUARETEXT,2022-04-10,62.2,63.4,62.0,62.9,119193.0
SQUARETEXT,2022-04-11,62.6,63.7,62.4,62.5,197773.0
SQUARETEXT,2022-04-12,62.5,62.8,61.5,61.8,192279.0
SQUARETEXT,2022-04-13,62.5,62.7,61.4,62.4,67717.0
SQUARETEXT,2022-04-17,62.4,63.0,62.1,62.6,58087.0
SQUARETEXT,2022-04-18,62.1,62.4,61.5,62.0,119938.0
SQUARETEXT,2022-04-19,61.7,63.0,60.9,62.7,97979.0
SQUARETEXT,2022-04-20,62.7,64.2,62.6,64.1,259957.0
SQUARETEXT,2022-04-21,63.5,65.0,63.1,64.2,326291.0
SQUARETEXT,2022-04-24,64.4,64.9,64.0,64.7,443338.0
SQUARETEXT,2022-04-25,64.5,65.4,64.5,65.2,524302.0
SQUARETEXT,2022-04-26,65.2,67.2,65.2,67.0,1112155.0
SQUARETEXT,2022-04-27,67.4,67.4,66.1,67.1,674312.0
SQUARETEXT,2022-04-28,68.5,68.5,66.0,66.8,1111709.0
SQUARETEXT,2022-05-05,67.0,67.8,65.7,67.6,468793.0
