symbol,date,open,high,low,close,volume
SSSTEEL,2022-01-02,19.1,19.5,19.0,19.2,1011072.0
SSSTEEL,2022-01-03,19.3,19.7,19.2,19.3,1051103.0
SSSTEEL,2022-01-04,19.3,19.4,18.8,19.0,1337956.0
SSSTEEL,2022-01-05,19.2,19.6,18.9,19.5,2074128.0
SSSTEEL,2022-01-06,19.7,19.9,19.4,19.5,1931691.0
SSSTEEL,2022-01-09,19.6,19.6,18.9,19.0,1756901.0
SSSTEEL,2022-01-10,19.1,19.2,18.7,19.0,1972912.0
SSSTEEL,2022-01-11,19.1,19.3,18.8,19.1,3772871.0
SSSTEEL,2022-01-12,19.2,19.5,18.9,19.0,2385284.0
SSSTEEL,2022-01-13,19.1,19.3,18.9,19.0,1316384.0
SSSTEEL,2022-01-16,19.0,19.2,18.7,18.8,1309079.0
SSSTEEL,2022-01-17,18.8,18.8,18.5,18.7,1451698.0
SSSTEEL,2022-01-18,19.1,20.5,19.1,20.5,6067645.0
SSSTEEL,2022-01-19,21.1,21.7,20.7,20.9,5953000.0
SSSTEEL,2022-01-20,20.6,20.8,20.0,20.1,4575702.0
SSSTEEL,2022-01-23,20.1,20.1,19.6,19.7,2228302.0
SSSTEEL,2022-01-24,19.7,19.8,19.1,19.2,1860686.0
SSSTEEL,2022-01-25,19.2,19.7,19.1,19.2,1590197.0
SSSTEEL,2022-01-26,19.4,19.4,19.1,19.2,1107029.0
SSSTEEL,2022-01-27,19.3,19.9,19.0,19.8,2642006.0
SSSTEEL,2022-01-30,20.0,20.2,19.5,19.6,1296172.0
SSSTEEL,2022-01-31,19.6,19.6,19.1,19.2,1350805.0
SSSTEEL,2022-02-01,19.2,19.6,19.2,19.4,887187.0
SSSTEEL,2022-02-02,19.6,20.3,19.6,19.7,1808637.0
SSSTEEL,2022-02-03,19.7,19.8,19.5,19.7,847103.0
SSSTEEL,2022-02-06,19.7,19.9,19.4,19.6,1417185.0
SSSTEEL,2022-02-07,19.8,19.8,19.2,19.3,1328115.0
SSSTEEL,2022-02-08,19.5,19.6,19.3,19.4,793352.0
SSSTEEL,2022-02-09,19.4,20.0,19.4,19.8,1829558.0
SSSTEEL,2022-02-10,19.9,20.0,19.7,19.8,1101406.0
SSSTEEL,2022-02-13,19.9,19.9,19.6,19.6,1071052.0
SSSTEEL,2022-02-14,19.7,19.7,19.3,19.4,1243266.0
SSSTEEL,2022-02-15,19.5,19.5,19.3,19.3,461922.0
SSSTEEL,2022-02-16,19.4,19.7,19.4,19.5,1054842.0
SSSTEEL,2022-02-17,19.6,19.6,19.2,19.3,1089829.0
SSSTEEL,2022-02-20,19.4,19.5,19.1,19.2,1139315.0
SSSTEEL,2022-02-22,19.2,19.7,19.1,19.6,1109918.0
SSSTEEL,2022-02-23,19.7,20.3,19.6,20.0,3938616.0
SSSTEEL,2022-02-24,20.3,20.5,19.5,19.6,2749859.0
SSSTEEL,2022-02-27,19.3,19.3,18.7,18.8,1999123.0
SSSTEEL,2022-02-28,18.8,19.2,18.8,18.9,1068009.0
SSSTEEL,2022-03-01,19.0,19.2,18.7,18.8,1001735.0
SSSTEEL,2022-03-02,18.8,18.8,18.4,18.5,745276.0
SSSTEEL,2022-03-03,18.5,18.5,18.2,18.4,744552.0
SSSTEEL,2022-03-06,18.6,18.6,18.2,18.3,528008.0
SSSTEEL,2022-03-07,18.3,18.3,17.5,17.6,1329255.0
SSSTEEL,2022-03-08,17.7,18.3,17.2,18.0,1136338.0
SSSTEEL,2022-03-09,18.3,18.7,18.2,18.6,1041903.0
SSSTEEL,2022-03-10,18.7,19.2,18.6,18.8,1101634.0
SSSTEEL,2022-03-13,19.0,20.4,18.8,20.2,2961318.0
SSSTEEL,2022-03-14,20.3,20.5,19.8,19.9,1901102.0
SSSTEEL,2022-03-15,19.8,20.0,19.6,19.8,1342192.0
SSSTEEL,2022-03-16,20.0,20.0,19.5,19.6,686335.0
SSSTEEL,2022-03-20,19.6,19.6,19.3,19.3,491294.0
SSSTEEL,2022-03-21,19.2,19.4,19.0,19.2,667161.0
SSSTEEL,2022-03-22,19.3,19.6,19.2,19.4,886836.0
SSSTEEL,2022-03-23,19.6,19.6,19.1,19.2,858525.0
SSSTEEL,2022-03-24,19.2,19.3,19.0,19.2,524752.0
SSSTEEL,2022-03-27,19.4,19.4,19.0,19.1,415292.0
SSSTEEL,2022-03-28,19.1,19.2,19.0,19.2,943662.0
SSSTEEL,2022-03-29,19.2,19.6,19.2,19.5,1066307.0
SSSTEEL,2022-03-30,19.6,19.6,19.2,19.3,426534.0
SSSTEEL,2022-03-31,19.4,19.4,19.0,19.3,750876.0
SSSTEEL,2022-04-03,19.5,19.7,19.4,19.5,882874.0
SSSTEEL,2022-04-04,19.4,19.5,19.2,19.3,634404.0
SSSTEEL,2022-04-05,19.2,19.2,19.0,19.0,840890.0
SSSTEEL,2022-04-06,18.7,18.7,18.7,18.7,91774.0
SSSTEEL,2022-04-07,18.4,18.4,18.4,18.4,232995.0
SSSTEEL,2022-04-10,18.1,18.3,18.1,18.1,1569039.0
SSSTEEL,2022-04-11,17.9,18.4,17.9,18.3,902163.0
SSSTEEL,2022-04-12,18.2,18.2,18.0,18.0,568397.0
SSSTEEL,2022-04-13,17.9,18.0,17.7,17.8,636406.0
SSSTEEL,2022-04-17,17.8,18.1,17.5,17.6,752024.0
SSSTEEL,2022-04-18,17.7,17.8,17.4,17.5,1625899.0
