symbol,date,open,high,low,close,volume
STANDARINS,2022-01-02,76.0,77.7,75.0,76.5,123273.0
STANDARINS,2022-01-03,76.6,77.5,76.0,76.3,163450.0
STANDARINS,2022-01-04,76.3,78.8,76.3,77.8,235515.0
STANDARINS,2022-01-05,78.0,83.8,78.0,82.7,645506.0
STANDARINS,2022-01-06,81.9,83.5,81.0,81.3,201670.0
STANDARINS,2022-01-09,81.5,81.5,77.0,77.9,358962.0
STANDARINS,2022-01-10,77.9,78.6,75.6,77.6,170359.0
STANDARINS,2022-01-11,77.9,77.9,74.2,75.7,219894.0
STANDARINS,2022-01-12,74.0,77.9,73.6,75.1,105148.0
STANDARINS,2022-01-13,74.2,78.6,73.5,75.7,73235.0
STANDARINS,2022-01-16,74.1,77.6,73.7,75.7,139587.0
STANDARINS,2022-01-17,75.5,76.9,74.5,75.3,83318.0
STANDARINS,2022-01-18,76.5,76.5,73.0,73.9,250501.0
STANDARINS,2022-01-19,73.9,75.4,71.2,72.0,186464.0
STANDARINS,2022-01-20,73.0,73.5,71.1,72.6,116322.0
STANDARINS,2022-01-23,73.7,74.0,72.2,73.5,110828.0
STANDARINS,2022-01-24,74.5,74.5,70.1,71.7,120841.0
STANDARINS,2022-01-25,72.5,73.1,71.0,72.2,80546.0
STANDARINS,2022-01-26,72.0,73.0,71.7,72.6,68929.0
STANDARINS,2022-01-27,72.3,73.3,71.9,72.6,133383.0
STANDARINS,2022-01-30,71.1,73.8,71.1,73.0,69098.0
STANDARINS,2022-01-31,71.5,74.8,71.5,74.4,160279.0
STANDARINS,2022-02-01,73.6,75.3,73.0,73.6,86389.0
STANDARINS,2022-02-02,73.0,75.4,73.0,74.4,152965.0
STANDARINS,2022-02-03,74.4,76.9,74.4,76.1,173454.0
STANDARINS,2022-02-06,76.7,80.0,75.8,77.5,489262.0
STANDARINS,2022-02-07,77.5,79.3,76.6,78.4,339885.0
STANDARINS,2022-02-08,78.0,79.7,77.0,77.7,157127.0
STANDARINS,2022-02-09,77.5,79.1,75.7,76.3,169342.0
STANDARINS,2022-02-10,75.6,78.3,75.2,76.3,167187.0
STANDARINS,2022-02-13,75.5,77.6,75.1,75.3,30742.0
STANDARINS,2022-02-14,74.8,76.8,73.1,75.2,88098.0
STANDARINS,2022-02-15,74.5,75.7,72.2,74.1,79021.0
STANDARINS,2022-02-16,72.5,75.3,72.5,73.5,60995.0
STANDARINS,2022-02-17,70.9,75.6,70.9,73.7,44458.0
STANDARINS,2022-02-20,70.9,73.8,70.9,71.5,53780.0
STANDARINS,2022-02-22,70.5,72.8,68.5,70.0,69890.0
STANDARINS,2022-02-23,69.0,72.5,69.0,70.8,77128.0
STANDARINS,2022-02-24,70.0,74.8,69.0,70.4,165105.0
STANDARINS,2022-02-27,69.8,73.1,67.0,68.0,40068.0
STANDARINS,2022-02-28,71.5,71.5,67.5,69.2,88937.0
STANDARINS,2022-03-01,68.1,71.3,68.0,69.7,111344.0
STANDARINS,2022-03-02,69.0,71.5,66.5,69.2,44421.0
STANDARINS,2022-03-03,68.0,69.8,65.7,68.7,65489.0
STANDARINS,2022-03-06,68.0,69.8,64.5,67.3,49019.0
STANDARINS,2022-03-07,68.6,68.6,60.9,62.8,74267.0
STANDARINS,2022-03-08,60.9,66.9,59.9,62.9,47380.0
STANDARINS,2022-03-09,61.7,66.9,61.7,65.6,123484.0
STANDARINS,2022-03-10,64.4,69.0,64.3,65.4,117358.0
STANDARINS,2022-03-13,66.9,66.9,64.5,65.7,98469.0
