symbol,date,open,high,low,close,volume
STANDBANKL,2022-01-02,10.7,10.9,10.5,10.6,969875.0
STANDBANKL,2022-01-03,10.6,10.7,10.3,10.3,1494148.0
STANDBANKL,2022-01-04,10.3,10.8,10.2,10.7,1994466.0
STANDBANKL,2022-01-05,10.6,10.8,10.5,10.7,1039084.0
STANDBANKL,2022-01-06,10.7,11.0,10.6,10.9,2892145.0
STANDBANKL,2022-01-09,10.9,10.9,10.7,10.8,1849381.0
STANDBANKL,2022-01-10,10.8,10.8,10.6,10.8,1960234.0
STANDBANKL,2022-01-11,10.8,10.9,10.7,10.8,2048336.0
STANDBANKL,2022-01-12,10.8,10.9,10.7,10.8,1299165.0
STANDBANKL,2022-01-13,10.8,10.8,10.7,10.8,696427.0
STANDBANKL,2022-01-16,10.7,10.8,10.5,10.6,602337.0
STANDBANKL,2022-01-17,10.6,10.8,10.6,10.7,582183.0
STANDBANKL,2022-01-18,10.7,10.7,10.5,10.5,812780.0
STANDBANKL,2022-01-19,10.5,10.6,10.4,10.4,746202.0
STANDBANKL,2022-01-20,10.5,10.5,10.4,10.5,357695.0
STANDBANKL,2022-01-23,10.4,10.5,10.3,10.3,640638.0
STANDBANKL,2022-01-24,10.4,10.4,10.2,10.3,348149.0
STANDBANKL,2022-01-25,10.2,10.7,10.2,10.4,872824.0
STANDBANKL,2022-01-26,10.3,10.5,10.3,10.4,1279572.0
STANDBANKL,2022-01-27,10.5,10.5,10.3,10.3,324201.0
STANDBANKL,2022-01-30,10.5,10.5,10.2,10.3,211052.0
STANDBANKL,2022-01-31,10.3,10.3,10.2,10.2,317224.0
STANDBANKL,2022-02-01,10.2,10.4,10.1,10.3,920043.0
STANDBANKL,2022-02-02,10.3,10.4,10.2,10.3,245274.0
STANDBANKL,2022-02-03,10.3,10.4,10.2,10.4,937042.0
STANDBANKL,2022-02-06,10.4,10.5,10.3,10.3,265095.0
STANDBANKL,2022-02-07,10.3,10.4,10.3,10.3,199684.0
STANDBANKL,2022-02-08,10.3,10.6,10.3,10.3,587259.0
STANDBANKL,2022-02-09,10.3,10.5,10.2,10.3,804055.0
STANDBANKL,2022-02-10,10.3,10.4,10.2,10.3,469992.0
STANDBANKL,2022-02-13,10.4,10.4,10.2,10.3,508981.0
STANDBANKL,2022-02-14,10.4,10.6,10.3,10.4,1008135.0
STANDBANKL,2022-02-15,10.4,10.4,10.3,10.3,253333.0
STANDBANKL,2022-02-16,10.4,10.4,10.2,10.3,651849.0
STANDBANKL,2022-02-17,10.2,10.3,10.1,10.2,490501.0
STANDBANKL,2022-02-20,10.1,10.2,10.1,10.1,486380.0
STANDBANKL,2022-02-22,10.1,10.2,10.0,10.1,329395.0
STANDBANKL,2022-02-23,10.2,10.2,10.0,10.1,430720.0
STANDBANKL,2022-02-24,10.1,10.1,9.9,10.0,642001.0
STANDBANKL,2022-02-27,9.9,9.9,9.7,9.7,581665.0
STANDBANKL,2022-02-28,9.8,9.9,9.7,9.8,169620.0
STANDBANKL,2022-03-01,10.0,10.0,9.8,9.8,335612.0
STANDBANKL,2022-03-02,9.8,9.9,9.7,9.8,214845.0
STANDBANKL,2022-03-03,9.7,9.8,9.7,9.8,325940.0
STANDBANKL,2022-03-06,9.8,9.9,9.7,9.7,154089.0
STANDBANKL,2022-03-07,9.9,9.9,9.5,9.6,706550.0
STANDBANKL,2022-03-08,9.7,9.7,9.3,9.5,457943.0
STANDBANKL,2022-03-09,9.7,9.9,9.5,9.8,288843.0
STANDBANKL,2022-03-10,10.0,10.1,9.8,9.8,1220799.0
STANDBANKL,2022-03-13,9.9,10.0,9.8,9.9,426494.0
STANDBANKL,2022-03-14,9.9,10.0,9.8,9.8,255898.0
STANDBANKL,2022-03-15,9.9,9.9,9.7,9.7,632236.0
STANDBANKL,2022-03-16,9.7,9.8,9.7,9.8,427212.0
STANDBANKL,2022-03-20,9.8,9.8,9.7,9.7,561935.0
STANDBANKL,2022-03-21,9.6,9.7,9.6,9.6,268821.0
STANDBANKL,2022-03-22,9.7,9.7,9.6,9.6,118772.0
STANDBANKL,2022-03-23,9.8,9.8,9.6,9.6,197809.0
STANDBANKL,2022-03-24,9.6,9.7,9.5,9.6,372022.0
STANDBANKL,2022-03-27,9.6,9.7,9.6,9.7,143386.0
STANDBANKL,2022-03-28,9.8,9.8,9.7,9.8,357484.0
STANDBANKL,2022-03-29,9.8,9.8,9.7,9.7,305470.0
STANDBANKL,2022-03-30,9.7,9.8,9.6,9.7,161768.0
STANDBANKL,2022-03-31,9.6,9.7,9.6,9.6,437510.0
STANDBANKL,2022-04-03,9.6,9.7,9.5,9.5,536503.0
STANDBANKL,2022-04-04,9.6,9.6,9.4,9.4,273176.0
STANDBANKL,2022-04-05,9.4,9.5,9.3,9.3,611946.0
STANDBANKL,2022-04-06,9.4,9.4,9.2,9.2,607316.0
STANDBANKL,2022-04-07,9.1,9.2,9.1,9.1,437663.0
STANDBANKL,2022-04-10,9.1,9.2,9.0,9.0,417824.0
STANDBANKL,2022-04-11,9.0,9.2,9.0,9.1,398347.0
STANDBANKL,2022-04-12,9.1,9.1,9.0,9.0,1158659.0
STANDBANKL,2022-04-13,9.0,9.1,8.9,9.1,292809.0
STANDBANKL,2022-04-17,9.1,9.1,9.0,9.0,267926.0
STANDBANKL,2022-04-18,8.9,9.0,8.9,8.9,206280.0
STANDBANKL,2022-04-19,8.8,9.0,8.8,8.9,255224.0
STANDBANKL,2022-04-20,9.1,9.3,9.0,9.2,1186368.0
STANDBANKL,2022-04-21,9.2,9.3,9.2,9.2,325926.0
STANDBANKL,2022-04-24,9.2,9.4,9.1,9.4,345871.0
STANDBANKL,2022-04-25,9.4,9.5,9.2,9.5,448572.0
STANDBANKL,2022-04-26,9.5,9.5,9.4,9.5,400846.0
STANDBANKL,2022-04-27,9.5,9.6,9.4,9.5,413599.0
STANDBANKL,2022-04-28,9.4,9.5,9.3,9.3,540768.0
STANDBANKL,2022-05-05,9.3,9.3,9.1,9.2,223520.0
STANDBANKL,2022-05-08,9.2,9.3,9.1,9.1,256576.0
STANDBANKL,2022-05-09,9.1,9.3,9.1,9.2,700743.0
STANDBANKL,2022-05-10,9.2,9.3,9.2,9.2,419227.0
STANDBANKL,2022-05-11,9.3,9.3,9.1,9.2,749186.0
STANDBANKL,2022-05-12,9.1,9.3,9.1,9.2,414372.0
STANDBANKL,2022-05-16,9.1,9.2,9.1,9.1,345402.0
STANDBANKL,2022-05-17,9.2,9.2,9.1,9.1,660032.0
