symbol,date,open,high,low,close,volume
STYLECRAFT,2022-01-02,123.2,127.0,121.0,122.2,56156.0
STYLECRAFT,2022-01-03,122.7,124.0,121.0,121.4,64221.0
STYLECRAFT,2022-01-04,123.5,123.5,119.3,119.7,48462.0
STYLECRAFT,2022-01-05,120.0,122.0,118.1,118.6,68730.0
STYLECRAFT,2022-01-06,119.0,120.8,115.1,115.8,88886.0
STYLECRAFT,2022-01-09,114.6,116.5,112.9,113.6,84914.0
STYLECRAFT,2022-01-10,113.6,116.9,113.6,115.7,43052.0
STYLECRAFT,2022-01-11,117.5,117.5,113.6,113.9,59041.0
STYLECRAFT,2022-01-12,114.2,115.6,112.9,114.0,56223.0
STYLECRAFT,2022-01-13,116.3,119.9,114.4,117.3,73853.0
STYLECRAFT,2022-01-16,119.4,124.8,119.4,121.1,119043.0
STYLECRAFT,2022-01-17,121.0,122.8,116.3,117.3,74076.0
STYLECRAFT,2022-01-18,119.8,119.8,116.5,116.9,71464.0
STYLECRAFT,2022-01-19,117.1,120.9,117.1,118.2,59747.0
STYLECRAFT,2022-01-20,119.0,120.0,117.3,117.5,42039.0
STYLECRAFT,2022-01-23,116.6,119.6,114.1,115.1,81828.0
STYLECRAFT,2022-01-24,116.0,116.8,113.0,113.4,68948.0
STYLECRAFT,2022-01-25,113.4,118.9,113.4,118.1,76403.0
STYLECRAFT,2022-01-26,119.0,120.8,116.4,117.6,78477.0
STYLECRAFT,2022-01-27,118.9,118.9,116.5,117.4,35169.0
STYLECRAFT,2022-01-30,118.0,118.0,114.0,114.5,55338.0
STYLECRAFT,2022-01-31,113.5,118.0,113.5,114.6,44639.0
STYLECRAFT,2022-02-01,111.6,116.6,111.1,113.5,64678.0
STYLECRAFT,2022-02-02,116.0,116.0,114.0,114.9,20629.0
STYLECRAFT,2022-02-03,113.6,115.0,113.1,114.0,15429.0
STYLECRAFT,2022-02-06,115.5,115.5,113.1,113.4,40727.0
STYLECRAFT,2022-02-07,114.0,114.8,113.5,113.6,37145.0
STYLECRAFT,2022-02-08,114.9,114.9,113.2,113.9,38853.0
STYLECRAFT,2022-02-09,113.6,118.0,113.5,117.7,61459.0
STYLECRAFT,2022-02-10,115.1,122.0,115.1,119.3,128276.0
STYLECRAFT,2022-02-13,119.3,120.4,117.4,118.3,34583.0
STYLECRAFT,2022-02-14,117.8,119.7,115.0,116.0,44139.0
STYLECRAFT,2022-02-15,120.9,120.9,117.1,118.8,68113.0
STYLECRAFT,2022-02-16,119.5,130.6,119.5,130.6,450008.0
STYLECRAFT,2022-02-17,133.1,140.6,133.1,139.6,365264.0
STYLECRAFT,2022-02-20,139.9,145.4,133.5,136.8,311839.0
STYLECRAFT,2022-02-22,140.6,140.6,128.0,130.5,209842.0
STYLECRAFT,2022-02-23,132.2,135.8,128.0,128.5,133882.0
STYLECRAFT,2022-02-24,130.0,130.0,123.8,124.3,89760.0
STYLECRAFT,2022-02-27,121.2,124.9,116.6,117.2,116337.0
STYLECRAFT,2022-02-28,120.0,127.9,119.5,125.3,90991.0
STYLECRAFT,2022-03-01,127.0,129.0,119.0,121.1,98553.0
STYLECRAFT,2022-03-02,124.4,124.5,118.7,120.0,28186.0
STYLECRAFT,2022-03-03,119.3,122.9,119.0,120.9,36647.0
STYLECRAFT,2022-03-06,123.5,124.0,120.4,120.6,34299.0
STYLECRAFT,2022-03-07,121.0,123.4,115.2,116.1,50049.0
STYLECRAFT,2022-03-08,115.7,118.0,111.0,114.9,81114.0
STYLECRAFT,2022-03-09,118.9,123.9,118.5,120.2,43385.0
STYLECRAFT,2022-03-10,120.3,121.9,117.8,118.4,83952.0
STYLECRAFT,2022-03-13,119.0,121.4,116.8,118.4,46587.0
STYLECRAFT,2022-03-14,119.0,124.5,119.0,120.4,68084.0
STYLECRAFT,2022-03-15,123.6,123.6,119.5,120.2,36860.0
STYLECRAFT,2022-03-16,120.0,122.8,118.2,120.3,75660.0
STYLECRAFT,2022-03-20,121.0,121.1,117.9,118.2,35533.0
STYLECRAFT,2022-03-21,118.4,120.8,118.0,120.2,37893.0
STYLECRAFT,2022-03-22,122.0,122.8,120.1,121.3,84669.0
STYLECRAFT,2022-03-23,121.2,121.2,118.9,118.9,76602.0
STYLECRAFT,2022-03-24,117.7,120.1,117.7,118.4,32897.0
STYLECRAFT,2022-03-27,117.6,120.7,117.4,118.8,31700.0
STYLECRAFT,2022-03-28,120.0,122.4,119.5,122.0,124302.0
STYLECRAFT,2022-03-29,122.5,128.8,122.5,128.2,227435.0
STYLECRAFT,2022-03-30,128.4,128.4,125.7,125.7,60518.0
STYLECRAFT,2022-03-31,123.5,124.7,123.2,123.3,66508.0
STYLECRAFT,2022-04-03,122.0,122.5,120.9,120.9,59490.0
STYLECRAFT,2022-04-04,120.7,120.9,118.9,119.5,39604.0
STYLECRAFT,2022-04-05,123.8,123.8,118.7,119.0,37911.0
STYLECRAFT,2022-04-06,118.4,119.5,117.9,118.5,23785.0
STYLECRAFT,2022-04-07,117.4,120.3,117.3,117.8,24920.0
STYLECRAFT,2022-04-10,120.6,120.6,117.3,118.5,21927.0
STYLECRAFT,2022-04-11,118.1,120.2,118.0,118.5,20349.0
STYLECRAFT,2022-04-12,117.3,117.8,116.2,116.3,39632.0
STYLECRAFT,2022-04-13,119.9,119.9,114.0,115.3,20829.0
STYLECRAFT,2022-04-17,118.0,118.0,113.0,113.3,26631.0
STYLECRAFT,2022-04-18,112.0,112.1,111.1,111.1,20275.0
STYLECRAFT,2022-04-19,110.0,112.4,108.9,111.7,43830.0
STYLECRAFT,2022-04-20,111.7,113.7,111.6,112.5,27986.0
STYLECRAFT,2022-04-21,112.5,115.0,111.4,114.7,26469.0
STYLECRAFT,2022-04-24,115.6,116.0,113.6,114.6,16608.0
STYLECRAFT,2022-04-25,115.8,115.8,112.3,114.4,13229.0
STYLECRAFT,2022-04-26,112.8,115.2,112.0,112.8,28710.0
STYLECRAFT,2022-04-27,112.7,113.9,109.3,112.7,33930.0
STYLECRAFT,2022-04-28,110.6,114.3,110.6,113.3,25196.0
STYLECRAFT,2022-05-05,111.9,114.0,111.9,113.2,11802.0
STYLECRAFT,2022-05-08,111.8,113.7,111.8,112.4,29481.0
STYLECRAFT,2022-05-09,111.8,114.2,110.1,113.8,30120.0
STYLECRAFT,2022-05-10,115.8,118.8,114.2,116.1,58963.0
STYLECRAFT,2022-05-11,118.2,118.9,112.8,113.3,49542.0
STYLECRAFT,2022-05-12,111.9,114.5,111.2,111.5,63490.0
STYLECRAFT,2022-05-16,114.5,114.5,109.0,110.0,33935.0
STYLECRAFT,2022-05-17,113.4,113.4,107.8,109.0,31065.0
STYLECRAFT,2022-05-18,109.0,111.6,103.6,104.5,46469.0
STYLECRAFT,2022-05-19,101.9,107.7,100.5,103.0,43098.0
STYLECRAFT,2022-05-22,103.0,103.7,97.9,99.4,30034.0
STYLECRAFT,2022-05-23,106.0,106.0,103.2,103.5,14866.0
STYLECRAFT,2022-05-24,103.9,106.0,102.5,102.7,27704.0
STYLECRAFT,2022-05-25,103.0,103.0,101.0,102.0,18936.0
STYLECRAFT,2022-05-26,101.1,105.0,100.0,104.6,16103.0
STYLECRAFT,2022-05-29,105.0,111.9,105.0,108.2,13154.0
STYLECRAFT,2022-05-30,112.5,112.5,107.8,108.0,33974.0
STYLECRAFT,2022-05-31,113.9,113.9,107.5,107.9,14756.0
STYLECRAFT,2022-06-01,108.5,113.7,108.5,112.3,51088.0
STYLECRAFT,2022-06-02,112.3,114.7,112.3,113.8,44587.0
STYLECRAFT,2022-06-05,118.0,118.0,112.3,112.8,35126.0
STYLECRAFT,2022-06-06,113.9,113.9,110.6,110.6,32125.0
STYLECRAFT,2022-06-07,109.8,110.2,108.4,108.9,15680.0
STYLECRAFT,2022-06-08,108.0,109.9,107.0,108.9,17580.0
STYLECRAFT,2022-06-09,111.7,111.7,109.0,109.9,11140.0
STYLECRAFT,2022-06-12,109.4,113.0,107.8,111.7,92308.0
STYLECRAFT,2022-06-13,114.9,114.9,111.8,112.2,44382.0
STYLECRAFT,2022-06-14,114.3,114.3,110.0,110.5,27599.0
STYLECRAFT,2022-06-15,109.5,113.0,109.0,110.7,39081.0
STYLECRAFT,2022-06-16,110.6,113.0,110.1,110.6,33271.0
STYLECRAFT,2022-06-19,111.0,112.5,108.4,108.5,31939.0
STYLECRAFT,2022-06-20,109.0,109.0,106.4,106.4,46917.0
STYLECRAFT,2022-06-21,108.0,108.0,104.6,106.5,15143.0
STYLECRAFT,2022-06-22,105.3,107.8,105.3,105.9,13878.0
STYLECRAFT,2022-06-23,108.3,108.3,104.9,105.7,8935.0
STYLECRAFT,2022-06-26,108.0,108.0,105.3,105.7,20473.0
STYLECRAFT,2022-06-27,106.0,107.5,105.3,106.8,13313.0
STYLECRAFT,2022-06-28,107.2,109.3,106.4,107.0,20221.0
STYLECRAFT,2022-06-29,105.6,108.2,105.5,107.4,14465.0
STYLECRAFT,2022-06-30,106.7,108.4,106.7,107.7,45125.0
STYLECRAFT,2022-07-03,107.9,108.8,106.9,107.1,19321.0
STYLECRAFT,2022-07-04,105.0,108.2,105.0,107.0,30057.0
STYLECRAFT,2022-07-05,105.0,111.0,105.0,109.7,82257.0
STYLECRAFT,2022-07-06,109.7,112.7,109.1,110.8,55305.0
STYLECRAFT,2022-07-07,113.0,113.0,109.3,110.5,38539.0
STYLECRAFT,2022-07-12,111.6,111.6,109.8,110.0,14137.0
STYLECRAFT,2022-07-13,112.4,112.4,108.5,109.1,18686.0
STYLECRAFT,2022-07-14,108.5,111.0,108.4,110.5,37661.0
STYLECRAFT,2022-07-17,111.0,117.9,111.0,114.8,87869.0
STYLECRAFT,2022-07-18,115.8,122.0,112.8,114.5,129701.0
STYLECRAFT,2022-07-19,114.0,114.0,112.3,112.3,57641.0
STYLECRAFT,2022-07-20,110.5,112.6,110.4,110.7,35453.0
STYLECRAFT,2022-07-21,113.5,113.5,108.5,108.9,34882.0
STYLECRAFT,2022-07-24,108.0,108.9,106.8,106.8,35889.0
STYLECRAFT,2022-07-25,105.0,108.0,104.7,107.4,29688.0
STYLECRAFT,2022-07-26,109.8,109.8,105.3,105.9,53444.0
STYLECRAFT,2022-07-27,105.7,107.9,103.8,104.6,31284.0
STYLECRAFT,2022-07-28,102.8,105.0,102.7,103.2,11016.0
STYLECRAFT,2022-07-31,105.6,107.9,105.5,107.1,30271.0
STYLECRAFT,2022-08-01,107.2,109.7,105.6,106.5,33472.0
STYLECRAFT,2022-08-02,106.5,113.9,105.7,110.7,72579.0
STYLECRAFT,2022-08-03,113.5,113.7,108.3,109.1,45683.0
STYLECRAFT,2022-08-04,106.0,109.8,106.0,107.0,48330.0
STYLECRAFT,2022-08-07,106.6,108.6,105.8,106.0,56634.0
STYLECRAFT,2022-08-08,106.3,107.9,106.0,106.3,34657.0
STYLECRAFT,2022-08-10,106.0,107.2,105.5,105.6,57724.0
STYLECRAFT,2022-08-11,107.0,107.0,105.5,105.7,20076.0
STYLECRAFT,2022-08-14,105.7,106.6,105.5,105.6,17442.0
STYLECRAFT,2022-08-16,106.9,107.2,105.5,105.7,19521.0
STYLECRAFT,2022-08-17,106.5,109.3,106.2,108.7,53949.0
STYLECRAFT,2022-08-21,107.0,111.8,107.0,110.7,50739.0
STYLECRAFT,2022-08-22,111.0,114.0,110.2,110.9,81600.0
STYLECRAFT,2022-08-23,111.0,111.9,108.0,108.6,43486.0
STYLECRAFT,2022-08-24,110.8,110.8,106.9,107.3,39214.0
STYLECRAFT,2022-08-25,109.5,110.5,108.0,109.3,50181.0
STYLECRAFT,2022-08-28,109.4,112.4,107.1,108.0,56293.0
STYLECRAFT,2022-08-29,106.0,109.9,106.0,108.4,31236.0
STYLECRAFT,2022-08-30,108.4,110.9,107.2,107.9,38282.0
STYLECRAFT,2022-08-31,110.0,110.0,107.6,108.1,40294.0
