symbol,date,open,high,low,close,volume
SUMITPOWER,2022-01-02,39.0,40.0,39.0,39.6,349022.0
SUMITPOWER,2022-01-03,39.6,40.1,39.0,39.4,691908.0
SUMITPOWER,2022-01-04,39.4,39.6,38.7,39.0,528871.0
SUMITPOWER,2022-01-05,39.1,39.3,38.7,39.0,778539.0
SUMITPOWER,2022-01-06,39.1,40.0,38.9,39.6,1268894.0
SUMITPOWER,2022-01-09,40.5,40.5,39.4,39.9,832535.0
SUMITPOWER,2022-01-10,39.9,40.4,39.1,40.2,1191268.0
SUMITPOWER,2022-01-11,40.5,41.6,39.4,39.9,2710401.0
SUMITPOWER,2022-01-12,40.5,40.6,39.8,39.9,1036420.0
SUMITPOWER,2022-01-13,39.9,40.2,39.7,40.0,802875.0
SUMITPOWER,2022-01-16,40.0,40.3,39.5,39.8,767123.0
SUMITPOWER,2022-01-17,39.8,40.0,39.6,39.7,406464.0
SUMITPOWER,2022-01-18,39.9,40.0,39.7,39.7,491937.0
SUMITPOWER,2022-01-19,40.0,40.0,39.1,39.2,785728.0
SUMITPOWER,2022-01-20,39.7,39.7,39.0,39.2,712944.0
SUMITPOWER,2022-01-23,39.3,39.3,38.6,38.8,722672.0
SUMITPOWER,2022-01-24,38.8,39.0,38.6,38.7,323632.0
SUMITPOWER,2022-01-25,38.7,39.3,38.7,39.1,538684.0
SUMITPOWER,2022-01-26,39.2,39.5,39.1,39.4,381617.0
SUMITPOWER,2022-01-27,39.4,39.4,39.0,39.1,316753.0
SUMITPOWER,2022-01-30,39.1,39.2,38.6,38.9,437280.0
SUMITPOWER,2022-01-31,38.8,38.9,38.5,38.7,700767.0
SUMITPOWER,2022-02-01,39.0,39.0,38.0,38.3,1248700.0
SUMITPOWER,2022-02-02,38.5,39.0,38.3,38.5,682496.0
SUMITPOWER,2022-02-03,38.5,38.7,38.1,38.4,594940.0
SUMITPOWER,2022-02-06,38.1,38.6,38.1,38.4,433445.0
SUMITPOWER,2022-02-07,38.4,39.0,38.3,38.9,866712.0
SUMITPOWER,2022-02-08,39.0,41.6,38.6,40.0,2356749.0
SUMITPOWER,2022-02-09,41.0,41.5,40.4,40.6,2296637.0
SUMITPOWER,2022-02-10,40.6,40.9,39.8,40.0,1362766.0
SUMITPOWER,2022-02-13,40.2,40.3,40.0,40.1,659353.0
SUMITPOWER,2022-02-14,40.0,40.2,39.4,39.6,860057.0
SUMITPOWER,2022-02-15,40.0,40.1,39.6,39.6,443028.0
SUMITPOWER,2022-02-16,39.9,40.1,39.6,39.7,554130.0
SUMITPOWER,2022-02-17,39.7,39.8,38.9,39.1,563065.0
SUMITPOWER,2022-02-20,39.0,39.0,38.8,38.8,366872.0
SUMITPOWER,2022-02-22,38.6,39.4,38.6,39.3,408296.0
SUMITPOWER,2022-02-23,39.0,40.0,38.8,39.5,476664.0
SUMITPOWER,2022-02-24,39.5,39.5,38.8,39.0,626883.0
SUMITPOWER,2022-02-27,38.8,38.8,37.5,37.9,1025133.0
SUMITPOWER,2022-02-28,38.0,38.5,37.9,38.0,605238.0
SUMITPOWER,2022-03-01,38.4,38.5,38.0,38.2,607008.0
SUMITPOWER,2022-03-02,38.3,38.4,37.7,38.1,460124.0
SUMITPOWER,2022-03-03,38.1,38.2,37.5,38.1,374288.0
SUMITPOWER,2022-03-06,38.0,38.2,37.9,38.1,238036.0
SUMITPOWER,2022-03-07,38.2,38.2,37.5,37.5,647726.0
SUMITPOWER,2022-03-08,37.2,38.0,36.2,37.6,569529.0
SUMITPOWER,2022-03-09,37.9,38.4,37.5,38.3,389398.0
SUMITPOWER,2022-03-10,38.6,38.7,38.0,38.1,619506.0
SUMITPOWER,2022-03-13,38.5,39.5,38.0,39.3,481573.0
SUMITPOWER,2022-03-14,39.6,39.6,38.6,38.8,492153.0
SUMITPOWER,2022-03-15,38.7,38.9,38.2,38.5,364707.0
SUMITPOWER,2022-03-16,38.5,38.8,38.0,38.2,543123.0
SUMITPOWER,2022-03-20,38.5,38.6,37.8,38.1,277984.0
SUMITPOWER,2022-03-21,38.1,38.4,37.9,38.0,221856.0
SUMITPOWER,2022-03-22,38.5,38.7,38.1,38.5,325058.0
SUMITPOWER,2022-03-23,38.8,39.0,38.6,38.8,513173.0
SUMITPOWER,2022-03-24,39.0,40.3,39.0,39.2,1301784.0
SUMITPOWER,2022-03-27,39.3,39.3,38.6,38.7,396482.0
SUMITPOWER,2022-03-28,38.8,39.3,38.5,38.6,426007.0
SUMITPOWER,2022-03-29,39.2,39.6,38.5,38.6,426713.0
SUMITPOWER,2022-03-30,38.6,39.1,38.6,39.0,326605.0
SUMITPOWER,2022-03-31,38.9,39.1,38.6,39.0,387747.0
SUMITPOWER,2022-04-03,38.8,39.0,38.5,38.6,193458.0
SUMITPOWER,2022-04-04,38.7,38.8,38.5,38.6,224686.0
SUMITPOWER,2022-04-05,38.6,38.8,38.5,38.6,434650.0
SUMITPOWER,2022-04-06,38.5,38.8,38.3,38.6,253584.0
SUMITPOWER,2022-04-07,38.5,38.6,38.4,38.6,204441.0
SUMITPOWER,2022-04-10,38.6,38.7,38.5,38.6,267445.0
SUMITPOWER,2022-04-11,38.8,38.9,38.6,38.7,123938.0
SUMITPOWER,2022-04-12,38.7,38.7,38.4,38.4,493274.0
SUMITPOWER,2022-04-13,38.6,38.8,38.3,38.6,356039.0
SUMITPOWER,2022-04-17,38.6,38.9,38.2,38.7,289571.0
SUMITPOWER,2022-04-18,38.8,38.8,38.2,38.4,274728.0
SUMITPOWER,2022-04-19,38.3,39.0,38.2,38.7,841866.0
SUMITPOWER,2022-04-20,38.6,39.1,38.6,38.9,311711.0
SUMITPOWER,2022-04-21,38.9,39.4,38.8,39.0,596296.0
SUMITPOWER,2022-04-24,39.1,39.5,39.0,39.4,398650.0
SUMITPOWER,2022-04-25,39.7,39.7,38.8,38.9,361044.0
SUMITPOWER,2022-04-26,39.0,39.5,38.8,39.1,544727.0
SUMITPOWER,2022-04-27,39.1,39.4,38.8,38.9,364940.0
SUMITPOWER,2022-04-28,38.9,39.4,38.2,38.7,762794.0
SUMITPOWER,2022-05-05,38.5,39.0,38.2,38.6,135301.0
SUMITPOWER,2022-05-08,38.3,38.8,38.3,38.6,351498.0
SUMITPOWER,2022-05-09,39.0,39.0,38.4,38.7,290747.0
SUMITPOWER,2022-05-10,38.9,39.0,38.4,38.6,587452.0
SUMITPOWER,2022-05-11,38.4,38.7,38.3,38.4,293083.0
SUMITPOWER,2022-05-12,38.5,38.6,38.2,38.3,272017.0
SUMITPOWER,2022-05-16,38.2,38.5,37.9,38.0,290291.0
SUMITPOWER,2022-05-17,38.0,38.0,37.0,37.3,357946.0
SUMITPOWER,2022-05-18,37.5,37.5,37.1,37.1,318059.0
SUMITPOWER,2022-05-19,36.9,37.3,36.5,36.8,275298.0
SUMITPOWER,2022-05-22,36.8,37.0,36.2,36.4,177858.0
SUMITPOWER,2022-05-23,36.6,37.5,36.6,37.3,173403.0
SUMITPOWER,2022-05-24,37.8,37.8,37.0,37.2,193791.0
