symbol,date,open,high,low,close,volume
SUNLIFEINS,2022-01-02,34.8,34.9,34.3,34.4,13662.0
SUNLIFEINS,2022-01-03,34.4,35.6,34.4,35.4,30869.0
SUNLIFEINS,2022-01-04,36.3,38.9,36.1,38.8,136375.0
SUNLIFEINS,2022-01-05,36.9,38.8,36.9,37.9,36865.0
SUNLIFEINS,2022-01-06,39.2,39.2,37.8,38.0,20551.0
SUNLIFEINS,2022-01-09,37.9,38.5,37.1,37.6,59616.0
SUNLIFEINS,2022-01-10,39.0,39.0,37.0,37.5,64197.0
SUNLIFEINS,2022-01-11,37.3,37.8,37.0,37.0,24684.0
SUNLIFEINS,2022-01-12,37.4,37.5,36.0,36.4,9597.0
SUNLIFEINS,2022-01-13,36.4,37.3,36.4,36.8,24203.0
SUNLIFEINS,2022-01-16,38.5,38.5,37.0,38.0,45383.0
SUNLIFEINS,2022-01-17,38.8,41.0,38.5,40.4,232684.0
SUNLIFEINS,2022-01-18,42.0,42.0,40.3,40.7,137239.0
SUNLIFEINS,2022-01-19,39.7,41.8,39.0,39.7,98843.0
SUNLIFEINS,2022-01-20,40.5,40.5,39.0,39.1,41963.0
SUNLIFEINS,2022-01-23,39.0,40.8,39.0,40.5,57398.0
SUNLIFEINS,2022-01-24,42.5,42.5,40.0,40.2,75924.0
SUNLIFEINS,2022-01-25,40.3,40.8,39.0,39.5,53351.0
SUNLIFEINS,2022-01-26,39.5,39.5,38.6,39.1,13271.0
SUNLIFEINS,2022-01-27,39.6,40.2,38.9,39.2,31845.0
SUNLIFEINS,2022-01-30,39.2,40.1,39.2,39.6,6204.0
SUNLIFEINS,2022-01-31,40.0,40.0,38.2,38.5,18644.0
SUNLIFEINS,2022-02-01,38.9,39.6,38.8,39.0,42722.0
SUNLIFEINS,2022-02-02,42.9,42.9,38.2,41.4,202359.0
SUNLIFEINS,2022-02-03,43.5,45.5,43.2,44.0,885959.0
SUNLIFEINS,2022-02-06,44.9,45.0,41.3,42.1,197955.0
SUNLIFEINS,2022-02-07,42.0,42.3,40.5,40.8,304689.0
SUNLIFEINS,2022-02-08,42.0,42.0,39.6,39.8,314926.0
SUNLIFEINS,2022-02-09,41.4,41.4,38.7,39.0,155007.0
SUNLIFEINS,2022-02-10,39.6,39.6,38.8,39.1,67262.0
SUNLIFEINS,2022-02-13,39.5,39.5,38.3,38.5,138086.0
SUNLIFEINS,2022-02-14,38.5,38.7,36.9,37.2,149408.0
SUNLIFEINS,2022-02-15,37.5,38.3,36.9,37.4,56796.0
SUNLIFEINS,2022-02-16,37.4,37.7,37.1,37.3,78141.0
SUNLIFEINS,2022-02-17,37.3,37.9,37.1,37.2,73128.0
SUNLIFEINS,2022-02-20,37.8,37.9,36.2,36.5,51534.0
SUNLIFEINS,2022-02-22,38.4,38.4,36.4,36.6,44296.0
SUNLIFEINS,2022-02-23,36.8,37.2,36.2,36.4,62324.0
SUNLIFEINS,2022-02-24,37.0,37.0,35.4,35.6,58007.0
