symbol,date,open,high,low,close,volume
Services & Real Estate,2022-01-02,50.525,52.25,50.425,51.55,2738773.0
Services & Real Estate,2022-01-03,51.75,53.45,51.175,52.15,5316677.0
Services & Real Estate,2022-01-04,52.5,53.125,51.45,52.575,4163919.0
Services & Real Estate,2022-01-05,52.6,54.475,52.375,53.125,10484417.0
Services & Real Estate,2022-01-06,53.150000000000006,54.275,52.5,53.55,5121783.0
Services & Real Estate,2022-01-09,53.8,54.45,51.825,52.275,6821311.0
Services & Real Estate,2022-01-10,52.45,55.125,51.8,54.4,7866457.0
Services & Real Estate,2022-01-11,54.825,56.75,53.1,54.65,11521282.0
Services & Real Estate,2022-01-12,54.85,55.125,53.325,53.6,6546135.0
Services & Real Estate,2022-01-13,53.5,55.225,53.075,54.375,4227272.0
Services & Real Estate,2022-01-16,55.325,58.525,54.975,57.6,7823749.0
Services & Real Estate,2022-01-17,60.175,61.825,59.275,61.150000000000006,24225503.0
Services & Real Estate,2022-01-18,63.025,66.15,59.05,64.75,20565971.0
Services & Real Estate,2022-01-19,64.3,65.85,61.975,63.3,15712417.0
Services & Real Estate,2022-01-20,63.525,65.55,61.6,62.25,10872018.0
Services & Real Estate,2022-01-23,62.3,64.3,60.6,62.05,8991809.0
Services & Real Estate,2022-01-24,62.8,63.650000000000006,60.175,62.25,4867129.0
Services & Real Estate,2022-01-25,62.9,64.5,61.175,62.15,3821522.0
Services & Real Estate,2022-01-26,62.5,63.675,59.775,61.325,5189042.0
Services & Real Estate,2022-01-27,61.425,63.225,59.3,60.425,7164703.0
Services & Real Estate,2022-01-30,58.8,59.975,57.6,58.375,11043721.0
Services & Real Estate,2022-01-31,57.900000000000006,59.325,56.375,56.875,7355523.0
Services & Real Estate,2022-02-01,57.425,59.3,56.9,58.175,6432256.0
Services & Real Estate,2022-02-02,58.275,59.8,55.725,56.725,7552791.0
Services & Real Estate,2022-02-03,57.05,57.45,55.35,55.6,4647821.0
Services & Real Estate,2022-02-06,55.65,56.825,54.900000000000006,55.3,5063125.0
Services & Real Estate,2022-02-07,55.675,57.375,54.3,55.2,15011611.0
Services & Real Estate,2022-02-08,55.925,57.35,54.85,56.05,8354271.0
Services & Real Estate,2022-02-09,56.55,57.675,55.75,56.75,8140417.0
Services & Real Estate,2022-02-10,57.125,58.125,56.4,57.2,7428613.0
Services & Real Estate,2022-02-13,57.475,59.925,56.55,58.900000000000006,8418991.0
Services & Real Estate,2022-02-14,59.325,59.625,56.425,57.05,5315513.0
Services & Real Estate,2022-02-15,57.3,58.85,56.525,57.45,4137435.0
Services & Real Estate,2022-02-16,58.55,59.825,57.275000000000006,58.525000000000006,10002308.0
Services & Real Estate,2022-02-17,59.175,59.575,58.15,58.75,3536864.0
Services & Real Estate,2022-02-20,58.725,60.5,57.775,59.275,4639154.0
Services & Real Estate,2022-02-22,59.325,60.3,56.7,58.425,4803899.0
Services & Real Estate,2022-02-23,57.85,58.875,57.125,57.5,2502267.0
Services & Real Estate,2022-02-24,57.55,58.35,55.35,55.6,3597246.0
Services & Real Estate,2022-02-27,55.775,56.175,53.3,53.575,4389475.0
Services & Real Estate,2022-02-28,54.75,55.225,53.65,54.1,4301042.0
Services & Real Estate,2022-03-01,54.025,55.175,53.525,54.1,4890598.0
Services & Real Estate,2022-03-02,54.05,54.9,52.425,52.925,3778918.0
Services & Real Estate,2022-03-03,53.475,53.7,51.975,52.775000000000006,2616715.0
Services & Real Estate,2022-03-06,52.975,53.625,52.0,52.175,2247923.0
Services & Real Estate,2022-03-07,51.925,52.55,49.45,49.95,3500211.0
Services & Real Estate,2022-03-08,50.375,51.575,48.375,50.575,2908047.0
Services & Real Estate,2022-03-09,51.1,52.9,50.925,52.55,3255906.0
Services & Real Estate,2022-03-10,52.675,53.7,52.3,52.725,3053499.0
Services & Real Estate,2022-03-13,53.1,54.4,52.325,53.625,4677078.0
Services & Real Estate,2022-03-14,53.6,54.85,52.8,53.9,3742298.0
Services & Real Estate,2022-03-15,53.575,54.75,53.25,53.975,3304412.0
Services & Real Estate,2022-03-16,54.15,55.125,53.325,54.275,4479997.0
Services & Real Estate,2022-03-20,54.4,54.975,53.525,53.6,3354946.0
Services & Real Estate,2022-03-21,53.075,54.475,52.85,53.925,2486959.0
Services & Real Estate,2022-03-22,54.15,55.65,53.8,55.3,3304862.0
Services & Real Estate,2022-03-23,55.175,57.1,54.725,55.225,5171066.0
Services & Real Estate,2022-03-24,55.275,55.7,54.55,55.150000000000006,2050152.0
Services & Real Estate,2022-03-27,55.4,55.925,54.375,55.05,1972479.0
Services & Real Estate,2022-03-28,54.975,56.325,54.400000000000006,55.150000000000006,2036929.0
Services & Real Estate,2022-03-29,55.400000000000006,56.075,54.575,54.975,3150635.0
Services & Real Estate,2022-03-30,54.675,55.275000000000006,54.0,54.025,1705788.0
Services & Real Estate,2022-03-31,54.0,54.3,53.125,53.325,2311574.0
Services & Real Estate,2022-04-03,53.825,54.475,52.95,53.425,1219774.0
Services & Real Estate,2022-04-04,53.475,53.675,52.5,52.9,1096326.0
Services & Real Estate,2022-04-05,53.275,53.5,52.4,52.75,2001412.0
Services & Real Estate,2022-04-06,52.95,53.175,51.825,52.25,1445395.0
Services & Real Estate,2022-04-07,52.1,52.475,51.35,51.925,1893939.0
Services & Real Estate,2022-04-10,52.325,53.025,51.9,52.425,1195042.0
Services & Real Estate,2022-04-11,52.525,52.825,51.725,51.825,1115554.0
Services & Real Estate,2022-04-12,51.9,52.1,50.85,51.025,1369744.0
Services & Real Estate,2022-04-13,51.6,51.6,50.175,50.575,1376671.0
Services & Real Estate,2022-04-17,50.85,51.375,49.9,50.2,1840678.0
Services & Real Estate,2022-04-18,50.075,50.7,49.225,49.3,856865.0
Services & Real Estate,2022-04-19,49.3,50.15,48.6,49.95,1634124.0
Services & Real Estate,2022-04-20,50.55,51.55,50.05,51.075,1815037.0
Services & Real Estate,2022-04-21,51.45,51.95,50.825,51.25,2638992.0
Services & Real Estate,2022-04-24,50.725,50.9,49.95,50.175,1634484.0
Services & Real Estate,2022-04-25,49.825,50.025,48.75,49.45,1252426.0
Services & Real Estate,2022-04-26,49.8,50.05,48.150000000000006,48.775,1909846.0
Services & Real Estate,2022-04-27,49.325,49.75,48.275,49.075,2441817.0
Services & Real Estate,2022-04-28,49.2,50.0,48.225,49.4,4705318.0
Services & Real Estate,2022-05-05,50.075,50.925,48.7,49.65,2844037.0
Services & Real Estate,2022-05-08,49.825,52.650000000000006,49.4,52.1,10179537.0
Services & Real Estate,2022-05-09,52.425,55.2,51.400000000000006,54.825,9966281.0
Services & Real Estate,2022-05-10,55.2,56.525,52.575,53.575,9877617.0
Services & Real Estate,2022-05-11,52.85,53.75,51.55,51.75,6411447.0
Services & Real Estate,2022-05-12,51.45,52.575,50.55,51.25,5193780.0
Services & Real Estate,2022-05-16,50.825,51.475,48.7,48.775,4373395.0
Services & Real Estate,2022-05-17,49.05,49.975,46.475,48.3,4727782.0
Services & Real Estate,2022-05-18,48.7,49.725,46.025,46.375,3559548.0
Services & Real Estate,2022-05-19,45.95,47.125,44.7,45.75,3530449.0
Services & Real Estate,2022-05-22,46.325,46.65,44.25,44.475,3058124.0
Services & Real Estate,2022-05-23,46.575,47.175,45.55,46.1,2722645.0
Services & Real Estate,2022-05-24,46.325,47.35,45.325,45.625,4094825.0
Services & Real Estate,2022-05-25,45.0,46.3,44.325,45.05,2414271.0
Services & Real Estate,2022-05-26,46.25,47.075,44.5,45.900000000000006,1608443.0
Services & Real Estate,2022-05-29,47.325,49.225,46.3,48.525,4364256.0
Services & Real Estate,2022-05-30,48.625,49.25,47.7,47.8,3087789.0
Services & Real Estate,2022-05-31,47.55,49.425,47.3,48.35,2425974.0
Services & Real Estate,2022-06-01,48.625,51.0,48.25,50.425,3624261.0
Services & Real Estate,2022-06-02,50.35,51.25,49.875,50.225,4234607.0
Services & Real Estate,2022-06-05,50.725,51.825,49.8,50.575,6211471.0
Services & Real Estate,2022-06-06,50.725,51.8,49.9,50.3,4109704.0
Services & Real Estate,2022-06-07,50.375,50.725,49.35,49.4,2766629.0
Services & Real Estate,2022-06-08,49.65,50.400000000000006,49.075,49.675,3208314.0
Services & Real Estate,2022-06-09,50.1,50.775,49.525,49.725,2022015.0
Services & Real Estate,2022-06-12,49.35,49.975,48.875,49.0,1923497.0
Services & Real Estate,2022-06-13,48.85,49.45,48.1,48.15,2174575.0
Services & Real Estate,2022-06-14,48.55,48.975,47.475,47.8,2424726.0
Services & Real Estate,2022-06-15,48.525,49.3,47.55,48.05,3110466.0
Services & Real Estate,2022-06-16,48.825,50.475,48.125,49.85,9521417.0
Services & Real Estate,2022-06-19,50.5,51.2,49.3,49.6,8679519.0
Services & Real Estate,2022-06-20,49.5,49.625,48.675,48.75,2757049.0
Services & Real Estate,2022-06-21,48.45,48.575,47.825,47.825,1473990.0
Services & Real Estate,2022-06-22,48.25,49.0,47.05,47.75,3711332.0
Services & Real Estate,2022-06-23,48.025,49.625,47.375,48.55,2260340.0
Services & Real Estate,2022-06-26,48.775,49.475,48.125,48.525,3039942.0
Services & Real Estate,2022-06-27,48.85,49.575,48.05,48.975,1986209.0
Services & Real Estate,2022-06-28,49.125,49.775000000000006,48.675,49.05,2639560.0
Services & Real Estate,2022-06-29,48.95,49.45,48.375,48.8,2375308.0
Services & Real Estate,2022-06-30,48.975,49.35,48.125,48.325,2345927.0
Services & Real Estate,2022-07-03,48.575,50.55,48.125,49.6,3395365.0
Services & Real Estate,2022-07-04,49.675,50.575,48.925,49.725,3001795.0
Services & Real Estate,2022-07-05,49.625,51.275,49.35,49.875,4518603.0
Services & Real Estate,2022-07-06,49.925,50.675,49.2,49.55,3222232.0
Services & Real Estate,2022-07-07,49.975,50.1,49.125,49.45,1856229.0
Services & Real Estate,2022-07-12,50.1,50.4,48.7,48.85,2470385.0
Services & Real Estate,2022-07-13,49.3,49.65,48.075,48.225,2082816.0
Services & Real Estate,2022-07-14,48.025,49.775,47.525,49.325,1787257.0
Services & Real Estate,2022-07-17,49.225,50.025,48.8,49.0,1314059.0
Services & Real Estate,2022-07-18,48.75,48.8,48.075,48.075,1342089.0
Services & Real Estate,2022-07-19,47.225,47.6,47.15,47.15,543058.0
Services & Real Estate,2022-07-20,46.725,47.85,46.575,47.25,2358625.0
Services & Real Estate,2022-07-21,47.675,48.025,46.425,46.675,1898247.0
Services & Real Estate,2022-07-24,46.775,47.05,45.775,45.775,1212647.0
Services & Real Estate,2022-07-25,45.275000000000006,46.85,44.95,46.25,2291572.0
Services & Real Estate,2022-07-26,46.95,48.125,45.8,46.075,2518745.0
Services & Real Estate,2022-07-27,46.0,46.325,45.2,45.2,1102920.0
Services & Real Estate,2022-07-28,44.75,45.05,44.35,44.4,1016851.0
Services & Real Estate,2022-07-31,45.525,46.425,45.5,46.0,2054845.0
Services & Real Estate,2022-08-01,46.675,47.625,45.975,47.0,3949406.0
Services & Real Estate,2022-08-02,47.2,48.6,47.075,48.3,4204335.0
Services & Real Estate,2022-08-03,49.825,50.125,47.525,48.1,3785285.0
Services & Real Estate,2022-08-04,48.8,48.875,47.275,47.675,2345609.0
Services & Real Estate,2022-08-07,47.6,49.45,47.225,48.45,4537638.0
Services & Real Estate,2022-08-08,48.925,49.925,48.05,48.675,5566238.0
Services & Real Estate,2022-08-10,48.775,49.0,47.15,47.375,2855630.0
Services & Real Estate,2022-08-11,47.85,48.375,46.8,47.25,1373541.0
Services & Real Estate,2022-08-14,47.75,48.55,47.1,47.6,1533698.0
Services & Real Estate,2022-08-16,48.3,50.525,47.9,50.05,6583371.0
Services & Real Estate,2022-08-17,49.55,52.075,49.325,50.9,7815505.0
Services & Real Estate,2022-08-21,51.275000000000006,52.75,50.025,52.325,8550767.0
Services & Real Estate,2022-08-22,53.325,54.150000000000006,51.8,52.25,10730734.0
Services & Real Estate,2022-08-23,52.0,54.75,51.525,52.675,12339924.0
Services & Real Estate,2022-08-24,53.425,54.75,52.25,53.6,13017042.0
Services & Real Estate,2022-08-25,53.925,57.875,53.725,57.275,18365411.0
Services & Real Estate,2022-08-28,58.5,61.425,57.125,59.0,20048195.0
Services & Real Estate,2022-08-29,59.575,60.400000000000006,57.5,57.975,12252804.0
Services & Real Estate,2022-08-30,58.025,61.425,57.5,60.5,13875386.0
Services & Real Estate,2022-08-31,61.175,63.575,60.2,61.150000000000006,13121902.0
Services & Real Estate,2022-09-01,60.65,64.75,60.55,64.025,20725811.0
Services & Real Estate,2022-09-04,65.525,68.55000000000001,63.675,66.425,15948404.0
Services & Real Estate,2022-09-05,66.65,68.4,62.925,63.15,12151775.0
Services & Real Estate,2022-09-06,63.225,65.875,60.75,64.425,10881834.0
Services & Real Estate,2022-09-07,65.875,67.15,61.25,62.05,13358207.0
Services & Real Estate,2022-09-08,62.55,63.900000000000006,58.275000000000006,59.375,10838855.0
Services & Real Estate,2022-09-11,61.425,63.6,58.125,60.25,9008564.0
Services & Real Estate,2022-09-12,60.425,61.85,58.6,59.925,7552689.0
Services & Real Estate,2022-09-13,60.525,61.375,57.75,58.525,7198269.0
Services & Real Estate,2022-09-14,58.575,59.95,56.825,57.3,6798882.0
Services & Real Estate,2022-09-15,57.8,59.925,57.2,58.825,5328078.0
Services & Real Estate,2022-09-18,60.075,61.75,57.925,59.45,10164527.0
Services & Real Estate,2022-09-19,59.975,62.675,59.25,61.5,8315044.0
Services & Real Estate,2022-09-20,63.45,64.6,58.85,60.1,16884648.0
Services & Real Estate,2022-09-21,59.525,61.25,57.575,58.35,6805606.0
Services & Real Estate,2022-09-22,58.15,61.325,57.775,60.6,7436217.0
Services & Real Estate,2022-09-25,61.5,64.3,60.6,61.525000000000006,13229996.0
Services & Real Estate,2022-09-26,60.6,63.35,59.775000000000006,61.825,10889988.0
Services & Real Estate,2022-09-27,63.3,65.4,62.075,63.925,26443864.0
Services & Real Estate,2022-09-28,64.15,67.025,63.2,64.5,12740899.0
Services & Real Estate,2022-09-29,64.7,67.75,63.45,66.4,12216449.0
Services & Real Estate,2022-10-02,67.425,69.175,64.3,65.7,13450879.0
Services & Real Estate,2022-10-03,65.975,68.775,64.725,67.15,18992331.0
Services & Real Estate,2022-10-04,67.55,68.9,65.25,66.375,10863068.0
Services & Real Estate,2022-10-06,66.425,67.75,65.025,65.75,9164862.0
Services & Real Estate,2022-10-10,65.425,66.825,61.75,63.15,7895647.0
Services & Real Estate,2022-10-11,63.625,66.1,61.975,65.0,8282523.0
