symbol,date,open,high,low,close,volume
TAKAFULINS,2022-01-02,56.9,56.9,53.8,54.9,89508.0
TAKAFULINS,2022-01-03,55.1,55.7,54.6,54.9,36213.0
TAKAFULINS,2022-01-04,55.0,55.8,54.8,55.4,61387.0
TAKAFULINS,2022-01-05,55.9,55.9,54.0,54.3,42052.0
TAKAFULINS,2022-01-06,55.0,55.8,53.5,53.6,24423.0
TAKAFULINS,2022-01-09,55.0,55.5,53.5,53.9,41266.0
TAKAFULINS,2022-01-10,55.3,55.3,54.0,54.5,29036.0
TAKAFULINS,2022-01-11,54.2,55.0,53.2,53.8,71536.0
TAKAFULINS,2022-01-12,55.0,55.0,53.6,53.8,17161.0
TAKAFULINS,2022-01-13,54.6,54.7,53.0,54.1,36873.0
TAKAFULINS,2022-01-16,55.6,55.6,53.5,53.8,51030.0
TAKAFULINS,2022-01-17,54.7,56.0,53.0,55.5,147444.0
TAKAFULINS,2022-01-18,55.5,56.5,54.0,56.0,402070.0
TAKAFULINS,2022-01-19,56.0,57.2,55.6,56.4,114557.0
TAKAFULINS,2022-01-20,56.1,57.0,56.1,56.8,88620.0
TAKAFULINS,2022-01-23,57.9,59.0,57.9,58.8,214439.0
TAKAFULINS,2022-01-24,59.1,61.0,59.1,60.8,544355.0
TAKAFULINS,2022-01-25,61.7,66.8,61.7,64.9,811776.0
TAKAFULINS,2022-01-26,65.9,66.1,63.0,65.0,274505.0
TAKAFULINS,2022-01-27,66.0,66.9,63.1,64.3,324832.0
TAKAFULINS,2022-01-30,64.3,65.4,62.0,62.6,178184.0
TAKAFULINS,2022-01-31,64.7,65.0,62.1,64.5,210670.0
TAKAFULINS,2022-02-01,66.2,66.2,63.9,65.2,173966.0
TAKAFULINS,2022-02-02,66.8,66.9,64.8,65.2,139591.0
TAKAFULINS,2022-02-03,66.5,66.8,65.2,66.5,262725.0
TAKAFULINS,2022-02-06,66.8,70.2,66.7,68.5,331887.0
TAKAFULINS,2022-02-07,69.8,75.3,69.0,74.8,835699.0
TAKAFULINS,2022-02-08,76.0,81.0,75.2,79.2,697748.0
TAKAFULINS,2022-02-09,79.1,81.5,77.0,80.1,625870.0
TAKAFULINS,2022-02-10,78.8,80.5,76.5,77.2,536563.0
TAKAFULINS,2022-02-13,77.2,82.0,76.7,81.1,599236.0
TAKAFULINS,2022-02-14,82.0,82.9,78.8,79.4,304693.0
