symbol,date,open,high,low,close,volume
TALLUSPIN,2022-01-02,9.6,10.0,9.4,9.9,172469.0
TALLUSPIN,2022-01-03,10.2,10.2,9.9,9.9,193114.0
TALLUSPIN,2022-01-04,10.1,10.1,9.7,9.8,39841.0
TALLUSPIN,2022-01-05,10.2,10.4,9.7,10.2,134518.0
TALLUSPIN,2022-01-06,10.3,10.8,10.3,10.6,206494.0
TALLUSPIN,2022-01-09,10.6,11.0,10.3,10.4,227001.0
TALLUSPIN,2022-01-10,10.8,10.8,10.0,10.2,201750.0
TALLUSPIN,2022-01-11,10.5,11.2,10.5,11.1,829593.0
TALLUSPIN,2022-01-12,12.2,12.2,12.1,12.2,1106816.0
TALLUSPIN,2022-01-13,13.4,13.4,12.5,12.7,2079656.0
TALLUSPIN,2022-01-16,13.7,13.9,13.1,13.9,2054994.0
TALLUSPIN,2022-01-17,14.2,14.6,12.6,13.3,1550117.0
TALLUSPIN,2022-01-18,13.3,13.4,12.8,13.3,1011044.0
TALLUSPIN,2022-01-19,13.4,14.5,13.3,14.3,2203086.0
TALLUSPIN,2022-01-20,11.9,12.0,10.1,10.7,3691608.0
TALLUSPIN,2022-01-23,10.6,10.7,9.9,10.1,1048403.0
TALLUSPIN,2022-01-24,10.0,10.2,9.7,9.7,702354.0
TALLUSPIN,2022-01-25,9.9,10.1,9.7,9.8,495693.0
TALLUSPIN,2022-01-26,10.0,10.7,10.0,10.7,1182417.0
TALLUSPIN,2022-01-27,11.0,11.0,10.2,10.3,392018.0
TALLUSPIN,2022-01-30,10.3,10.4,9.8,10.0,431041.0
TALLUSPIN,2022-01-31,10.0,10.2,9.7,9.8,474331.0
TALLUSPIN,2022-02-01,10.0,10.4,9.8,10.1,393462.0
TALLUSPIN,2022-02-02,10.3,10.9,10.3,10.4,370234.0
TALLUSPIN,2022-02-03,10.4,10.4,10.2,10.3,204883.0
TALLUSPIN,2022-02-06,10.5,10.5,10.2,10.3,277617.0
TALLUSPIN,2022-02-07,10.4,10.4,10.1,10.1,165470.0
TALLUSPIN,2022-02-08,10.2,10.3,10.0,10.1,364142.0
TALLUSPIN,2022-02-09,10.3,10.3,10.1,10.1,257277.0
TALLUSPIN,2022-02-10,10.1,10.2,10.1,10.2,406481.0
TALLUSPIN,2022-02-14,10.4,10.6,10.1,10.2,522692.0
TALLUSPIN,2022-02-15,10.2,10.3,10.1,10.2,228970.0
TALLUSPIN,2022-02-16,10.4,10.4,10.2,10.3,173903.0
TALLUSPIN,2022-02-17,10.4,10.4,10.1,10.3,344653.0
TALLUSPIN,2022-02-20,10.3,11.3,10.2,11.0,1145103.0
TALLUSPIN,2022-02-22,11.2,11.7,11.2,11.5,1271625.0
TALLUSPIN,2022-02-23,11.6,11.8,11.2,11.3,405386.0
TALLUSPIN,2022-02-24,11.3,11.7,10.8,10.9,843896.0
TALLUSPIN,2022-02-27,11.2,11.3,10.2,10.9,843661.0
TALLUSPIN,2022-02-28,10.9,11.7,10.9,11.6,1056838.0
TALLUSPIN,2022-03-01,11.6,11.6,11.0,11.1,517896.0
TALLUSPIN,2022-03-02,11.2,11.2,10.6,10.7,345905.0
TALLUSPIN,2022-03-03,10.9,11.6,10.6,11.3,553275.0
TALLUSPIN,2022-03-06,11.5,11.6,11.0,11.1,274988.0
TALLUSPIN,2022-03-07,11.3,11.3,10.4,10.5,602053.0
TALLUSPIN,2022-03-08,10.8,11.0,10.2,10.9,534646.0
TALLUSPIN,2022-03-09,11.3,11.4,10.7,11.3,472712.0
TALLUSPIN,2022-03-10,11.3,11.4,11.1,11.1,411152.0
TALLUSPIN,2022-03-13,11.0,11.3,11.0,11.1,397324.0
TALLUSPIN,2022-03-14,11.2,11.4,11.2,11.3,391174.0
TALLUSPIN,2022-03-15,11.3,11.3,11.1,11.3,404142.0
TALLUSPIN,2022-03-16,11.3,11.4,11.1,11.1,428482.0
TALLUSPIN,2022-03-20,11.1,11.1,10.9,10.9,231661.0
TALLUSPIN,2022-03-21,10.7,10.9,10.7,10.7,286548.0
TALLUSPIN,2022-03-22,11.0,11.0,10.5,10.7,344516.0
TALLUSPIN,2022-03-23,10.8,10.8,10.5,10.6,72278.0
TALLUSPIN,2022-03-24,10.8,10.8,10.6,10.7,134237.0
TALLUSPIN,2022-03-27,10.9,10.9,10.6,10.7,137001.0
TALLUSPIN,2022-03-28,10.8,10.9,10.6,10.8,144592.0
TALLUSPIN,2022-03-29,11.0,11.0,10.7,10.7,151156.0
TALLUSPIN,2022-03-30,10.8,10.9,10.6,10.6,125297.0
TALLUSPIN,2022-03-31,10.6,10.8,10.6,10.7,79561.0
TALLUSPIN,2022-04-03,10.8,10.8,10.5,10.6,104071.0
TALLUSPIN,2022-04-04,10.5,10.7,10.5,10.5,72270.0
TALLUSPIN,2022-04-05,10.5,10.5,10.3,10.4,105081.0
TALLUSPIN,2022-04-06,10.2,10.3,10.2,10.2,89838.0
TALLUSPIN,2022-04-07,10.1,10.5,10.1,10.4,56582.0
TALLUSPIN,2022-04-10,10.4,10.7,10.3,10.7,64463.0
TALLUSPIN,2022-04-11,10.8,10.8,10.5,10.7,63137.0
TALLUSPIN,2022-04-12,10.5,10.8,10.5,10.5,26721.0
TALLUSPIN,2022-04-13,10.6,10.6,10.3,10.4,41991.0
TALLUSPIN,2022-04-17,10.3,10.4,10.2,10.2,61002.0
TALLUSPIN,2022-04-18,10.0,10.2,10.0,10.0,106619.0
TALLUSPIN,2022-04-19,9.8,10.1,9.8,9.9,240610.0
TALLUSPIN,2022-04-20,10.0,10.2,10.0,10.1,63085.0
TALLUSPIN,2022-04-21,10.1,10.2,10.0,10.0,195807.0
TALLUSPIN,2022-04-24,10.0,10.5,10.0,10.1,115121.0
TALLUSPIN,2022-04-25,10.1,10.2,10.0,10.0,30497.0
TALLUSPIN,2022-04-26,10.3,10.3,10.0,10.1,45452.0
TALLUSPIN,2022-04-27,10.1,10.3,10.1,10.3,77074.0
