symbol,date,open,high,low,close,volume
TB10Y0434,2024-11-04,97.67,97.67,97.67,97.67,10000.0
TB10Y0434,2024-11-06,98.61,98.61,98.61,98.61,10000.0
TB10Y0434,2024-12-01,99.04,99.04,99.04,99.04,12000.0
TB10Y0434,2024-12-02,96.47,96.47,96.47,96.47,10000.0
TB10Y0434,2024-12-03,99.14,99.14,99.14,99.14,12000.0
TB10Y0434,2025-01-15,98.17,98.17,98.17,98.17,50000.0
TB10Y0434,2025-01-16,98.17,98.17,98.17,98.17,8000.0
TB10Y0434,2025-01-23,99.68,99.68,99.68,99.68,8000.0
TB10Y0434,2025-02-16,108.0,108.0,108.0,108.0,12000.0
TB10Y0434,2025-04-30,100.72,100.72,100.72,100.72,2000.0
TB10Y0434,2025-06-01,101.59,101.59,101.59,101.59,300000.0
TB10Y0434,2025-06-16,99.5,99.5,99.5,99.5,2000.0
TB10Y0434,2025-07-15,100.79,100.79,100.79,100.79,1000.0
TB10Y0434,2025-07-17,103.88,103.88,103.88,103.88,4000.0
TB10Y0434,2025-07-21,105.88,105.88,105.88,105.88,10000.0
TB10Y0434,2025-07-30,108.64,108.64,108.64,108.64,5000.0
TB10Y0434,2025-09-07,109.77,109.77,109.77,109.77,5000.0
TB10Y0434,2025-09-16,110.29,110.29,110.29,110.29,2000.0
TB10Y0434,2025-09-28,111.48,111.48,111.48,111.48,4000.0
