symbol,date,open,high,low,close,volume
TOSRIFA,2022-01-02,17.2,17.4,16.8,17.1,130433.0
TOSRIFA,2022-01-03,17.6,17.9,17.2,17.6,284566.0
TOSRIFA,2022-01-04,17.5,17.6,17.3,17.4,129083.0
TOSRIFA,2022-01-05,17.5,18.3,17.5,18.1,539565.0
TOSRIFA,2022-01-06,18.3,18.3,17.8,17.9,316351.0
TOSRIFA,2022-01-09,17.9,18.7,17.4,17.4,191200.0
TOSRIFA,2022-01-10,18.0,18.0,17.2,17.3,186426.0
TOSRIFA,2022-01-11,17.7,17.8,17.3,17.5,399832.0
TOSRIFA,2022-01-12,17.5,17.9,17.0,17.1,495758.0
TOSRIFA,2022-01-13,17.9,18.1,17.2,17.3,421243.0
TOSRIFA,2022-01-16,17.8,18.4,17.3,18.0,745818.0
TOSRIFA,2022-01-17,18.0,18.5,17.7,17.8,414417.0
TOSRIFA,2022-01-18,17.8,18.6,17.8,18.0,579222.0
TOSRIFA,2022-01-19,18.2,18.8,18.1,18.3,625056.0
TOSRIFA,2022-01-20,18.7,18.9,18.2,18.4,659656.0
TOSRIFA,2022-01-23,18.4,18.4,17.6,17.7,326246.0
TOSRIFA,2022-01-24,17.8,17.9,17.2,17.4,307867.0
TOSRIFA,2022-01-25,17.3,18.3,17.2,17.5,229200.0
TOSRIFA,2022-01-26,18.2,18.4,17.8,17.9,546565.0
TOSRIFA,2022-01-27,17.6,17.9,17.4,17.8,269820.0
TOSRIFA,2022-01-30,17.6,18.1,17.6,17.6,184015.0
TOSRIFA,2022-01-31,18.1,18.5,17.8,18.3,1900833.0
TOSRIFA,2022-02-01,18.4,19.7,18.4,19.2,1808083.0
TOSRIFA,2022-02-02,19.4,19.5,18.5,18.7,1058470.0
TOSRIFA,2022-02-03,19.2,19.2,18.3,18.4,736788.0
TOSRIFA,2022-02-06,18.5,20.2,18.5,20.2,2634104.0
TOSRIFA,2022-02-07,20.3,20.9,19.6,19.6,1174723.0
TOSRIFA,2022-02-08,19.6,20.0,19.2,19.8,927546.0
