symbol,date,open,high,low,close,volume
TRUSTBANK,2022-01-02,33.1,33.6,33.1,33.5,16313.0
TRUSTBANK,2022-01-03,33.3,33.9,33.3,33.5,4382.0
TRUSTBANK,2022-01-04,33.4,35.0,33.4,33.9,16528.0
TRUSTBANK,2022-01-05,34.5,34.5,33.2,33.2,54811.0
TRUSTBANK,2022-01-06,33.4,34.0,33.4,33.6,37017.0
TRUSTBANK,2022-01-09,33.6,34.1,33.4,34.0,47190.0
TRUSTBANK,2022-01-10,34.0,35.5,33.2,33.9,114950.0
TRUSTBANK,2022-01-11,33.9,34.3,33.6,34.1,66195.0
TRUSTBANK,2022-01-12,34.0,34.5,33.5,34.1,77328.0
TRUSTBANK,2022-01-13,33.3,35.0,33.2,33.9,46456.0
TRUSTBANK,2022-01-16,33.7,34.4,33.7,34.3,16325.0
TRUSTBANK,2022-01-17,33.8,34.5,33.8,34.4,110230.0
TRUSTBANK,2022-01-18,34.4,34.6,34.4,34.5,32554.0
TRUSTBANK,2022-01-19,33.4,34.4,33.3,33.9,35342.0
TRUSTBANK,2022-01-20,33.8,34.7,33.8,34.5,10067.0
TRUSTBANK,2022-01-23,34.7,34.7,34.0,34.3,127576.0
TRUSTBANK,2022-01-24,33.3,34.5,32.5,34.0,61442.0
TRUSTBANK,2022-01-25,34.0,34.5,33.7,34.5,97113.0
TRUSTBANK,2022-01-26,34.0,34.6,34.0,34.5,56400.0
TRUSTBANK,2022-01-27,34.5,35.0,34.0,34.1,72988.0
TRUSTBANK,2022-01-30,34.5,35.0,34.0,34.4,46048.0
TRUSTBANK,2022-01-31,33.5,35.0,33.5,34.5,95851.0
TRUSTBANK,2022-02-01,33.9,34.9,33.7,34.6,26594.0
TRUSTBANK,2022-02-02,34.3,34.9,33.8,34.8,17995.0
TRUSTBANK,2022-02-03,34.0,34.7,34.0,34.6,28985.0
TRUSTBANK,2022-02-06,34.1,34.6,34.1,34.4,4208.0
TRUSTBANK,2022-02-07,34.3,34.9,34.3,34.8,46273.0
TRUSTBANK,2022-02-08,35.0,35.0,34.7,35.0,137040.0
TRUSTBANK,2022-02-09,35.0,35.1,34.8,35.0,43435.0
TRUSTBANK,2022-02-10,35.0,35.8,34.9,35.7,166778.0
TRUSTBANK,2022-02-13,35.0,35.8,35.0,35.8,83048.0
TRUSTBANK,2022-02-14,35.7,35.8,35.5,35.6,47220.0
TRUSTBANK,2022-02-15,35.9,36.0,35.2,35.7,41238.0
TRUSTBANK,2022-02-16,35.0,35.7,35.0,35.2,42222.0
TRUSTBANK,2022-02-17,34.9,36.0,34.5,35.2,115375.0
TRUSTBANK,2022-02-20,35.0,35.8,35.0,35.4,31233.0
TRUSTBANK,2022-02-22,34.3,35.7,34.3,34.7,23807.0
TRUSTBANK,2022-02-23,34.4,35.3,34.4,34.7,13982.0
