symbol,date,open,high,low,close,volume
UNIQUEHRL,2022-01-02,51.2,53.4,50.1,53.1,364278.0
UNIQUEHRL,2022-01-03,51.5,53.9,51.5,52.5,84974.0
UNIQUEHRL,2022-01-04,52.8,52.8,51.0,51.3,136304.0
UNIQUEHRL,2022-01-05,52.6,53.0,51.0,51.8,148880.0
UNIQUEHRL,2022-01-06,53.3,53.3,51.2,51.6,71605.0
UNIQUEHRL,2022-01-09,51.2,53.0,50.5,50.6,69948.0
UNIQUEHRL,2022-01-10,51.4,51.4,50.0,50.6,50393.0
UNIQUEHRL,2022-01-11,52.3,52.3,50.5,51.6,159410.0
UNIQUEHRL,2022-01-12,51.4,52.5,51.1,51.2,68388.0
UNIQUEHRL,2022-01-13,52.0,52.0,50.7,51.5,104506.0
UNIQUEHRL,2022-01-16,51.9,55.7,51.9,55.5,962124.0
UNIQUEHRL,2022-01-17,56.1,58.5,56.0,57.1,990955.0
UNIQUEHRL,2022-01-18,57.4,58.1,56.1,57.5,1724955.0
UNIQUEHRL,2022-01-19,57.5,59.8,57.0,59.1,818297.0
UNIQUEHRL,2022-01-20,58.2,59.4,57.4,57.6,303194.0
UNIQUEHRL,2022-01-23,57.0,58.8,56.1,56.6,437705.0
UNIQUEHRL,2022-01-24,56.2,57.5,55.0,55.7,232762.0
UNIQUEHRL,2022-01-25,56.0,57.3,54.1,54.3,453756.0
UNIQUEHRL,2022-01-26,54.4,56.7,54.4,55.3,378952.0
UNIQUEHRL,2022-01-27,55.0,56.1,55.0,55.1,112217.0
UNIQUEHRL,2022-01-30,56.0,56.0,53.4,53.8,145853.0
UNIQUEHRL,2022-01-31,54.0,55.8,51.6,53.0,112706.0
UNIQUEHRL,2022-02-01,55.0,55.3,52.8,53.3,140224.0
UNIQUEHRL,2022-02-02,53.1,54.0,52.8,53.2,149457.0
UNIQUEHRL,2022-02-03,53.4,54.6,52.7,53.2,126587.0
UNIQUEHRL,2022-02-06,53.0,55.0,53.0,54.3,374678.0
UNIQUEHRL,2022-02-07,53.8,56.1,53.8,55.8,387459.0
UNIQUEHRL,2022-02-08,57.0,59.5,56.2,59.1,1588736.0
UNIQUEHRL,2022-02-09,59.6,60.0,57.8,59.3,1200471.0
UNIQUEHRL,2022-02-10,60.0,61.0,58.2,60.4,2305576.0
UNIQUEHRL,2022-02-13,60.9,61.7,59.8,60.1,880394.0
UNIQUEHRL,2022-02-14,60.2,62.5,58.7,61.7,2345044.0
UNIQUEHRL,2022-02-15,62.4,64.0,61.8,62.4,2558013.0
UNIQUEHRL,2022-02-16,62.2,62.6,61.0,61.3,1174802.0
UNIQUEHRL,2022-02-17,61.2,62.0,58.8,59.1,734915.0
UNIQUEHRL,2022-02-20,58.3,60.5,58.0,60.1,607405.0
UNIQUEHRL,2022-02-22,60.3,61.6,59.2,59.8,425696.0
UNIQUEHRL,2022-02-23,59.8,61.0,59.2,59.6,271636.0
UNIQUEHRL,2022-02-24,59.7,60.5,57.0,58.1,408949.0
UNIQUEHRL,2022-02-27,58.1,58.2,56.6,56.9,208456.0
UNIQUEHRL,2022-02-28,58.4,58.4,56.5,56.8,195286.0
UNIQUEHRL,2022-03-01,58.9,59.0,56.4,56.8,201990.0
UNIQUEHRL,2022-03-02,56.8,57.3,55.2,56.8,227888.0
UNIQUEHRL,2022-03-03,56.8,56.9,55.6,56.2,187018.0
UNIQUEHRL,2022-03-06,56.5,57.3,56.2,56.8,211635.0
UNIQUEHRL,2022-03-07,56.9,57.5,55.7,56.1,220607.0
UNIQUEHRL,2022-03-08,55.7,56.1,54.6,55.4,256388.0
UNIQUEHRL,2022-03-09,55.3,57.3,55.3,56.8,176713.0
UNIQUEHRL,2022-03-10,56.5,57.5,56.0,56.7,298566.0
UNIQUEHRL,2022-03-13,56.5,58.1,56.1,57.9,403388.0
UNIQUEHRL,2022-03-14,57.9,59.7,57.6,58.5,399989.0
UNIQUEHRL,2022-03-15,58.2,61.3,58.0,60.3,877152.0
UNIQUEHRL,2022-03-16,61.2,61.5,60.0,60.4,546325.0
UNIQUEHRL,2022-03-20,60.2,61.2,59.2,59.2,183759.0
UNIQUEHRL,2022-03-21,58.4,59.2,58.2,58.4,315178.0
UNIQUEHRL,2022-03-22,59.5,60.5,58.8,59.8,346419.0
UNIQUEHRL,2022-03-23,60.3,60.8,58.7,58.9,179550.0
UNIQUEHRL,2022-03-24,58.0,59.6,58.0,58.5,156750.0
UNIQUEHRL,2022-03-27,57.9,58.8,57.9,58.3,134741.0
UNIQUEHRL,2022-03-28,57.8,59.8,57.8,59.4,271818.0
UNIQUEHRL,2022-03-29,59.4,60.6,59.4,60.1,621581.0
UNIQUEHRL,2022-03-30,60.0,60.8,59.6,59.8,383029.0
UNIQUEHRL,2022-03-31,59.5,60.0,58.8,59.0,299382.0
UNIQUEHRL,2022-04-03,59.0,59.3,58.5,58.6,101507.0
UNIQUEHRL,2022-04-04,58.6,59.0,58.5,58.7,84944.0
UNIQUEHRL,2022-04-05,59.0,59.3,58.5,59.2,126576.0
UNIQUEHRL,2022-04-06,58.9,59.3,58.2,58.5,134199.0
UNIQUEHRL,2022-04-07,58.1,59.0,58.1,58.5,76568.0
UNIQUEHRL,2022-04-10,58.4,59.4,58.4,58.8,188636.0
UNIQUEHRL,2022-04-11,58.7,59.4,58.4,58.4,188982.0
UNIQUEHRL,2022-04-12,58.6,59.7,58.0,58.1,313024.0
UNIQUEHRL,2022-04-13,58.0,58.0,57.1,57.9,169908.0
UNIQUEHRL,2022-04-17,58.1,58.8,56.8,57.5,201262.0
UNIQUEHRL,2022-04-18,56.8,57.0,56.4,56.4,138917.0
UNIQUEHRL,2022-04-19,56.0,57.6,55.3,57.3,179475.0
UNIQUEHRL,2022-04-20,56.6,58.3,56.6,57.9,159988.0
UNIQUEHRL,2022-04-21,57.9,60.0,57.9,59.0,408495.0
UNIQUEHRL,2022-04-24,59.8,61.3,59.3,61.0,858476.0
UNIQUEHRL,2022-04-25,61.0,61.3,60.0,61.2,391463.0
UNIQUEHRL,2022-04-26,65.8,65.8,62.5,63.1,4495711.0
UNIQUEHRL,2022-04-27,63.3,69.4,62.6,69.4,6516268.0
UNIQUEHRL,2022-04-28,69.4,74.7,68.8,70.5,4069519.0
UNIQUEHRL,2022-05-05,69.9,76.5,68.7,75.4,3497237.0
UNIQUEHRL,2022-05-08,75.9,77.6,72.4,73.1,4629905.0
UNIQUEHRL,2022-05-09,72.5,74.9,70.7,73.7,4240536.0
UNIQUEHRL,2022-05-10,74.1,77.9,73.0,74.2,4470813.0
UNIQUEHRL,2022-05-11,73.5,74.8,70.5,70.6,2755402.0
UNIQUEHRL,2022-05-12,71.3,72.4,69.3,70.5,1960234.0
UNIQUEHRL,2022-05-16,70.7,71.0,67.0,67.0,1777332.0
UNIQUEHRL,2022-05-17,68.8,69.5,63.7,65.7,1968302.0
UNIQUEHRL,2022-05-18,66.8,67.4,62.5,62.6,1759416.0
UNIQUEHRL,2022-05-19,61.6,64.1,60.9,62.1,1078819.0
UNIQUEHRL,2022-05-22,62.5,63.1,60.7,61.0,983154.0
UNIQUEHRL,2022-05-23,62.8,66.4,62.6,63.7,870226.0
UNIQUEHRL,2022-05-24,63.7,64.9,61.0,61.6,817352.0
UNIQUEHRL,2022-05-25,61.2,62.6,60.0,61.2,742763.0
UNIQUEHRL,2022-05-26,60.9,62.5,60.1,62.0,541809.0
UNIQUEHRL,2022-05-29,63.5,64.9,63.1,64.4,1204901.0
UNIQUEHRL,2022-05-30,64.9,64.9,63.2,63.2,835855.0
UNIQUEHRL,2022-05-31,63.0,63.1,62.0,62.3,713363.0
UNIQUEHRL,2022-06-01,62.5,64.9,62.4,64.2,767597.0
UNIQUEHRL,2022-06-02,65.0,66.2,64.6,65.3,1878851.0
UNIQUEHRL,2022-06-05,65.5,65.5,64.2,64.4,881528.0
UNIQUEHRL,2022-06-06,64.9,64.9,63.5,63.6,770699.0
UNIQUEHRL,2022-06-07,63.0,63.8,62.4,62.6,590664.0
UNIQUEHRL,2022-06-08,62.6,64.3,62.6,63.6,576735.0
UNIQUEHRL,2022-06-09,63.6,64.7,63.6,63.9,696617.0
UNIQUEHRL,2022-06-12,62.9,63.9,62.7,62.7,525697.0
UNIQUEHRL,2022-06-13,62.7,63.3,61.8,62.2,381688.0
UNIQUEHRL,2022-06-14,63.0,63.0,61.0,61.1,809587.0
UNIQUEHRL,2022-06-15,61.0,64.4,61.0,64.0,1172939.0
UNIQUEHRL,2022-06-16,64.0,67.5,64.0,65.4,3121153.0
UNIQUEHRL,2022-06-19,65.3,65.6,64.1,64.1,819124.0
UNIQUEHRL,2022-06-20,64.1,64.2,62.9,62.9,877619.0
UNIQUEHRL,2022-06-21,62.1,63.0,62.0,62.2,541261.0
UNIQUEHRL,2022-06-22,66.0,66.0,61.7,62.7,587397.0
UNIQUEHRL,2022-06-23,63.2,64.1,62.5,62.7,511332.0
UNIQUEHRL,2022-06-26,63.0,63.3,61.6,61.9,676300.0
UNIQUEHRL,2022-06-27,61.8,63.8,61.7,63.3,548363.0
UNIQUEHRL,2022-06-28,63.7,63.9,63.0,63.1,488337.0
UNIQUEHRL,2022-06-29,63.0,63.4,62.8,62.9,402251.0
UNIQUEHRL,2022-06-30,62.6,63.5,62.6,62.9,395562.0
UNIQUEHRL,2022-07-03,63.2,63.5,62.8,62.9,373871.0
UNIQUEHRL,2022-07-04,62.9,63.4,62.6,62.9,482673.0
UNIQUEHRL,2022-07-05,63.0,63.7,62.9,63.1,889015.0
UNIQUEHRL,2022-07-06,63.3,63.4,62.2,62.5,581134.0
UNIQUEHRL,2022-07-07,62.2,63.0,61.8,61.9,364196.0
UNIQUEHRL,2022-07-12,61.9,62.1,61.3,61.8,248765.0
UNIQUEHRL,2022-07-13,61.0,62.3,61.0,61.2,373424.0
UNIQUEHRL,2022-07-14,61.0,61.5,60.4,60.6,464437.0
UNIQUEHRL,2022-07-17,60.3,61.8,59.6,59.8,367996.0
UNIQUEHRL,2022-07-18,59.1,60.0,58.7,58.7,253666.0
UNIQUEHRL,2022-07-19,57.6,57.7,57.6,57.6,104653.0
UNIQUEHRL,2022-07-20,56.5,57.9,56.5,56.8,494063.0
UNIQUEHRL,2022-07-21,56.2,57.5,55.7,55.9,254109.0
