symbol,date,open,high,low,close,volume
UNITEDFIN,2022-01-02,21.2,22.2,21.2,22.0,507983.0
UNITEDFIN,2022-01-03,22.1,22.3,21.6,21.8,415546.0
UNITEDFIN,2022-01-04,21.6,21.9,21.5,21.8,461355.0
UNITEDFIN,2022-01-05,22.2,22.9,22.0,22.3,1156455.0
UNITEDFIN,2022-01-06,22.6,22.8,22.3,22.4,489333.0
UNITEDFIN,2022-01-09,22.9,22.9,21.8,22.0,710901.0
UNITEDFIN,2022-01-10,22.4,22.4,21.7,21.9,605072.0
UNITEDFIN,2022-01-11,22.4,23.0,22.1,22.4,1293175.0
UNITEDFIN,2022-01-12,22.6,22.7,21.9,22.1,372291.0
UNITEDFIN,2022-01-13,22.5,22.5,21.6,21.9,475584.0
UNITEDFIN,2022-01-16,22.4,23.0,21.7,21.8,796522.0
UNITEDFIN,2022-01-17,21.9,22.3,21.7,22.1,364286.0
UNITEDFIN,2022-01-18,22.3,22.7,21.9,22.0,698270.0
UNITEDFIN,2022-01-19,22.4,22.4,21.7,21.8,566673.0
UNITEDFIN,2022-01-20,22.1,22.1,21.7,21.8,477253.0
UNITEDFIN,2022-01-23,22.0,22.0,21.3,21.4,323770.0
UNITEDFIN,2022-01-24,21.4,21.6,21.0,21.1,331570.0
UNITEDFIN,2022-01-25,21.4,21.8,21.1,21.6,336737.0
UNITEDFIN,2022-01-26,21.7,22.3,21.3,21.9,526455.0
UNITEDFIN,2022-01-27,22.1,22.1,21.6,21.6,312133.0
UNITEDFIN,2022-01-30,22.0,22.0,21.3,21.4,398809.0
UNITEDFIN,2022-01-31,21.8,21.8,21.1,21.3,352164.0
UNITEDFIN,2022-02-01,21.7,21.7,21.2,21.3,351051.0
UNITEDFIN,2022-02-02,21.3,21.8,21.3,21.4,495580.0
UNITEDFIN,2022-02-03,21.3,21.9,21.1,21.6,604904.0
UNITEDFIN,2022-02-06,22.0,22.1,21.6,21.8,677293.0
UNITEDFIN,2022-02-07,22.2,22.2,21.4,21.5,437155.0
UNITEDFIN,2022-02-08,21.8,22.7,21.6,22.3,1840453.0
UNITEDFIN,2022-02-09,22.3,22.6,22.0,22.3,930661.0
UNITEDFIN,2022-02-10,22.2,22.5,21.7,22.0,687972.0
UNITEDFIN,2022-02-13,22.2,22.2,21.7,21.8,516426.0
UNITEDFIN,2022-02-14,22.2,22.3,21.4,21.5,810624.0
UNITEDFIN,2022-02-15,21.6,21.7,21.3,21.4,209181.0
UNITEDFIN,2022-02-16,21.7,21.7,21.2,21.3,319893.0
UNITEDFIN,2022-02-17,21.3,21.4,20.7,20.8,492195.0
UNITEDFIN,2022-02-20,21.0,21.0,20.1,20.2,535106.0
UNITEDFIN,2022-02-22,20.4,20.5,19.8,20.1,721149.0
UNITEDFIN,2022-02-23,20.3,20.4,20.0,20.1,494139.0
UNITEDFIN,2022-02-24,20.3,20.3,19.6,19.7,458658.0
UNITEDFIN,2022-02-27,19.6,19.6,18.6,18.8,444795.0
UNITEDFIN,2022-02-28,19.5,20.3,18.6,19.1,230583.0
UNITEDFIN,2022-03-01,19.4,19.5,18.9,19.0,179195.0
UNITEDFIN,2022-03-02,18.8,19.2,18.4,18.6,215706.0
UNITEDFIN,2022-03-03,18.7,18.7,18.3,18.5,315863.0
UNITEDFIN,2022-03-06,18.7,18.7,18.3,18.3,76708.0
UNITEDFIN,2022-03-07,18.4,18.4,17.6,17.7,348472.0
