symbol,date,open,high,low,close,volume
UNITEDINS,2022-01-02,68.4,68.4,65.7,66.2,31066.0
UNITEDINS,2022-01-03,66.4,67.0,64.9,65.4,34560.0
UNITEDINS,2022-01-04,64.6,66.7,64.5,65.1,24855.0
UNITEDINS,2022-01-05,66.7,66.7,64.5,65.2,27465.0
UNITEDINS,2022-01-06,64.4,66.7,64.4,65.2,10384.0
UNITEDINS,2022-01-09,65.9,65.9,63.2,63.4,25851.0
UNITEDINS,2022-01-10,63.6,64.4,63.5,63.8,16352.0
UNITEDINS,2022-01-11,64.0,64.2,62.5,62.9,44680.0
UNITEDINS,2022-01-12,64.8,64.8,62.3,62.5,34157.0
UNITEDINS,2022-01-13,62.5,62.9,61.8,62.2,54871.0
UNITEDINS,2022-01-16,65.5,65.5,61.8,62.0,11937.0
UNITEDINS,2022-01-17,63.5,65.4,62.2,62.7,35348.0
UNITEDINS,2022-01-18,62.5,63.6,62.0,62.4,42952.0
UNITEDINS,2022-01-19,62.8,63.2,62.1,62.2,22202.0
UNITEDINS,2022-01-20,62.3,63.0,61.8,62.1,18089.0
UNITEDINS,2022-01-23,63.0,64.2,62.5,62.7,26937.0
UNITEDINS,2022-01-24,62.7,62.9,61.7,62.0,15370.0
UNITEDINS,2022-01-25,62.3,62.9,61.0,61.3,27724.0
UNITEDINS,2022-01-26,62.4,62.5,61.4,61.5,6620.0
UNITEDINS,2022-01-27,62.8,62.8,61.9,62.5,27048.0
UNITEDINS,2022-01-30,63.0,63.4,62.1,62.8,14121.0
UNITEDINS,2022-01-31,64.0,64.7,63.0,63.3,75756.0
UNITEDINS,2022-02-01,62.8,63.3,62.5,62.9,14078.0
UNITEDINS,2022-02-02,62.0,63.4,61.9,63.2,12890.0
UNITEDINS,2022-02-03,64.3,64.5,62.8,63.1,17835.0
UNITEDINS,2022-02-06,64.3,66.0,64.0,64.9,72540.0
UNITEDINS,2022-02-07,65.9,66.4,64.5,65.9,49792.0
UNITEDINS,2022-02-08,66.0,66.1,64.8,65.0,70619.0
UNITEDINS,2022-02-09,65.8,66.0,65.0,65.7,34781.0
UNITEDINS,2022-02-10,66.8,66.8,63.4,63.9,30020.0
UNITEDINS,2022-02-13,65.9,65.9,63.4,63.5,24071.0
UNITEDINS,2022-02-14,64.0,64.0,62.3,62.5,15719.0
UNITEDINS,2022-02-15,62.5,63.4,62.0,62.4,17154.0
UNITEDINS,2022-02-16,62.4,62.7,62.3,62.5,9450.0
UNITEDINS,2022-02-17,62.1,63.0,61.0,61.5,14414.0
UNITEDINS,2022-02-20,61.1,61.8,60.6,60.7,21655.0
UNITEDINS,2022-02-22,61.0,61.9,61.0,61.8,13902.0
UNITEDINS,2022-02-23,62.4,62.4,61.1,61.7,7122.0
UNITEDINS,2022-02-24,61.9,61.9,59.1,59.6,39669.0
UNITEDINS,2022-02-27,58.1,60.7,53.7,56.9,21222.0
UNITEDINS,2022-02-28,61.3,61.3,54.8,57.5,50271.0
UNITEDINS,2022-03-01,61.4,61.4,57.7,58.6,3856.0
UNITEDINS,2022-03-02,59.8,59.9,55.5,55.9,52209.0
UNITEDINS,2022-03-03,55.9,55.9,50.6,55.1,17641.0
UNITEDINS,2022-03-06,55.1,55.1,52.8,53.2,9224.0
UNITEDINS,2022-03-07,53.0,53.0,49.1,49.7,52615.0
UNITEDINS,2022-03-08,50.8,50.8,46.6,49.1,20609.0
UNITEDINS,2022-03-09,50.8,53.9,50.0,53.8,42332.0
UNITEDINS,2022-03-10,57.8,57.8,54.5,55.8,74618.0
UNITEDINS,2022-03-13,55.8,55.8,48.0,52.9,42107.0
UNITEDINS,2022-03-14,52.7,53.8,52.5,53.0,45173.0
UNITEDINS,2022-03-15,52.3,54.1,52.0,52.6,37229.0
UNITEDINS,2022-03-16,52.9,52.9,51.6,51.8,24522.0
UNITEDINS,2022-03-20,51.0,52.6,50.8,50.8,22350.0
UNITEDINS,2022-03-21,51.0,51.1,49.8,49.9,24537.0
UNITEDINS,2022-03-22,49.1,50.7,49.1,49.6,22432.0
UNITEDINS,2022-03-23,51.7,51.7,50.0,50.2,13896.0
UNITEDINS,2022-03-24,51.8,51.8,49.9,50.8,15310.0
UNITEDINS,2022-03-27,50.8,50.8,49.9,50.0,7800.0
UNITEDINS,2022-03-28,50.1,52.3,50.0,51.5,24882.0
UNITEDINS,2022-03-29,51.5,51.5,50.5,50.6,25707.0
UNITEDINS,2022-03-30,49.9,53.0,49.9,52.5,31195.0
UNITEDINS,2022-03-31,53.2,53.2,51.7,51.9,13202.0
UNITEDINS,2022-04-04,51.0,51.0,50.9,50.9,2928.0
UNITEDINS,2022-04-05,50.0,51.0,49.9,49.9,16805.0
UNITEDINS,2022-04-06,51.4,51.4,49.0,49.0,20785.0
UNITEDINS,2022-04-07,48.3,49.1,48.2,48.6,4509.0
UNITEDINS,2022-04-10,50.3,50.3,49.0,49.1,1731.0
UNITEDINS,2022-04-11,48.4,49.0,48.3,48.4,55789.0
UNITEDINS,2022-04-12,50.0,50.0,48.0,48.5,10170.0
UNITEDINS,2022-04-13,47.8,49.7,47.8,48.2,1526.0
UNITEDINS,2022-04-17,50.2,51.1,49.0,49.1,83060.0
UNITEDINS,2022-04-18,48.3,48.5,48.2,48.2,7166.0
UNITEDINS,2022-04-19,47.3,47.9,47.3,47.6,8482.0
UNITEDINS,2022-04-20,52.0,52.0,47.0,47.1,5617.0
UNITEDINS,2022-04-21,50.2,50.2,45.8,47.0,4681.0
UNITEDINS,2022-04-24,49.0,49.0,47.5,48.4,4882.0
UNITEDINS,2022-04-25,50.5,52.9,48.1,52.2,54279.0
UNITEDINS,2022-04-26,52.8,53.3,51.6,52.3,33560.0
UNITEDINS,2022-04-27,53.2,54.0,52.0,52.1,37953.0
UNITEDINS,2022-04-28,51.6,51.7,49.7,49.8,27525.0
UNITEDINS,2022-05-05,53.8,53.8,47.4,47.5,4078.0
UNITEDINS,2022-05-08,51.5,51.5,47.4,48.3,9275.0
UNITEDINS,2022-05-09,49.8,49.8,48.5,48.9,7705.0
UNITEDINS,2022-05-10,50.5,50.5,48.0,49.1,72712.0
UNITEDINS,2022-05-11,48.9,50.1,48.7,48.9,21025.0
UNITEDINS,2022-05-12,49.7,50.0,48.1,48.3,53947.0
UNITEDINS,2022-05-16,48.0,48.8,47.1,47.1,13229.0
UNITEDINS,2022-05-17,48.9,48.9,45.0,45.2,4761.0
UNITEDINS,2022-05-18,47.0,47.0,43.0,43.6,15301.0
UNITEDINS,2022-05-19,45.0,45.0,43.2,43.2,2793.0
UNITEDINS,2022-05-22,42.1,44.5,41.2,42.2,3381.0
UNITEDINS,2022-05-23,45.8,45.8,43.0,43.8,13758.0
UNITEDINS,2022-05-24,44.5,44.5,43.0,43.0,2437.0
UNITEDINS,2022-05-25,43.0,44.3,42.2,42.8,14794.0
UNITEDINS,2022-05-26,42.8,42.8,42.2,42.4,3501.0
UNITEDINS,2022-05-29,44.5,44.5,42.5,42.8,32852.0
UNITEDINS,2022-05-30,46.0,46.0,43.0,43.2,36998.0
UNITEDINS,2022-05-31,42.5,46.0,42.5,44.3,33159.0
UNITEDINS,2022-06-01,44.3,45.0,44.3,44.8,26583.0
UNITEDINS,2022-06-02,46.0,46.0,44.5,44.7,10601.0
UNITEDINS,2022-06-05,45.6,47.6,44.9,47.2,32429.0
UNITEDINS,2022-06-06,51.8,51.9,49.5,51.5,84807.0
UNITEDINS,2022-06-07,52.7,53.5,50.5,52.0,68393.0
UNITEDINS,2022-06-08,52.8,52.8,51.0,51.4,45169.0
UNITEDINS,2022-06-09,52.0,52.0,50.4,50.4,7151.0
UNITEDINS,2022-06-12,49.4,49.5,49.4,49.4,17945.0
UNITEDINS,2022-06-13,51.5,51.5,48.9,49.0,8881.0
UNITEDINS,2022-06-14,50.5,50.5,48.2,48.5,39451.0
UNITEDINS,2022-06-15,51.0,51.0,48.5,48.6,12187.0
UNITEDINS,2022-06-16,49.1,53.4,49.1,50.9,86067.0
UNITEDINS,2022-06-19,55.0,55.0,49.9,49.9,28222.0
UNITEDINS,2022-06-20,50.0,50.0,49.0,49.0,44291.0
UNITEDINS,2022-06-21,52.8,52.8,49.0,49.2,4753.0
UNITEDINS,2022-06-22,50.5,50.5,48.3,48.6,2922.0
UNITEDINS,2022-06-23,51.2,51.2,51.2,51.2,1.0
UNITEDINS,2022-06-26,50.2,50.2,50.2,50.2,500.0
UNITEDINS,2022-06-27,49.2,50.0,49.2,49.3,5182.0
UNITEDINS,2022-06-28,50.0,50.0,48.5,48.7,11122.0
UNITEDINS,2022-06-29,48.7,48.7,48.0,48.0,30462.0
UNITEDINS,2022-06-30,49.0,49.0,47.7,47.9,1710.0
UNITEDINS,2022-07-03,50.0,50.0,48.3,48.9,6240.0
UNITEDINS,2022-07-04,48.0,48.5,48.0,48.1,9255.0
UNITEDINS,2022-07-05,49.9,49.9,48.1,49.4,25770.0
UNITEDINS,2022-07-06,48.5,49.1,48.5,48.5,2548.0
UNITEDINS,2022-07-07,47.6,48.5,47.6,47.8,4993.0
UNITEDINS,2022-07-12,47.1,48.9,46.9,47.0,20140.0
UNITEDINS,2022-07-13,47.3,47.3,46.1,46.1,7967.0
UNITEDINS,2022-07-14,48.0,48.0,45.3,46.3,1706.0
UNITEDINS,2022-07-17,46.3,46.8,45.4,45.5,4105.0
UNITEDINS,2022-07-18,46.8,46.8,44.6,44.6,2995.0
UNITEDINS,2022-07-19,48.0,48.0,46.0,46.7,941.0
UNITEDINS,2022-07-20,45.8,45.8,45.8,45.8,4025.0
UNITEDINS,2022-07-21,46.5,46.9,44.9,44.9,11333.0
UNITEDINS,2022-07-24,44.1,44.1,44.1,44.1,20525.0
UNITEDINS,2022-07-25,43.3,44.9,43.3,43.3,5979.0
UNITEDINS,2022-07-26,47.0,47.0,44.5,46.1,1105.0
UNITEDINS,2022-07-27,48.8,48.8,46.1,47.7,1106.0
UNITEDINS,2022-07-28,52.2,52.2,48.3,51.3,466.0
UNITEDINS,2022-07-31,49.6,51.0,46.5,49.8,60608.0
UNITEDINS,2022-08-01,50.0,50.4,47.0,47.9,40376.0
UNITEDINS,2022-08-02,47.4,49.2,46.6,48.8,39807.0
UNITEDINS,2022-08-03,49.8,49.8,47.9,48.0,9199.0
UNITEDINS,2022-08-04,49.0,49.0,47.0,47.0,25037.0
UNITEDINS,2022-08-07,48.2,48.2,46.5,46.7,41895.0
UNITEDINS,2022-08-08,47.5,47.5,46.5,46.5,33449.0
UNITEDINS,2022-08-10,46.5,47.4,46.5,46.5,38957.0
UNITEDINS,2022-08-11,46.5,46.5,46.5,46.5,11455.0
UNITEDINS,2022-08-14,46.5,46.5,46.5,46.5,22150.0
UNITEDINS,2022-08-16,51.1,51.1,46.5,46.6,11393.0
UNITEDINS,2022-08-17,46.6,47.6,46.5,46.5,55314.0
UNITEDINS,2022-08-21,46.7,47.1,46.5,46.5,14649.0
UNITEDINS,2022-08-22,46.6,47.0,46.5,46.6,22161.0
UNITEDINS,2022-08-23,47.6,47.6,46.5,46.5,16832.0
UNITEDINS,2022-08-24,47.4,47.4,46.5,46.5,5420.0
UNITEDINS,2022-08-25,46.5,47.3,46.5,46.6,24491.0
UNITEDINS,2022-08-28,47.4,47.4,46.5,47.1,98721.0
