symbol,date,open,high,low,close,volume
USMANIAGL,2022-01-02,56.4,57.3,55.9,57.1,11899.0
USMANIAGL,2022-01-03,59.7,59.8,58.0,58.3,19876.0
USMANIAGL,2022-01-04,59.3,59.3,56.7,56.8,3856.0
USMANIAGL,2022-01-05,57.8,58.4,57.4,58.2,10339.0
USMANIAGL,2022-01-06,59.0,59.0,57.6,58.1,9980.0
USMANIAGL,2022-01-09,57.8,58.7,56.2,56.6,13955.0
USMANIAGL,2022-01-10,57.5,57.8,56.3,57.4,17231.0
USMANIAGL,2022-01-11,58.9,63.1,58.0,63.1,24183.0
USMANIAGL,2022-01-12,69.4,69.4,60.9,61.7,95551.0
USMANIAGL,2022-01-13,62.9,64.5,60.0,64.2,14404.0
USMANIAGL,2022-01-16,65.0,67.8,63.1,64.4,7882.0
USMANIAGL,2022-01-17,65.0,65.1,62.6,63.3,7939.0
USMANIAGL,2022-01-18,64.0,64.0,61.0,62.6,7337.0
USMANIAGL,2022-01-19,64.6,64.6,61.0,61.6,10600.0
USMANIAGL,2022-01-20,66.0,66.0,61.0,62.0,17989.0
USMANIAGL,2022-01-23,64.4,64.4,60.0,60.8,16030.0
USMANIAGL,2022-01-24,61.9,61.9,59.6,60.1,8641.0
USMANIAGL,2022-01-25,60.1,62.9,58.8,60.1,6830.0
USMANIAGL,2022-01-26,61.5,61.5,59.3,60.1,4775.0
USMANIAGL,2022-01-27,61.9,62.2,59.0,61.1,6373.0
USMANIAGL,2022-01-30,61.9,61.9,60.0,60.2,8708.0
USMANIAGL,2022-01-31,59.0,60.7,59.0,59.3,14881.0
USMANIAGL,2022-02-01,59.2,61.5,59.2,60.2,7604.0
USMANIAGL,2022-02-02,60.6,60.6,60.1,60.3,975.0
USMANIAGL,2022-02-03,60.9,61.4,59.6,60.6,1876.0
USMANIAGL,2022-02-06,60.1,60.8,60.0,60.3,7496.0
USMANIAGL,2022-02-07,61.3,61.3,59.1,59.2,10952.0
USMANIAGL,2022-02-08,59.3,60.6,59.3,59.9,6413.0
USMANIAGL,2022-02-09,61.8,61.8,59.1,59.5,8716.0
USMANIAGL,2022-02-10,59.2,62.0,59.2,61.7,37196.0
USMANIAGL,2022-02-13,62.5,64.4,62.5,63.2,23438.0
USMANIAGL,2022-02-14,64.8,64.8,62.8,63.0,15791.0
USMANIAGL,2022-02-15,63.5,63.8,62.6,62.9,18104.0
USMANIAGL,2022-02-16,63.9,63.9,62.0,62.4,11379.0
USMANIAGL,2022-02-17,62.7,62.7,61.8,62.0,8261.0
USMANIAGL,2022-02-20,63.0,63.5,60.5,62.1,19047.0
USMANIAGL,2022-02-22,63.5,64.0,61.3,61.9,18506.0
USMANIAGL,2022-02-23,63.0,63.0,61.2,61.7,5373.0
USMANIAGL,2022-02-24,63.5,63.5,59.1,59.4,28782.0
USMANIAGL,2022-02-27,62.8,62.8,57.0,57.7,8125.0
USMANIAGL,2022-02-28,58.0,60.0,57.8,58.9,6599.0
USMANIAGL,2022-03-01,62.9,62.9,59.2,59.5,9792.0
USMANIAGL,2022-03-02,59.0,59.7,58.1,58.5,6040.0
USMANIAGL,2022-03-03,58.5,64.3,58.4,64.2,124660.0
USMANIAGL,2022-03-06,64.1,64.9,62.5,63.2,71310.0
USMANIAGL,2022-03-07,62.5,62.7,59.7,61.3,31161.0
USMANIAGL,2022-03-08,60.1,62.0,58.4,61.9,11323.0
USMANIAGL,2022-03-09,63.5,63.5,61.7,63.0,11053.0
USMANIAGL,2022-03-10,64.7,64.9,62.0,62.4,19796.0
USMANIAGL,2022-03-13,63.5,63.5,62.3,62.9,19266.0
USMANIAGL,2022-03-14,63.0,63.7,62.4,62.5,33072.0
USMANIAGL,2022-03-15,62.5,63.8,61.8,62.0,10224.0
USMANIAGL,2022-03-16,64.9,64.9,61.8,62.3,7882.0
USMANIAGL,2022-03-20,64.0,64.0,61.3,61.4,7752.0
USMANIAGL,2022-03-21,60.2,62.5,60.2,60.9,7342.0
USMANIAGL,2022-03-22,60.5,62.6,60.5,60.7,13224.0
USMANIAGL,2022-03-23,60.8,62.9,60.2,60.3,20509.0
USMANIAGL,2022-03-24,62.1,62.1,60.2,60.4,29852.0
USMANIAGL,2022-03-27,62.3,62.4,61.1,61.4,21478.0
USMANIAGL,2022-03-28,62.5,62.5,60.5,61.3,17204.0
USMANIAGL,2022-03-29,62.7,62.7,61.3,61.8,9176.0
USMANIAGL,2022-03-30,62.4,62.8,61.5,61.6,19036.0
USMANIAGL,2022-03-31,62.8,62.8,61.0,61.4,16412.0
USMANIAGL,2022-04-03,61.8,63.2,60.9,61.0,4044.0
USMANIAGL,2022-04-04,63.5,63.5,59.8,60.1,23105.0
USMANIAGL,2022-04-05,61.5,61.5,59.9,59.9,20391.0
USMANIAGL,2022-04-06,62.5,62.5,59.1,59.9,2803.0
USMANIAGL,2022-04-07,60.0,61.6,60.0,60.7,4839.0
USMANIAGL,2022-04-10,60.1,62.1,60.1,61.7,7086.0
USMANIAGL,2022-04-11,62.5,62.5,61.0,61.4,3166.0
USMANIAGL,2022-04-12,61.1,61.4,60.3,60.5,13971.0
USMANIAGL,2022-04-13,60.2,61.0,60.0,60.7,17712.0
USMANIAGL,2022-04-17,60.5,61.8,60.5,60.8,5890.0
USMANIAGL,2022-04-18,61.0,61.1,60.4,60.8,23067.0
USMANIAGL,2022-04-19,61.9,62.0,60.4,60.8,13702.0
USMANIAGL,2022-04-20,62.0,62.0,60.5,60.7,8441.0
USMANIAGL,2022-04-21,61.0,61.5,60.7,61.0,18336.0
USMANIAGL,2022-04-24,61.3,62.5,61.2,62.1,16461.0
USMANIAGL,2022-04-25,61.9,61.9,61.2,61.7,1179.0
USMANIAGL,2022-04-26,61.0,63.0,61.0,62.0,12212.0
USMANIAGL,2022-04-27,63.1,63.1,61.7,61.9,2325.0
USMANIAGL,2022-04-28,61.7,62.0,61.5,61.6,7667.0
USMANIAGL,2022-05-05,60.0,62.9,60.0,60.7,1842.0
USMANIAGL,2022-05-08,62.7,62.7,61.2,61.5,12185.0
USMANIAGL,2022-05-09,62.5,62.8,61.9,62.3,14642.0
USMANIAGL,2022-05-10,62.9,63.7,62.1,62.4,28156.0
USMANIAGL,2022-05-11,63.3,63.3,61.8,62.4,20755.0
USMANIAGL,2022-05-12,62.1,62.1,60.4,60.7,21735.0
USMANIAGL,2022-05-16,62.4,62.4,58.1,58.6,14008.0
USMANIAGL,2022-05-17,59.7,59.7,55.9,56.9,8415.0
USMANIAGL,2022-05-18,58.5,59.0,57.5,57.8,7377.0
USMANIAGL,2022-05-19,59.8,59.8,56.9,57.6,3667.0
USMANIAGL,2022-05-22,58.3,58.3,55.6,55.9,7919.0
USMANIAGL,2022-05-23,57.6,58.1,56.1,57.9,4216.0
USMANIAGL,2022-05-24,56.5,58.1,56.5,57.5,6704.0
USMANIAGL,2022-05-25,55.8,58.4,55.6,57.4,8075.0
USMANIAGL,2022-05-26,58.4,58.7,57.6,58.6,14079.0
USMANIAGL,2022-05-29,64.4,64.4,59.5,59.9,26717.0
USMANIAGL,2022-05-30,61.6,65.7,60.2,63.5,61336.0
USMANIAGL,2022-05-31,65.0,68.2,64.7,67.2,103706.0
USMANIAGL,2022-06-01,69.1,73.9,68.0,73.9,290341.0
USMANIAGL,2022-06-02,78.8,78.8,73.0,74.1,97014.0
USMANIAGL,2022-06-05,76.8,76.8,72.7,72.7,22438.0
USMANIAGL,2022-06-06,71.3,71.4,71.3,71.3,7947.0
USMANIAGL,2022-06-07,69.9,69.9,69.9,69.9,2381.0
USMANIAGL,2022-06-08,68.6,73.0,68.6,72.1,93606.0
USMANIAGL,2022-06-09,73.5,74.7,70.7,70.9,79083.0
USMANIAGL,2022-06-12,70.9,73.9,70.3,71.5,33877.0
USMANIAGL,2022-06-13,74.5,74.5,72.0,72.6,47149.0
USMANIAGL,2022-06-14,74.8,75.9,72.7,74.9,153722.0
USMANIAGL,2022-06-15,77.9,77.9,74.0,74.3,67660.0
USMANIAGL,2022-06-16,75.0,75.9,74.1,74.3,53092.0
USMANIAGL,2022-06-19,76.9,76.9,72.9,72.9,51155.0
USMANIAGL,2022-06-20,72.0,74.8,71.5,71.5,22434.0
USMANIAGL,2022-06-21,70.1,73.5,70.1,71.5,34547.0
USMANIAGL,2022-06-22,73.5,75.9,71.7,74.9,134778.0
USMANIAGL,2022-06-23,77.0,77.0,73.5,73.6,59213.0
USMANIAGL,2022-06-26,74.9,74.9,73.1,73.4,24612.0
USMANIAGL,2022-06-27,76.0,76.0,72.0,72.3,58725.0
USMANIAGL,2022-06-28,75.5,75.5,70.9,71.9,46682.0
USMANIAGL,2022-06-29,74.2,74.2,70.5,70.6,51650.0
USMANIAGL,2022-06-30,72.9,72.9,70.2,72.1,25428.0
USMANIAGL,2022-07-03,73.8,73.8,71.8,72.4,53151.0
USMANIAGL,2022-07-04,72.4,75.2,72.4,74.2,64423.0
USMANIAGL,2022-07-05,76.9,76.9,72.8,72.9,74409.0
USMANIAGL,2022-07-06,74.8,74.8,72.5,72.9,36017.0
USMANIAGL,2022-07-07,74.5,74.5,71.8,72.8,36695.0
USMANIAGL,2022-07-12,72.8,73.5,72.4,72.5,20794.0
USMANIAGL,2022-07-13,72.5,76.7,72.0,75.9,111040.0
USMANIAGL,2022-07-14,76.5,83.0,76.1,82.0,319935.0
USMANIAGL,2022-07-17,84.0,86.6,80.4,84.2,205230.0
USMANIAGL,2022-07-18,84.0,84.0,82.6,82.6,101617.0
USMANIAGL,2022-07-19,81.0,81.0,81.0,81.0,3896.0
USMANIAGL,2022-07-20,79.4,79.4,79.4,79.4,14048.0
USMANIAGL,2022-07-21,77.9,79.7,77.9,77.9,122140.0
USMANIAGL,2022-07-24,82.8,82.8,76.4,76.4,15028.0
USMANIAGL,2022-07-25,76.5,76.9,74.9,76.3,120911.0
USMANIAGL,2022-07-26,77.8,78.9,74.8,75.0,58881.0
USMANIAGL,2022-07-27,75.0,75.0,73.5,73.5,18873.0
USMANIAGL,2022-07-28,72.1,72.1,72.1,72.1,9395.0
