symbol,date,open,high,low,close,volume
UTTARAFIN,2022-01-02,41.0,41.8,41.0,41.3,1695.0
UTTARAFIN,2022-01-03,41.3,42.4,41.3,41.8,8691.0
UTTARAFIN,2022-01-04,41.8,43.5,41.7,42.2,32792.0
UTTARAFIN,2022-01-05,43.0,43.1,42.1,42.5,30930.0
UTTARAFIN,2022-01-06,43.3,43.4,42.2,42.9,42832.0
UTTARAFIN,2022-01-09,43.4,43.5,41.3,41.7,44364.0
UTTARAFIN,2022-01-10,42.8,42.8,41.2,41.5,49968.0
UTTARAFIN,2022-01-11,42.5,42.8,41.9,42.6,69005.0
UTTARAFIN,2022-01-12,42.6,42.6,41.9,42.1,29268.0
UTTARAFIN,2022-01-13,42.1,42.5,41.4,41.7,30416.0
UTTARAFIN,2022-01-16,41.7,41.7,41.1,41.3,76071.0
UTTARAFIN,2022-01-17,41.3,42.0,41.3,41.6,16774.0
UTTARAFIN,2022-01-18,41.4,42.4,41.4,42.2,46107.0
UTTARAFIN,2022-01-19,42.5,42.5,41.0,41.3,47571.0
UTTARAFIN,2022-01-20,41.2,42.4,41.0,41.2,56348.0
UTTARAFIN,2022-01-23,41.2,42.2,41.2,41.8,41932.0
UTTARAFIN,2022-01-24,41.5,41.8,40.7,41.2,38683.0
UTTARAFIN,2022-01-25,41.0,41.5,41.0,41.1,17646.0
UTTARAFIN,2022-01-26,41.0,41.6,40.7,40.8,101654.0
UTTARAFIN,2022-01-27,40.8,41.5,40.8,41.0,13010.0
UTTARAFIN,2022-01-30,41.0,41.8,40.4,40.6,16110.0
UTTARAFIN,2022-01-31,40.7,41.2,40.5,40.8,20948.0
UTTARAFIN,2022-02-01,41.2,41.3,40.5,40.9,30495.0
UTTARAFIN,2022-02-02,41.7,41.7,40.6,40.7,26435.0
UTTARAFIN,2022-02-03,40.7,40.9,40.4,40.6,28005.0
UTTARAFIN,2022-02-06,41.0,41.7,40.5,40.7,42748.0
UTTARAFIN,2022-02-07,41.6,41.6,40.7,41.0,51128.0
UTTARAFIN,2022-02-08,41.2,45.1,41.2,45.1,471660.0
UTTARAFIN,2022-02-09,46.0,47.2,44.1,44.6,261243.0
UTTARAFIN,2022-02-10,44.2,45.0,43.5,43.7,211862.0
UTTARAFIN,2022-02-13,44.0,44.0,42.6,42.8,137965.0
UTTARAFIN,2022-02-14,43.8,43.9,42.0,42.4,137388.0
UTTARAFIN,2022-02-15,43.0,43.3,42.0,42.2,39213.0
UTTARAFIN,2022-02-16,43.0,43.0,42.0,42.1,38079.0
UTTARAFIN,2022-02-17,42.3,42.7,41.0,41.3,75436.0
UTTARAFIN,2022-02-20,41.4,41.4,40.5,40.9,70874.0
UTTARAFIN,2022-02-22,42.7,42.7,40.2,41.1,26100.0
UTTARAFIN,2022-02-23,40.8,42.1,40.8,41.0,21798.0
UTTARAFIN,2022-02-24,41.8,41.8,40.1,40.3,51866.0
UTTARAFIN,2022-02-27,40.4,40.4,38.3,38.6,68389.0
UTTARAFIN,2022-02-28,38.8,40.6,38.7,40.3,36899.0
UTTARAFIN,2022-03-01,41.0,41.4,39.3,39.5,46501.0
UTTARAFIN,2022-03-02,38.8,39.8,38.3,39.0,30243.0
UTTARAFIN,2022-03-03,38.4,39.9,38.4,39.1,15074.0
UTTARAFIN,2022-03-06,38.6,38.6,38.0,38.4,72173.0
UTTARAFIN,2022-03-07,38.4,38.6,37.4,37.5,41163.0
UTTARAFIN,2022-03-08,37.6,38.0,36.8,37.6,57057.0
UTTARAFIN,2022-03-09,39.0,39.1,38.1,39.0,33110.0
UTTARAFIN,2022-03-10,39.8,40.0,38.6,38.8,75695.0
UTTARAFIN,2022-03-13,40.5,41.9,40.3,41.3,82074.0
UTTARAFIN,2022-03-14,41.8,41.9,40.6,41.4,53210.0
UTTARAFIN,2022-03-15,41.9,41.9,40.6,40.7,48042.0
UTTARAFIN,2022-03-16,41.0,41.2,40.7,40.8,29063.0
UTTARAFIN,2022-03-20,40.2,40.2,40.0,40.0,23094.0
UTTARAFIN,2022-03-21,40.0,40.6,39.3,39.9,16836.0
UTTARAFIN,2022-03-22,40.7,40.7,39.6,39.7,34550.0
UTTARAFIN,2022-03-23,39.7,40.0,39.6,39.7,16510.0
UTTARAFIN,2022-03-24,40.0,40.4,40.0,40.1,4127.0
UTTARAFIN,2022-03-27,39.7,40.0,39.5,39.6,22651.0
UTTARAFIN,2022-03-28,39.6,40.5,39.5,39.8,22826.0
UTTARAFIN,2022-03-29,39.6,40.9,39.6,40.3,25869.0
UTTARAFIN,2022-03-30,40.2,41.0,39.6,39.6,41247.0
UTTARAFIN,2022-03-31,39.5,40.0,39.0,39.6,54718.0
UTTARAFIN,2022-04-03,40.1,41.9,40.0,40.4,18963.0
UTTARAFIN,2022-04-04,40.0,40.4,39.6,39.9,11675.0
UTTARAFIN,2022-04-05,39.4,40.4,39.2,39.3,32315.0
UTTARAFIN,2022-04-06,39.0,40.2,39.0,39.3,1546.0
UTTARAFIN,2022-04-07,39.0,39.8,38.7,39.3,15701.0
UTTARAFIN,2022-04-10,38.9,39.3,38.9,39.0,5920.0
UTTARAFIN,2022-04-11,39.0,39.6,39.0,39.2,6850.0
UTTARAFIN,2022-04-12,38.8,38.8,38.5,38.5,15960.0
UTTARAFIN,2022-04-13,38.5,39.4,37.9,39.0,26832.0
UTTARAFIN,2022-04-17,40.5,40.5,38.6,39.8,9445.0
UTTARAFIN,2022-04-18,39.1,39.1,39.1,39.1,6131.0
UTTARAFIN,2022-04-19,38.4,39.0,38.4,38.4,18731.0
UTTARAFIN,2022-04-20,37.9,40.1,37.7,38.2,18915.0
UTTARAFIN,2022-04-21,39.1,39.5,38.6,39.0,8245.0
UTTARAFIN,2022-04-24,39.9,39.9,39.0,39.2,31776.0
UTTARAFIN,2022-04-25,39.2,39.3,38.1,39.2,18268.0
UTTARAFIN,2022-04-26,39.5,39.6,38.6,38.6,21671.0
UTTARAFIN,2022-04-27,38.3,39.0,38.3,38.9,23407.0
UTTARAFIN,2022-04-28,38.1,39.2,38.1,39.0,25979.0
UTTARAFIN,2022-05-05,38.0,38.9,37.4,38.3,17250.0
UTTARAFIN,2022-05-08,38.8,39.3,38.4,38.9,36166.0
UTTARAFIN,2022-05-09,38.9,38.9,37.1,38.6,29425.0
UTTARAFIN,2022-05-10,38.6,39.6,38.5,38.7,23727.0
UTTARAFIN,2022-05-11,38.3,38.7,37.5,37.8,39017.0
UTTARAFIN,2022-05-12,37.8,37.9,37.0,37.5,43349.0
UTTARAFIN,2022-05-16,37.0,37.4,35.9,36.1,53446.0
UTTARAFIN,2022-05-17,36.0,36.3,35.6,36.1,29782.0
UTTARAFIN,2022-05-18,35.6,36.7,35.3,35.3,60152.0
UTTARAFIN,2022-05-19,35.3,36.0,34.7,35.0,40979.0
UTTARAFIN,2022-05-22,35.0,35.3,33.5,33.6,40580.0
UTTARAFIN,2022-05-23,36.0,36.0,34.5,34.9,8971.0
UTTARAFIN,2022-05-24,35.0,35.4,34.8,34.9,7789.0
UTTARAFIN,2022-05-25,33.9,35.1,33.9,35.0,6512.0
UTTARAFIN,2022-05-26,34.7,35.5,34.7,35.2,14106.0
UTTARAFIN,2022-05-29,35.2,36.0,35.2,35.9,33835.0
UTTARAFIN,2022-05-30,36.4,37.2,35.7,36.9,36086.0
UTTARAFIN,2022-05-31,36.9,36.9,36.2,36.4,39978.0
UTTARAFIN,2022-06-01,37.6,37.6,36.3,36.3,27279.0
