symbol,date,open,high,low,close,volume
VAMLBDMF1,2022-01-02,7.8,7.8,7.6,7.7,15967.0
VAMLBDMF1,2022-01-03,7.7,7.9,7.7,7.8,337135.0
VAMLBDMF1,2022-01-04,7.9,8.0,7.8,7.9,452976.0
VAMLBDMF1,2022-01-05,7.8,7.9,7.8,7.8,67261.0
VAMLBDMF1,2022-01-06,7.9,7.9,7.8,7.8,365428.0
VAMLBDMF1,2022-01-09,7.8,7.9,7.8,7.9,317758.0
VAMLBDMF1,2022-01-10,7.8,8.0,7.8,7.9,677969.0
VAMLBDMF1,2022-01-11,7.9,8.1,7.9,8.1,482975.0
VAMLBDMF1,2022-01-12,8.2,8.2,8.0,8.2,904491.0
VAMLBDMF1,2022-01-13,8.1,8.1,7.9,7.9,264190.0
VAMLBDMF1,2022-01-16,8.0,8.0,7.7,7.7,419441.0
VAMLBDMF1,2022-01-17,7.7,7.8,7.7,7.7,75754.0
VAMLBDMF1,2022-01-18,7.7,7.8,7.7,7.7,115408.0
VAMLBDMF1,2022-01-19,7.8,7.9,7.7,7.7,173896.0
VAMLBDMF1,2022-01-20,7.9,8.1,7.8,7.9,405165.0
VAMLBDMF1,2022-01-23,7.8,7.9,7.8,7.8,60855.0
VAMLBDMF1,2022-01-24,7.8,7.9,7.8,7.9,257280.0
VAMLBDMF1,2022-01-25,7.9,8.0,7.8,8.0,188328.0
VAMLBDMF1,2022-01-26,7.8,8.0,7.8,7.9,148973.0
VAMLBDMF1,2022-01-27,7.9,8.0,7.8,8.0,171049.0
VAMLBDMF1,2022-01-30,7.9,8.0,7.8,7.9,31157.0
VAMLBDMF1,2022-01-31,7.8,7.9,7.8,7.8,109831.0
VAMLBDMF1,2022-02-01,7.9,8.0,7.8,7.9,195407.0
VAMLBDMF1,2022-02-02,8.0,8.0,7.9,7.9,158965.0
VAMLBDMF1,2022-02-03,7.9,8.0,7.8,7.9,121351.0
VAMLBDMF1,2022-02-06,8.0,8.0,7.8,7.8,38363.0
VAMLBDMF1,2022-02-07,7.9,7.9,7.8,7.8,226331.0
VAMLBDMF1,2022-02-08,7.9,7.9,7.7,7.8,171954.0
VAMLBDMF1,2022-02-09,8.0,8.0,7.8,7.9,208502.0
VAMLBDMF1,2022-02-10,8.0,8.0,7.8,7.9,107802.0
VAMLBDMF1,2022-02-13,7.9,7.9,7.8,7.8,154281.0
VAMLBDMF1,2022-02-14,7.8,7.9,7.8,7.8,91798.0
VAMLBDMF1,2022-02-15,7.8,7.9,7.7,7.8,53457.0
VAMLBDMF1,2022-02-16,7.8,7.9,7.7,7.9,226505.0
VAMLBDMF1,2022-02-17,7.8,7.9,7.8,7.8,83972.0
VAMLBDMF1,2022-02-20,7.8,7.8,7.7,7.7,103952.0
VAMLBDMF1,2022-02-22,7.8,7.8,7.5,7.5,334609.0
VAMLBDMF1,2022-02-23,7.5,7.7,7.5,7.5,17178.0
VAMLBDMF1,2022-02-24,7.5,7.6,7.5,7.5,38840.0
VAMLBDMF1,2022-02-27,7.7,7.7,7.3,7.3,262966.0
VAMLBDMF1,2022-02-28,7.5,7.6,7.3,7.3,75740.0
VAMLBDMF1,2022-03-01,7.5,7.5,7.2,7.3,115092.0
VAMLBDMF1,2022-03-02,7.5,7.5,7.2,7.2,28190.0
VAMLBDMF1,2022-03-03,7.2,7.2,7.1,7.2,50672.0
VAMLBDMF1,2022-03-06,7.5,7.6,7.4,7.5,229224.0
VAMLBDMF1,2022-03-07,7.4,7.4,7.1,7.2,179909.0
VAMLBDMF1,2022-03-08,7.2,7.2,7.0,7.1,139834.0
VAMLBDMF1,2022-03-09,7.2,7.3,7.1,7.2,43448.0
VAMLBDMF1,2022-03-10,7.3,7.3,7.1,7.1,89250.0
VAMLBDMF1,2022-03-13,7.4,7.5,7.3,7.4,132301.0
VAMLBDMF1,2022-03-14,7.6,7.7,7.5,7.7,490043.0
VAMLBDMF1,2022-03-15,7.7,8.2,7.7,8.1,929534.0
VAMLBDMF1,2022-03-16,8.0,8.0,8.0,8.0,211141.0
VAMLBDMF1,2022-03-20,7.9,7.9,7.9,7.9,224733.0
VAMLBDMF1,2022-03-21,8.0,8.0,7.8,7.8,20418.0
VAMLBDMF1,2022-03-22,8.0,8.0,7.7,7.7,48208.0
VAMLBDMF1,2022-03-23,7.9,7.9,7.7,7.8,32751.0
VAMLBDMF1,2022-03-24,7.8,7.9,7.7,7.8,105763.0
VAMLBDMF1,2022-03-27,7.9,7.9,7.7,7.7,62500.0
VAMLBDMF1,2022-03-28,7.7,7.8,7.6,7.7,8502.0
VAMLBDMF1,2022-03-29,7.8,7.8,7.7,7.8,76724.0
VAMLBDMF1,2022-03-30,7.8,7.8,7.7,7.8,116694.0
VAMLBDMF1,2022-03-31,7.8,7.8,7.7,7.8,9334.0
VAMLBDMF1,2022-04-03,7.8,8.0,7.7,8.0,335280.0
VAMLBDMF1,2022-04-04,8.0,8.0,7.9,7.9,7930.0
VAMLBDMF1,2022-04-05,8.0,8.0,7.8,7.9,10604.0
VAMLBDMF1,2022-04-06,7.8,7.8,7.8,7.8,100.0
VAMLBDMF1,2022-04-07,8.0,8.0,7.7,7.7,107724.0
VAMLBDMF1,2022-04-10,7.9,7.9,7.7,7.7,12102.0
VAMLBDMF1,2022-04-11,7.9,7.9,7.7,7.7,10151.0
VAMLBDMF1,2022-04-12,7.7,7.7,7.6,7.6,101682.0
VAMLBDMF1,2022-04-13,7.6,7.7,7.6,7.6,53495.0
VAMLBDMF1,2022-04-17,7.8,7.8,7.6,7.7,26136.0
VAMLBDMF1,2022-04-18,7.6,7.7,7.6,7.6,30332.0
VAMLBDMF1,2022-04-19,7.5,7.7,7.5,7.5,65443.0
VAMLBDMF1,2022-04-20,7.6,7.7,7.6,7.6,3442.0
VAMLBDMF1,2022-04-21,7.6,7.7,7.5,7.5,115696.0
VAMLBDMF1,2022-04-24,7.7,7.7,7.6,7.6,14173.0
VAMLBDMF1,2022-04-25,7.6,7.7,7.5,7.6,10619.0
VAMLBDMF1,2022-04-26,7.6,7.7,7.4,7.5,245216.0
VAMLBDMF1,2022-04-27,7.7,7.7,7.5,7.5,284677.0
VAMLBDMF1,2022-04-28,7.5,7.6,7.5,7.5,48503.0
VAMLBDMF1,2022-05-05,7.6,7.7,7.5,7.5,25127.0
VAMLBDMF1,2022-05-08,7.5,7.6,7.5,7.6,28048.0
VAMLBDMF1,2022-05-09,7.6,7.7,7.5,7.6,61152.0
VAMLBDMF1,2022-05-10,7.6,7.7,7.6,7.6,132374.0
VAMLBDMF1,2022-05-11,7.5,7.6,7.5,7.5,23946.0
VAMLBDMF1,2022-05-12,7.6,7.8,7.5,7.6,241411.0
VAMLBDMF1,2022-05-16,7.6,7.7,7.3,7.5,68895.0
VAMLBDMF1,2022-05-17,7.5,7.5,7.2,7.3,95905.0
VAMLBDMF1,2022-05-18,7.3,7.4,7.2,7.3,78700.0
VAMLBDMF1,2022-05-19,7.2,7.3,7.2,7.2,25471.0
VAMLBDMF1,2022-05-22,7.3,7.3,7.0,7.1,26957.0
VAMLBDMF1,2022-05-23,7.3,7.3,7.2,7.2,4203.0
VAMLBDMF1,2022-05-24,7.2,7.3,7.1,7.2,47306.0
VAMLBDMF1,2022-05-25,7.3,7.3,7.0,7.1,280912.0
VAMLBDMF1,2022-05-26,7.1,7.1,7.1,7.1,11501.0
VAMLBDMF1,2022-05-29,7.2,7.4,7.2,7.3,67833.0
VAMLBDMF1,2022-05-30,7.3,7.5,7.3,7.4,64602.0
VAMLBDMF1,2022-05-31,7.4,7.5,7.4,7.4,135652.0
VAMLBDMF1,2022-06-01,7.3,7.5,7.3,7.5,14200.0
VAMLBDMF1,2022-06-02,7.5,7.5,7.4,7.4,105803.0
VAMLBDMF1,2022-06-05,7.5,7.5,7.5,7.5,35901.0
VAMLBDMF1,2022-06-06,7.5,7.6,7.5,7.5,32587.0
VAMLBDMF1,2022-06-07,7.6,7.6,7.4,7.5,64012.0
VAMLBDMF1,2022-06-08,7.6,8.0,7.5,7.8,696203.0
VAMLBDMF1,2022-06-09,7.7,7.8,7.7,7.7,80659.0
