symbol,date,open,high,low,close,volume
VAMLRBBF,2022-01-02,8.6,8.6,8.4,8.4,189199.0
VAMLRBBF,2022-01-03,8.6,8.7,8.6,8.6,81025.0
VAMLRBBF,2022-01-04,8.6,8.7,8.6,8.7,99500.0
VAMLRBBF,2022-01-05,8.7,8.7,8.6,8.6,67278.0
VAMLRBBF,2022-01-06,8.5,8.8,8.5,8.7,102764.0
VAMLRBBF,2022-01-09,8.7,8.9,8.7,8.9,38000.0
VAMLRBBF,2022-01-10,8.9,8.9,8.6,8.7,182474.0
VAMLRBBF,2022-01-11,8.9,8.9,8.7,8.8,41881.0
VAMLRBBF,2022-01-12,9.1,9.1,8.8,8.8,16737.0
VAMLRBBF,2022-01-13,8.9,9.0,8.8,8.9,44943.0
VAMLRBBF,2022-01-16,9.0,9.0,8.8,8.8,42538.0
VAMLRBBF,2022-01-17,8.9,8.9,8.7,8.8,24392.0
VAMLRBBF,2022-01-18,8.9,8.9,8.7,8.8,15737.0
VAMLRBBF,2022-01-19,8.9,8.9,8.7,8.7,48661.0
VAMLRBBF,2022-01-20,8.8,8.9,8.7,8.7,23950.0
VAMLRBBF,2022-01-23,8.9,8.9,8.7,8.7,30311.0
VAMLRBBF,2022-01-24,8.8,8.8,8.5,8.6,33949.0
VAMLRBBF,2022-01-25,8.9,8.9,8.6,8.6,59029.0
VAMLRBBF,2022-01-26,8.8,8.8,8.6,8.6,6959.0
VAMLRBBF,2022-01-27,8.8,8.9,8.7,8.7,8629.0
VAMLRBBF,2022-01-30,8.8,8.8,8.7,8.7,53316.0
VAMLRBBF,2022-01-31,8.6,8.8,8.6,8.7,55485.0
VAMLRBBF,2022-02-01,8.6,8.8,8.6,8.8,1416.0
VAMLRBBF,2022-02-02,8.8,8.8,8.7,8.7,18208.0
VAMLRBBF,2022-02-03,8.8,8.8,8.8,8.8,38105.0
VAMLRBBF,2022-02-06,8.9,8.9,8.5,8.6,159226.0
VAMLRBBF,2022-02-07,8.7,8.8,8.5,8.6,114236.0
VAMLRBBF,2022-02-08,8.8,8.9,8.6,8.8,101914.0
VAMLRBBF,2022-02-09,8.9,8.9,8.8,8.8,140781.0
VAMLRBBF,2022-02-10,8.9,8.9,8.6,8.8,228374.0
VAMLRBBF,2022-02-13,8.7,8.8,8.5,8.7,573893.0
VAMLRBBF,2022-02-14,8.7,8.7,8.6,8.7,175890.0
VAMLRBBF,2022-02-15,8.7,8.7,8.6,8.6,47705.0
VAMLRBBF,2022-02-16,8.7,8.7,8.5,8.6,122376.0
VAMLRBBF,2022-02-17,8.7,8.7,8.5,8.6,130127.0
VAMLRBBF,2022-02-20,8.6,8.6,8.5,8.5,73043.0
VAMLRBBF,2022-02-22,8.6,8.6,8.4,8.5,101534.0
VAMLRBBF,2022-02-23,8.5,8.6,8.5,8.6,116150.0
VAMLRBBF,2022-02-24,8.6,8.6,8.4,8.5,153618.0
VAMLRBBF,2022-02-27,8.6,8.6,8.2,8.2,96464.0
VAMLRBBF,2022-02-28,8.4,8.5,8.4,8.4,16576.0
VAMLRBBF,2022-03-01,8.5,8.5,8.4,8.4,127271.0
VAMLRBBF,2022-03-02,8.6,8.6,8.0,8.1,421483.0
VAMLRBBF,2022-03-03,8.2,8.5,8.2,8.4,318498.0
VAMLRBBF,2022-03-07,7.6,7.6,7.6,7.6,90015.0
VAMLRBBF,2022-03-08,7.2,7.3,6.9,7.2,175661.0
VAMLRBBF,2022-03-09,7.1,7.3,7.1,7.2,62210.0
VAMLRBBF,2022-03-10,7.2,7.2,7.1,7.1,113866.0
VAMLRBBF,2022-03-13,7.2,7.3,7.1,7.2,44939.0
VAMLRBBF,2022-03-14,7.3,7.4,7.2,7.3,98410.0
VAMLRBBF,2022-03-15,7.4,8.0,7.3,7.9,386295.0
VAMLRBBF,2022-03-16,7.9,8.1,7.8,7.8,101357.0
VAMLRBBF,2022-03-20,7.7,7.7,7.7,7.7,14100.0
VAMLRBBF,2022-03-21,7.6,7.6,7.6,7.6,27412.0
VAMLRBBF,2022-03-22,7.5,7.6,7.5,7.5,75445.0
VAMLRBBF,2022-03-23,7.4,7.6,7.4,7.4,78645.0
VAMLRBBF,2022-03-24,7.4,7.5,7.4,7.4,25535.0
VAMLRBBF,2022-03-27,7.3,7.5,7.3,7.3,38295.0
VAMLRBBF,2022-03-28,7.2,7.4,7.2,7.2,36056.0
VAMLRBBF,2022-03-29,7.4,7.4,7.3,7.4,9256.0
VAMLRBBF,2022-03-30,7.3,7.5,7.3,7.4,41540.0
VAMLRBBF,2022-03-31,7.3,7.4,7.3,7.3,18533.0
VAMLRBBF,2022-04-03,7.4,7.4,7.4,7.4,15346.0
VAMLRBBF,2022-04-04,7.5,7.5,7.4,7.4,39497.0
