symbol,date,open,high,low,close,volume
WATACHEM,2022-01-02,271.8,271.8,267.0,268.1,16680.0
WATACHEM,2022-01-03,270.5,270.5,266.2,267.1,21320.0
WATACHEM,2022-01-04,266.5,271.4,264.0,265.5,21374.0
WATACHEM,2022-01-05,265.8,268.8,265.0,265.6,24373.0
WATACHEM,2022-01-06,265.6,269.0,265.3,265.6,25967.0
WATACHEM,2022-01-09,267.5,279.0,267.5,273.8,68733.0
WATACHEM,2022-01-10,273.0,289.9,273.0,286.9,81182.0
WATACHEM,2022-01-11,287.5,305.0,287.0,291.5,128501.0
WATACHEM,2022-01-12,293.0,297.7,282.0,283.0,30003.0
WATACHEM,2022-01-13,280.0,307.5,280.0,305.4,160664.0
WATACHEM,2022-01-16,311.8,313.4,300.0,307.3,125381.0
WATACHEM,2022-01-17,307.3,307.4,295.0,296.0,44650.0
WATACHEM,2022-01-18,296.3,302.0,293.1,295.8,37680.0
WATACHEM,2022-01-19,293.6,302.9,293.6,295.0,50416.0
WATACHEM,2022-01-20,293.0,299.9,290.0,290.6,46747.0
WATACHEM,2022-01-23,285.7,294.0,285.7,286.7,25596.0
WATACHEM,2022-01-24,283.5,290.0,283.5,286.8,18361.0
WATACHEM,2022-01-25,283.0,293.0,283.0,289.6,14265.0
WATACHEM,2022-01-26,286.2,295.0,286.2,287.8,11744.0
WATACHEM,2022-01-27,290.9,290.9,282.2,283.3,20097.0
WATACHEM,2022-01-30,290.0,290.0,270.1,275.2,27010.0
WATACHEM,2022-01-31,285.0,285.0,269.0,271.3,21025.0
WATACHEM,2022-02-01,272.0,278.6,272.0,272.9,16686.0
WATACHEM,2022-02-02,281.0,281.0,270.2,272.4,13717.0
WATACHEM,2022-02-03,272.5,279.8,270.5,274.9,6822.0
WATACHEM,2022-02-06,273.1,283.8,273.1,275.1,7930.0
WATACHEM,2022-02-07,271.5,281.9,271.5,276.1,12349.0
WATACHEM,2022-02-08,279.9,279.9,273.2,275.0,8276.0
WATACHEM,2022-02-09,280.0,283.0,272.1,280.3,17223.0
WATACHEM,2022-02-10,283.6,283.6,276.2,279.9,7771.0
WATACHEM,2022-02-13,284.3,284.3,274.3,278.4,14731.0
WATACHEM,2022-02-14,278.4,280.5,274.0,275.8,11386.0
WATACHEM,2022-02-15,273.0,279.0,272.1,273.8,52045.0
WATACHEM,2022-02-16,272.1,283.0,272.1,280.1,25597.0
WATACHEM,2022-02-17,278.0,299.9,277.3,295.0,124035.0
WATACHEM,2022-02-20,295.0,303.0,293.0,295.3,70413.0
WATACHEM,2022-02-22,291.1,295.8,282.1,283.5,42367.0
WATACHEM,2022-02-23,285.0,286.7,280.5,282.9,16944.0
WATACHEM,2022-02-24,278.3,288.4,271.0,274.5,39600.0
WATACHEM,2022-02-27,271.2,277.5,265.0,266.4,21742.0
WATACHEM,2022-02-28,272.0,274.7,268.0,270.2,23808.0
WATACHEM,2022-03-01,275.0,275.0,266.4,267.4,14411.0
WATACHEM,2022-03-02,267.5,270.0,263.5,266.6,10280.0
WATACHEM,2022-03-03,263.8,269.9,260.2,268.6,11257.0
WATACHEM,2022-03-06,274.0,274.0,266.6,269.8,4042.0
WATACHEM,2022-03-07,271.0,274.0,261.1,262.8,24101.0
WATACHEM,2022-03-08,261.6,264.5,254.0,259.9,18955.0
WATACHEM,2022-03-09,260.1,270.0,259.9,261.5,56551.0
WATACHEM,2022-03-10,269.0,269.5,260.0,263.1,18212.0
WATACHEM,2022-03-13,267.8,267.8,261.7,263.8,40074.0
WATACHEM,2022-03-14,269.8,269.8,261.7,262.8,58361.0
WATACHEM,2022-03-15,264.1,265.5,260.1,262.6,27457.0
WATACHEM,2022-03-16,261.1,264.5,261.0,262.4,14605.0
WATACHEM,2022-03-20,262.6,268.7,261.8,262.1,12919.0
WATACHEM,2022-03-21,262.1,265.0,260.0,264.2,12311.0
WATACHEM,2022-03-22,264.2,271.9,263.0,268.6,39343.0
WATACHEM,2022-03-23,266.7,270.5,266.0,266.8,34324.0
WATACHEM,2022-03-24,271.0,274.0,266.1,268.1,20707.0
WATACHEM,2022-03-27,271.8,271.8,264.1,265.6,16530.0
WATACHEM,2022-03-28,262.7,269.9,262.7,267.3,19814.0
WATACHEM,2022-03-29,267.0,268.9,263.2,264.0,29004.0
WATACHEM,2022-03-30,262.7,267.1,262.0,262.9,30573.0
WATACHEM,2022-03-31,266.5,266.5,261.2,262.9,9589.0
WATACHEM,2022-04-03,262.2,263.5,262.0,262.9,2295.0
WATACHEM,2022-04-04,262.0,262.2,260.0,261.3,16232.0
WATACHEM,2022-04-05,259.6,263.0,256.1,257.6,15080.0
WATACHEM,2022-04-06,254.2,262.0,254.2,257.2,3993.0
WATACHEM,2022-04-07,257.3,257.3,254.2,254.9,7953.0
WATACHEM,2022-04-10,255.1,261.0,255.1,257.5,6222.0
WATACHEM,2022-04-11,262.4,262.8,256.1,257.2,3284.0
WATACHEM,2022-04-12,261.0,261.0,254.0,254.6,10395.0
WATACHEM,2022-04-13,252.4,257.0,252.4,253.2,4506.0
WATACHEM,2022-04-17,260.5,261.0,251.5,252.1,4120.0
WATACHEM,2022-04-18,250.5,252.9,247.1,247.1,8718.0
WATACHEM,2022-04-19,245.0,247.9,242.3,246.7,9566.0
WATACHEM,2022-04-20,248.4,249.8,248.3,249.2,5254.0
WATACHEM,2022-04-21,247.0,251.9,247.0,249.6,10184.0
WATACHEM,2022-04-24,256.0,256.0,252.8,253.3,2843.0
WATACHEM,2022-04-25,247.2,253.0,247.0,248.6,8360.0
