symbol,date,open,high,low,close,volume
YPL,2022-01-02,11.2,11.3,11.0,11.1,68903.0
YPL,2022-01-03,11.0,11.5,11.0,11.3,142412.0
YPL,2022-01-04,11.3,11.5,11.1,11.5,126849.0
YPL,2022-01-05,11.5,12.4,11.5,12.3,792385.0
YPL,2022-01-06,12.3,12.7,12.3,12.4,467764.0
YPL,2022-01-09,12.5,12.5,12.0,12.1,360056.0
YPL,2022-01-10,12.1,13.2,12.0,12.9,620558.0
YPL,2022-01-11,13.2,13.2,12.7,12.8,474140.0
YPL,2022-01-12,12.8,12.9,12.1,12.3,214828.0
YPL,2022-01-13,12.7,12.7,12.1,12.2,141383.0
YPL,2022-01-16,12.4,13.0,12.3,12.9,238294.0
YPL,2022-01-17,13.0,13.2,12.6,12.9,360651.0
YPL,2022-01-18,13.0,13.9,12.6,13.7,967764.0
YPL,2022-01-19,13.3,13.9,13.3,13.5,486376.0
YPL,2022-01-20,13.6,14.4,13.3,14.3,1262565.0
YPL,2022-01-23,14.3,15.7,14.3,15.5,8268335.0
YPL,2022-01-24,15.3,16.5,14.8,15.0,1820012.0
YPL,2022-01-25,15.0,16.0,14.6,15.9,3137494.0
YPL,2022-01-26,16.0,17.4,16.0,17.4,6980039.0
YPL,2022-01-27,17.7,18.7,17.0,17.7,3666213.0
YPL,2022-01-30,17.7,18.9,17.3,17.9,5306734.0
YPL,2022-01-31,18.2,18.5,17.1,17.2,2216591.0
YPL,2022-02-01,17.7,18.9,17.4,18.9,3990359.0
YPL,2022-02-02,19.7,20.7,19.3,20.7,2989093.0
YPL,2022-02-03,21.0,22.4,20.2,21.9,6199863.0
YPL,2022-02-06,22.0,22.6,20.8,21.1,3796740.0
YPL,2022-02-07,21.2,23.2,21.2,23.2,4723678.0
YPL,2022-02-08,23.7,25.5,23.5,25.5,6612310.0
YPL,2022-02-09,25.4,26.4,23.8,24.3,5270684.0
YPL,2022-02-10,24.6,26.0,24.0,24.9,3860317.0
YPL,2022-02-13,25.4,25.7,23.7,23.9,8416831.0
YPL,2022-02-14,24.0,24.5,22.2,22.6,4324610.0
YPL,2022-02-15,22.7,24.7,22.4,23.0,7307720.0
YPL,2022-02-16,23.2,25.0,22.7,24.6,7018303.0
YPL,2022-02-17,24.8,26.5,24.7,25.6,7637479.0
YPL,2022-02-20,25.1,25.9,23.9,24.2,5026088.0
YPL,2022-02-22,24.2,24.7,22.9,23.1,3144864.0
YPL,2022-02-23,23.4,24.5,23.1,23.9,4647113.0
YPL,2022-02-24,24.1,24.4,22.0,22.3,3510075.0
YPL,2022-02-27,22.6,23.4,22.2,22.7,3498372.0
YPL,2022-02-28,22.9,23.3,22.6,22.8,1479960.0
YPL,2022-03-01,22.9,23.3,22.3,22.4,2213333.0
YPL,2022-03-02,22.5,24.6,22.5,24.6,6924997.0
YPL,2022-03-03,24.6,24.8,23.2,23.4,3212327.0
YPL,2022-03-06,23.4,24.4,23.1,24.1,3549218.0
YPL,2022-03-07,24.1,24.2,22.5,22.9,2662167.0
YPL,2022-03-08,22.9,23.8,22.6,23.3,2565942.0
YPL,2022-03-09,23.7,24.3,23.2,24.0,3526136.0
YPL,2022-03-10,24.3,26.2,23.6,25.8,5521165.0
YPL,2022-03-13,25.6,26.6,25.3,25.5,7053728.0
YPL,2022-03-14,25.5,25.5,25.0,25.0,3326979.0
YPL,2022-03-15,24.7,25.5,24.5,24.7,6143685.0
YPL,2022-03-16,24.9,25.0,24.3,24.3,2312516.0
YPL,2022-03-20,24.4,24.4,23.9,23.9,1536036.0
YPL,2022-03-21,23.8,24.0,23.5,23.5,1902516.0
YPL,2022-03-22,23.6,24.1,23.1,23.7,4365782.0
YPL,2022-03-23,23.8,24.1,23.4,23.5,1647276.0
YPL,2022-03-24,23.4,23.6,23.1,23.1,1800450.0
YPL,2022-03-27,23.1,23.2,22.7,22.7,1079331.0
YPL,2022-03-28,22.5,23.3,22.3,22.7,2994653.0
YPL,2022-03-29,22.9,23.2,22.6,22.7,2220101.0
YPL,2022-03-30,22.9,23.0,22.3,22.3,1204197.0
YPL,2022-03-31,22.3,24.5,21.9,24.5,7269054.0
YPL,2022-04-03,26.2,26.2,24.1,24.5,7635804.0
YPL,2022-04-04,24.5,25.0,24.1,24.1,3426340.0
YPL,2022-04-05,23.7,24.3,23.7,23.7,4551830.0
YPL,2022-04-06,23.5,23.9,23.3,23.5,1491910.0
YPL,2022-04-07,23.7,23.7,23.1,23.1,3072898.0
YPL,2022-04-10,23.3,24.6,23.2,24.2,2754028.0
YPL,2022-04-11,24.2,24.4,23.8,23.8,1015544.0
YPL,2022-04-12,23.5,23.6,23.4,23.4,1692937.0
YPL,2022-04-13,23.2,23.9,23.0,23.5,2307474.0
YPL,2022-04-17,23.7,24.4,23.4,23.6,2788811.0
YPL,2022-04-18,23.5,23.5,23.2,23.2,756180.0
YPL,2022-04-19,22.8,23.9,22.8,23.7,2485253.0
YPL,2022-04-20,23.8,24.1,23.3,23.6,2837598.0
YPL,2022-04-21,23.8,25.5,23.5,24.6,5613905.0
YPL,2022-04-24,24.8,25.1,23.8,24.1,3142940.0
YPL,2022-04-25,24.0,24.9,23.5,24.5,3056125.0
YPL,2022-04-26,24.4,25.4,24.4,25.1,3387364.0
YPL,2022-04-27,25.3,25.7,24.5,24.8,3365419.0
YPL,2022-04-28,24.9,24.9,23.6,23.7,3358154.0
YPL,2022-05-05,23.5,24.4,23.4,24.0,833534.0
YPL,2022-05-08,24.1,24.7,23.9,24.2,2544651.0
YPL,2022-05-09,24.3,24.8,23.8,24.0,3175597.0
YPL,2022-05-10,24.2,24.4,23.7,23.8,3723688.0
YPL,2022-05-11,24.0,24.3,23.2,23.4,2832772.0
YPL,2022-05-12,23.3,23.8,23.0,23.4,2640641.0
YPL,2022-05-16,23.5,23.5,22.3,22.3,2384049.0
YPL,2022-05-17,22.8,22.8,21.2,22.3,2644846.0
YPL,2022-05-18,23.0,23.9,21.3,21.6,3550796.0
YPL,2022-05-19,21.4,22.5,21.2,21.9,1318159.0
YPL,2022-05-22,22.6,22.6,21.0,21.2,1472924.0
YPL,2022-05-23,21.7,22.2,21.5,21.6,1624710.0
YPL,2022-05-24,21.9,22.0,20.6,20.6,2037966.0
YPL,2022-05-25,20.9,20.9,19.6,19.7,2298735.0
YPL,2022-05-26,19.4,20.0,19.4,19.8,1057928.0
YPL,2022-05-29,19.9,21.3,19.9,20.9,1784520.0
YPL,2022-05-30,21.1,21.5,20.5,20.6,1621104.0
YPL,2022-05-31,20.5,20.6,20.2,20.3,1098774.0
YPL,2022-06-01,20.3,20.9,20.2,20.4,1273267.0
YPL,2022-06-02,20.7,20.9,20.4,20.5,1329946.0
YPL,2022-06-05,20.1,22.3,20.1,21.9,3611466.0
YPL,2022-06-06,22.1,22.3,21.5,21.8,2764979.0
YPL,2022-06-07,21.5,22.2,21.5,21.8,2567428.0
YPL,2022-06-08,21.7,23.0,21.7,22.7,4296959.0
YPL,2022-06-09,22.9,23.3,22.3,22.3,2674636.0
YPL,2022-06-12,21.9,22.2,21.9,22.0,2363427.0
YPL,2022-06-13,21.9,22.4,21.9,22.0,1207746.0
YPL,2022-06-14,22.2,22.2,21.7,21.8,1312340.0
YPL,2022-06-15,21.9,22.8,21.9,22.5,2255553.0
YPL,2022-06-16,22.8,23.7,22.8,23.3,3394619.0
YPL,2022-06-19,23.4,23.6,22.9,22.9,1324101.0
YPL,2022-06-20,22.5,22.8,22.5,22.5,964632.0
YPL,2022-06-21,22.5,22.5,22.1,22.1,1112656.0
YPL,2022-06-22,22.4,22.4,21.7,21.8,937576.0
YPL,2022-06-23,22.4,22.4,21.4,21.4,1424861.0
YPL,2022-06-26,21.5,21.8,21.0,21.0,1010026.0
YPL,2022-06-27,21.3,21.8,21.0,21.5,1439174.0
YPL,2022-06-28,22.8,23.6,21.9,23.6,6145142.0
YPL,2022-06-29,24.3,24.6,23.3,23.4,4463125.0
YPL,2022-06-30,23.5,24.2,23.0,23.3,3844363.0
YPL,2022-07-03,22.9,22.9,22.9,22.9,163540.0
YPL,2022-07-04,22.5,22.5,22.5,22.5,175549.0
YPL,2022-07-05,22.1,22.1,22.1,22.1,139016.0
YPL,2022-07-06,21.7,21.7,21.7,21.7,114671.0
YPL,2022-07-07,21.3,21.3,21.3,21.3,409574.0
YPL,2022-07-12,20.9,20.9,20.9,20.9,384383.0
YPL,2022-07-13,20.5,20.5,20.5,20.5,208270.0
YPL,2022-07-14,20.1,20.1,20.1,20.1,143204.0
YPL,2022-07-17,19.7,19.7,19.7,19.7,157005.0
YPL,2022-07-18,19.4,19.4,19.4,19.4,79656.0
YPL,2022-07-19,19.1,19.1,19.1,19.1,19552.0
YPL,2022-07-20,18.8,18.8,18.8,18.8,588080.0
YPL,2022-07-21,18.5,20.5,18.5,20.2,5523999.0
YPL,2022-07-24,20.5,20.6,19.8,19.8,855107.0
YPL,2022-07-25,19.5,20.2,19.5,19.6,2912978.0
