symbol,date,open,high,low,close,volume
ZAHEENSPIN,2022-01-02,8.7,9.0,8.6,8.8,265689.0
ZAHEENSPIN,2022-01-03,8.9,9.2,8.9,9.0,375312.0
ZAHEENSPIN,2022-01-04,9.0,9.4,9.0,9.4,539145.0
ZAHEENSPIN,2022-01-05,9.4,9.4,9.1,9.3,139110.0
ZAHEENSPIN,2022-01-06,9.4,9.4,9.0,9.0,248648.0
ZAHEENSPIN,2022-01-09,9.2,9.2,8.9,8.9,297801.0
ZAHEENSPIN,2022-01-10,8.9,9.2,8.8,8.9,170278.0
ZAHEENSPIN,2022-01-11,8.9,9.1,8.8,8.9,127135.0
ZAHEENSPIN,2022-01-12,8.7,9.2,8.7,8.8,156333.0
ZAHEENSPIN,2022-01-13,8.9,9.0,8.6,8.8,145898.0
ZAHEENSPIN,2022-01-16,8.9,9.1,8.8,8.9,216575.0
ZAHEENSPIN,2022-01-17,9.0,9.2,8.8,8.8,282688.0
ZAHEENSPIN,2022-01-18,9.1,9.1,8.8,8.9,259911.0
ZAHEENSPIN,2022-01-19,8.9,9.2,8.9,9.1,428907.0
ZAHEENSPIN,2022-01-20,9.1,9.3,9.1,9.1,482337.0
ZAHEENSPIN,2022-01-23,8.9,9.0,8.8,8.8,204545.0
ZAHEENSPIN,2022-01-24,8.9,9.1,8.6,8.7,225502.0
ZAHEENSPIN,2022-01-25,8.6,8.9,8.6,8.8,58300.0
ZAHEENSPIN,2022-01-26,8.9,9.0,8.7,8.8,193319.0
ZAHEENSPIN,2022-01-27,8.9,8.9,8.8,8.8,149293.0
ZAHEENSPIN,2022-01-30,8.5,8.8,8.5,8.6,560639.0
ZAHEENSPIN,2022-01-31,8.6,8.8,8.6,8.6,85337.0
ZAHEENSPIN,2022-02-01,8.7,8.7,8.5,8.6,120889.0
ZAHEENSPIN,2022-02-02,8.7,8.9,8.6,8.9,648781.0
ZAHEENSPIN,2022-02-03,8.9,9.0,8.7,8.8,197763.0
ZAHEENSPIN,2022-02-06,8.8,8.8,8.6,8.7,445841.0
ZAHEENSPIN,2022-02-07,8.9,8.9,8.7,8.7,181996.0
ZAHEENSPIN,2022-02-08,8.8,8.8,8.7,8.8,211713.0
ZAHEENSPIN,2022-02-09,8.9,9.1,8.9,8.9,894345.0
ZAHEENSPIN,2022-02-10,9.0,9.1,8.9,9.0,210159.0
ZAHEENSPIN,2022-02-13,9.0,9.1,8.9,9.1,490340.0
ZAHEENSPIN,2022-02-14,9.0,9.2,8.9,9.0,314756.0
ZAHEENSPIN,2022-02-15,9.1,9.1,8.9,8.9,175800.0
ZAHEENSPIN,2022-02-16,8.9,9.1,8.9,8.9,252531.0
ZAHEENSPIN,2022-02-17,9.0,9.1,8.9,9.0,478188.0
ZAHEENSPIN,2022-02-20,9.0,9.2,8.9,9.1,377838.0
ZAHEENSPIN,2022-02-22,9.2,10.0,9.1,9.7,1332066.0
ZAHEENSPIN,2022-02-23,9.7,10.0,9.6,9.8,1226473.0
ZAHEENSPIN,2022-02-24,9.8,10.2,9.7,9.8,1519264.0
ZAHEENSPIN,2022-02-27,9.8,9.8,9.5,9.6,331931.0
ZAHEENSPIN,2022-02-28,9.6,9.8,9.4,9.5,839388.0
ZAHEENSPIN,2022-03-01,9.6,9.8,9.5,9.6,369844.0
ZAHEENSPIN,2022-03-02,9.7,9.7,9.4,9.4,511937.0
ZAHEENSPIN,2022-03-03,9.4,9.9,9.4,9.9,442674.0
ZAHEENSPIN,2022-03-06,9.9,10.2,9.8,9.9,765922.0
ZAHEENSPIN,2022-03-07,9.9,9.9,9.5,9.6,274073.0
ZAHEENSPIN,2022-03-08,9.7,9.8,9.5,9.6,365667.0
ZAHEENSPIN,2022-03-09,9.9,10.0,9.8,9.9,353091.0
ZAHEENSPIN,2022-03-10,10.0,10.0,9.8,9.8,633108.0
ZAHEENSPIN,2022-03-13,9.8,10.0,9.8,9.9,482824.0
ZAHEENSPIN,2022-03-14,10.0,10.2,9.9,10.2,762802.0
ZAHEENSPIN,2022-03-15,10.2,10.3,10.0,10.1,985887.0
ZAHEENSPIN,2022-03-16,10.1,10.4,10.0,10.3,638965.0
ZAHEENSPIN,2022-03-20,10.4,10.4,10.1,10.2,1057037.0
ZAHEENSPIN,2022-03-21,10.2,10.4,10.1,10.3,715074.0
ZAHEENSPIN,2022-03-22,10.3,11.1,10.3,11.0,2364719.0
ZAHEENSPIN,2022-03-23,11.1,11.2,10.8,10.8,1876417.0
ZAHEENSPIN,2022-03-24,10.8,10.9,10.6,10.7,698959.0
ZAHEENSPIN,2022-03-27,10.8,10.8,10.6,10.7,366774.0
ZAHEENSPIN,2022-03-28,10.7,10.7,10.5,10.5,676369.0
ZAHEENSPIN,2022-03-29,10.6,10.6,10.4,10.4,316283.0
ZAHEENSPIN,2022-03-30,10.6,10.6,10.3,10.3,988554.0
ZAHEENSPIN,2022-03-31,10.3,10.5,10.3,10.4,824729.0
ZAHEENSPIN,2022-04-03,10.7,10.7,10.4,10.4,188537.0
ZAHEENSPIN,2022-04-04,10.5,10.5,10.2,10.2,510174.0
ZAHEENSPIN,2022-04-05,10.3,10.3,10.1,10.1,83085.0
ZAHEENSPIN,2022-04-06,10.2,10.2,9.9,10.0,265722.0
ZAHEENSPIN,2022-04-07,10.0,10.2,9.9,10.1,103695.0
ZAHEENSPIN,2022-04-10,10.1,10.5,10.0,10.4,119710.0
ZAHEENSPIN,2022-04-11,10.7,10.7,10.2,10.3,204542.0
ZAHEENSPIN,2022-04-12,10.3,10.3,10.2,10.2,306983.0
ZAHEENSPIN,2022-04-13,10.3,10.3,10.1,10.2,289753.0
ZAHEENSPIN,2022-04-17,10.2,10.2,10.1,10.1,56624.0
ZAHEENSPIN,2022-04-18,10.1,10.1,10.0,10.0,176122.0
ZAHEENSPIN,2022-04-19,10.0,10.1,9.9,9.9,447830.0
ZAHEENSPIN,2022-04-20,10.1,10.2,10.0,10.1,54813.0
ZAHEENSPIN,2022-04-21,10.2,10.6,10.2,10.5,342294.0
ZAHEENSPIN,2022-04-24,10.6,10.6,10.5,10.5,551594.0
ZAHEENSPIN,2022-04-25,10.3,10.5,10.3,10.4,235209.0
ZAHEENSPIN,2022-04-26,10.4,10.6,10.3,10.6,283142.0
ZAHEENSPIN,2022-04-27,10.5,10.8,10.5,10.7,762475.0
ZAHEENSPIN,2022-04-28,10.8,11.1,10.7,11.0,1204403.0
ZAHEENSPIN,2022-05-05,11.3,11.3,10.8,10.8,636967.0
ZAHEENSPIN,2022-05-08,10.9,11.2,10.9,11.1,657916.0
ZAHEENSPIN,2022-05-09,11.1,11.3,11.0,11.1,1080194.0
ZAHEENSPIN,2022-05-10,11.2,11.6,11.1,11.1,1611401.0
ZAHEENSPIN,2022-05-11,11.1,11.4,10.6,10.7,889880.0
ZAHEENSPIN,2022-05-12,10.7,11.1,10.5,10.9,616499.0
ZAHEENSPIN,2022-05-16,10.8,11.0,10.4,10.5,563656.0
ZAHEENSPIN,2022-05-17,10.6,10.7,10.2,10.4,658565.0
ZAHEENSPIN,2022-05-18,10.4,10.5,10.2,10.2,485648.0
ZAHEENSPIN,2022-05-19,10.2,10.4,10.0,10.3,517966.0
ZAHEENSPIN,2022-05-22,10.2,10.3,10.0,10.2,327777.0
ZAHEENSPIN,2022-05-23,10.4,10.7,10.3,10.5,1011745.0
ZAHEENSPIN,2022-05-24,10.6,11.1,10.5,10.6,507944.0
ZAHEENSPIN,2022-05-25,10.5,10.9,10.5,10.9,362356.0
ZAHEENSPIN,2022-05-26,11.0,11.0,10.7,10.7,531006.0
ZAHEENSPIN,2022-05-29,11.0,11.2,11.0,11.2,800227.0
ZAHEENSPIN,2022-05-30,11.2,11.3,11.0,11.0,1197571.0
ZAHEENSPIN,2022-05-31,11.0,11.1,10.8,10.9,999704.0
ZAHEENSPIN,2022-06-01,10.8,11.2,10.8,11.0,495025.0
ZAHEENSPIN,2022-06-02,11.1,11.2,10.9,11.0,524889.0
ZAHEENSPIN,2022-06-05,11.1,11.2,10.9,11.1,752735.0
ZAHEENSPIN,2022-06-06,11.1,11.2,10.9,11.0,552289.0
ZAHEENSPIN,2022-06-07,11.0,11.0,10.8,10.9,633858.0
ZAHEENSPIN,2022-06-08,10.8,10.9,10.7,10.7,602499.0
ZAHEENSPIN,2022-06-09,10.7,11.1,10.6,10.9,928664.0
ZAHEENSPIN,2022-06-12,11.0,11.0,10.8,10.8,371927.0
ZAHEENSPIN,2022-06-13,11.0,11.1,10.8,10.8,668304.0
ZAHEENSPIN,2022-06-14,10.9,11.0,10.6,10.7,773271.0
ZAHEENSPIN,2022-06-15,10.9,10.9,10.5,10.5,1171176.0
ZAHEENSPIN,2022-06-16,10.7,10.7,10.4,10.5,596696.0
ZAHEENSPIN,2022-06-19,10.6,10.7,10.4,10.5,812227.0
ZAHEENSPIN,2022-06-20,10.5,10.5,10.3,10.4,456934.0
ZAHEENSPIN,2022-06-21,10.4,10.6,10.2,10.3,445789.0
ZAHEENSPIN,2022-06-22,10.2,10.4,10.1,10.2,301349.0
ZAHEENSPIN,2022-06-23,10.1,10.5,10.1,10.3,159672.0
ZAHEENSPIN,2022-06-26,10.5,10.5,10.2,10.3,170029.0
ZAHEENSPIN,2022-06-27,10.2,10.5,10.1,10.4,166501.0
ZAHEENSPIN,2022-06-28,10.5,10.7,10.3,10.7,682023.0
ZAHEENSPIN,2022-06-29,10.8,10.9,10.7,10.8,813216.0
ZAHEENSPIN,2022-06-30,10.8,11.1,10.7,11.1,1820824.0
ZAHEENSPIN,2022-07-03,11.2,11.3,10.9,11.0,520819.0
ZAHEENSPIN,2022-07-04,11.0,12.1,11.0,12.1,4944137.0
ZAHEENSPIN,2022-07-05,12.6,13.2,12.4,12.6,3512142.0
